menu_start_game_1|^^^^^^^^^^何のために戦いますか？
mno_start_good|新しい時代の夜明け
mno_start_evil|人類の黄昏
mno_faction_intros|中つ国のさまざまな勢力について調べる
mno_go_bback|戻る
menu_start_phase_2|^^^^^ここは中つ国。東に広がる闇は日々ふくれあがり、^遠く忘れ去られてきた暗いものたちが、その姿をあらわす。^自由の民は、長く経験したことのない未曾有の戦いを前に、その身を固くする。^人間、エルフ、ドワーフ、そしてオーク。^すべてのものがそれぞれの運命を演じていく。^^運命の先にあるものは何か、それはまだわからない・・・
mno_go_forth|定められし運命の道ならば、これを進もう・・・
mno_change_tld_options|TLDのオプション
menu_start_game_3|^^^^^^^^シナリオを選んでください:
mno_custom_battle_scenario_1|小規模戦闘、 ゴンドール勢 vs ハラド
mno_custom_battle_scenario_12|所属する勢力を選んでください
mno_custom_battle_scenario_3|小規模戦闘、 エルフ vs 黒きヌーメノール人
mno_custom_battle_scenario_4|ヘルム峡谷の攻防戦、 ローハン vs アイゼンガルド
mno_custom_battle_scenario_5|小規模戦闘、 北方の民 vs リューン
mno_custom_battle_scenario_6|攻城戦、 オーク vs ドワーフ
mno_custom_battle_scenario_7|待ち伏せ攻撃、 オーク vs 闇の森のエルフ
mno_custom_battle_scenario_8|ドゥリンの一族の最後の抵抗
mno_custom_battle_scenario_88|オーク偵察部隊の追跡
mno_custom_battle_scenario_11|戦闘のテスト(バランス調整をしてください！)
mno_custom_battle_scenario_10|シーナリーのテスト
mno_troll_battle_scenario|トロルのテスト
mno_warg_battle_scenario|ワーグのテスト
mno_build_your_own_scene|** 自分だけのTLDのシーンを作ろう **
mno_go_back|戻る
menu_tutorial|^^Mount&Bladeの戦闘のチュートリアルへようこそ。 ここでは戦闘における基本や、戦場における兵の指揮の初歩を学べます。
mno_tutorial_1|チュートリアル#1:移動の基本と武器の種類。 {s1}
mno_tutorial_2|チュートリアル#2:盾を使った戦闘。 {s2}
mno_tutorial_3|チュートリアル#3:盾を使わない戦闘。 {s3}
mno_tutorial_3b_door|次のレベル
mno_tutorial_4|チュートリアル#4:馬またはワーグの乗り方。 {s4}
mno_tutorial_5|チュートリアル#5:兵の群れの指揮。 {s5}
mno_go_back_dot|戻る。
mno_action_view_troop_trees|軍事ツリーを参照する。
mno_view_upkeep_costs|パーティの維持費を見る
