hint_1|白の手と瞼なき御目は、お互いに 信用しすぎてはなりません。
hint_2|あなたの活躍をどの同盟国が評価するかは、 あなたが戦う相手、加勢する友軍、戦う場所 などによって決まります。
hint_3|偵察隊や、拷問や尋問のために牢につないである 捕虜は、どちらもに国にとって貴重な情報源です。 捕虜を救出したり、偵察隊を壊滅させることで、 敵国の目をくらませることができます。
hint_4|装備を整えたり兵を雇ったりするのに必要な リソースポイントは、各国ごとに別々に 管理されています。
hint_5|一国の軍事的な崩壊を回復させる事はできません。 モルドールは例外ですが、それでも軍事力を 抑え込まれ、モルドールのすべての同盟勢力が 壊滅した場合には、戦争は終了します。
hint_6|ナズグールと対峙してもパニックにならない ためには、冷静さ(知性)が必要とされます。 馬のパニックを防ぐには、馬を完璧にコントロール する技術が必要です。
hint_7|ワールドマップ上でスペースキーを押し続けると、 その場で休息をとることができます。ただし、 パーティメンバーに怪我人がいる場合は、町で 宿泊したほうが、怪我を速く回復できます。
hint_8|コントロールキーを押しながら左クリックをする ことで、インベントリー画面上でのアイテムの 出し入れを素早く行えます。
hint_9|TABキーを押せば、現在いる場所から瞬時に 離脱できます。戦闘中にBACKSPACEキーを 押すと、兵への命令画面を呼び出せます。
hint_10|トロルやオログ＝ハイが近くにいると、動物は パニックを起こします。気をつけましょう！
hint_11|人の手は国にとって大切な資源です。兵士を 雇うと、それぞれの勢力の リソースポイントを消費します。
hint_12|戦闘中にパーティに命令を出す事ができます。 遠くにいる敵を狙う際にはSHIFTキーを 押すことでズームができます。
