ip_formations_and_morale|陣形と士気
ip_formations_and_morale_text|戦闘開始時、あなたの部下たちは、やみくもに突撃する代わりに、陣を整えて待機します。 陣形を使うのは主要ファクション(全部で18)のみ(+脱走兵)で、 野盗などは単純に突撃をします。 善と悪のファクションでは陣形に多少の違いがあります。 善のファクションは通常、 シールドウォール(一般的に守備的です ― 盾を持った兵が前列に配置されますが、 パイク兵がいる場合はファランクスを組みます)を構築し、 悪のファクションはランクス(最強の兵が前列に配置されます)を構築します。 陣形が使用されるのは、 野戦のみです(カスタムバトルや攻城戦では使えません)。^^ゲーム中に命令画面を呼び出すか、 "Hold"命令を出せば、 命令を発行した時点でのプレイヤーの近くに陣を構築します: 左翼に歩兵隊、 右翼に騎馬隊、 中央前面に弓隊が配置されます。 陣の向きは、 プレイヤーの顔の向きと同じ方向になります(modの仕様によります)。 新しい陣を組む際、 兵士たちは陣を組みやすいように 一旦散開します(modの仕様によります)。 プレイヤーの指揮する兵は、 すべての戦闘において戦闘開始時に陣を組みます。 modで特に変更がない場合、 陣形に関するショートカットキーは: "J"でランクス、 "K"で 装備依存のランクス(シールドウォール、ファランクス)、 "L"でウェッジ("Log"に割り当てられている "L"を割り当て直す必要があるかも知れません)、 ";"で方陣、 "U"で陣形解除(陣形変更取り消し)です。 弓兵に対して"ランクス"命令を出すと、 彼らはスタッガードラインを組みます。 騎兵は常にウェッジを組みます。^^突撃命令(もしくは騎兵に対して下馬命令)を出すと、 陣形を解除します。 前進命令を数回出せば、 陣を敵陣に向かって進めることもできます。 もしくは命令画面を呼び出すか、 F1キーを押して任意の移動先を指示 することもできます(騎兵のウェッジで敵陣を蹂躙することもできます)。 戦闘中でも部下の兵の規律を維持する事は、 指揮官としてのあなたの責務です。 自軍の犠牲者が増えるに従い、 部隊の士気は崩落していきます。 画面に表示されるメッセージを 見逃さないようにしましょう！ あなたが直接部下を助ける方法は ふたつあります:^^1. 敵兵を倒す。 あなたが活躍すれば、 部下たちはより戦意を持って戦うようになり、 逃亡しなくなります。^^2. 檄をとばす。 部下が逃亡を始めたら、 "V"を押しましょう。 プレイヤーが角笛を鳴らして 部下たちを奮い立たせます。 一回の戦闘で檄を飛ばせる回数は 限られています(魅力と統率力スキルに依存します)！^^敵の指揮官を倒すことが出来れば、 敵は檄をとばすすべを失ったことになり、 非常に優位に立てます。 そうなれば、 逃亡した敵兵が戦場に復帰することがなくなります。
ip_economy|経済
ip_economy_text|TLDには通貨がありません。 そのかわり、 各ファクションと信頼関係を構築します ― 信頼関係は、 リソース、 影響力、 ランクという形で表わされます。^^リソースはファクションが 自らを維持していくうえで必要とされるものです ― かき集めた鉄くずや アイテムと交換してもらう事もできますが、 ファクションにおけるランクに応じたリソースを 毎週手当てとして受け取る事ができます。 この手当てをある程度蓄えれば、 兵を雇ったり、 装備を整えたり、 馬を買ったり、 コンパニオンを雇ったりすることができます。 あなたのリソースポイント/影響力/ランクは、 各ファクションごとに別になっています。 これは覚えておいてください！^影響力はクエストをこなしたり、 厳しい戦闘に勝ったりすることで 稼ぐ事ができます。 貯めた影響力は、 そのファクションの主からの褒美として スペシャルアイテムと交換することができます。^^ランクポイントを貯めると、 そのファクションでのあなたの地位を上げる事ができます ― これはあなたのパーティの人数の上限や 毎週のリソースの収入に影響し、 他にも新たな恩恵を受けられるようになったりします。^物語の世界観を壊さないよう、 デフォルトでは"種族の装備制限"が 有効になっています: 戦場で手に入れたオークの防具を ゴンドール人が身に付けることはできず、 その逆もまた同様です。 ほとんどの戦闘では、 戦いが終わった後に手に入るものは、 そのままでは役に立たないものばかりです。 その代わり、"鉄くず"が手に入る事があります。 これは戦闘後に回収できた武器防具をあらわし、 鉄くずを必要とする鍛冶屋などで リソースポイントに交換してもらうことができます。
ip_war_of_the_ring|指輪戦争
ip_war_of_the_ring_text|ゲーム開始時点では、 善と悪の戦争はまだ始まっていません。 戦争が開始されるときは、 その通知があります (戦争開始はプレイ時間ではなく、 あなたのキャラクターがどの程度、 戦争の準備ができているかで判断されます)。 ゲーム開始直後の中つ国は平穏で、 退屈な場所に感じるかも知れませんが、 一旦戦争が始まれば、 あっという間に敵対勢力でいっぱいになります。 残された平和な時間を無駄に使ってしまわないよう、 しっかり準備を整えましょう！ 友好国の主たちやロードたちからのクエストをこなし、 兵を育て、 兵営で稽古をして自分を鍛えましょう。^^オリジナルのM&Bと違い、 この戦争には勝ち負けがあります。 各ファクションには勢力というものがあります ― これはそのファクションが戦闘に勝ったり 負けたりすることで変動します。 勢力がある程度低くなると、 敵対するファクションは そのファクションの領有する拠点に対して 攻城戦を仕掛けることができるようになります。 ファクションの勢力が最低限まで落ちると、 本拠地を落とされて全滅する可能性があります。^^TLDでは、 プレイヤーが主導して攻城戦を始めることはできません。 プレイヤーにできるのは、 プレイヤーの所属するファクションや、 同盟国のリーダーたちが始めた攻城戦を 手伝うことだけです。^^(これはバグではなく、 デザイン上の判断でこのような仕様になっています。 将来的には変更を加えたいと我々が考えている部分ですので、 プレイヤーが攻城戦を主導できるオプションは 用意されていますが、 これを実行するのは非常に高コストで 難しくなっています)。^^TLDには地域ごとに紛争区域が用意されています。 ある区域で善か悪のどちらかが敵対ファクションをすべて壊滅させると、 その区域の軍勢は他の区域へ遠征軍を送り、 同盟国に加勢します。 遠征軍は遠征先に前進基地をつくり、 そこを拠点に活動します。 善のファクションがすべて壊滅し、 なおかつモルドールとアイゼンガルドが力を保っている場合、 ふたつの塔はお互い覇権を賭けた戦いを始めます。
ip_starting_tips|序盤のヒント
ip_starting_tips_text|ゲーム開始時に選んだファクションは、 後で変更できません。 種族を選ぶこともできます: 人間、 エルフ、 ドワーフ、 ウルク、 ウルク＝ハイ、 それにオークから選べます。 選択したファクションや種族には、 それぞれ固有の制約があります。 あるファクションは優秀な兵士を持っていますが、 数を揃える事ができません。 他のあるファクションは、兵士は弱くとも大人数を雇う事ができます。 小柄なオークは大きい種族用の防具を 身に付けることはできませんが、 その代わりに何種類かの獣に 乗ることができます。 ドワーフは抜群の武具防具を使えますが、 馬には乗れません。^^これらは意図的に (無理矢理に)バランスをとっていません。 弱い種族やファクションでプレイすると、 難易度が高くなります (ゲームのはじめに、 TLDのオプションのリストの 一番上にある設定を変更してみると良いかも知れません)。^^ファクションを選んだら、 あなたはそのファクションが戦争に勝つか、 全滅させられるまで、 そのファクションのために戦います。 所属ファクションが全滅した場合でも、 同盟国のために戦い続ける事もできます。^^― あてもなくあちこちをさまようのは、 良い考えとはいえません、 戦争はあなたにもしっかりした目的と 意志を持つ事を要求します。 戦争が始まる前に、 戦えるパーティをつくり、 雇用条件のゆるいコンパニオンを雇い、 いくらかの装備を整えておきましょう。 戦争が始まった後は、 あなたの取るべき戦略には さまざまな選択肢が考えられます。 同盟国を手助けすると同時に、 敵を倒す事も大切だという事を 覚えておいてください。^― ファクションのロードたちから 請け負う任務をこなすことは、 あなたのランクを上げ、 リソースポイントや影響力を稼ぐのに有効です。^― 片っ端から話かけて、 複数の任務/クエストを同時に抱え込みましょう！ 例えば、手紙を届けるついでに"営業まわり"をして 効率良く道中で色々な任務をこなすのは、 よく利用することになる手でしょう。 時間を無駄に使ってはいけません！
ip_rumours_and_legendary_places|うわさ話と伝説の地
ip_rumours_and_legendary_places_text|拠点にいる人々に話かけると、 彼らの所属するファクションの視点に立った話を 聞くことが出来ます。 これらの話には、 興味深い伝承や、 ときにはワールドマップ上に存在する 特別な伝説の地の所在を明らかにする情報が 含まれていることがあります。^^そのうちのいくつかは探索する以外に 特に意味を持たない場所で、 いくつかは特別なクエストや イースターエッグが含まれています。 伝説の地の所在を明らかにすると、それを知らせるメッセージが表示されます。
ip_trolls|トロル
