pt_rescued_prisoners|救出された捕虜
pt_enemy|敵
pt_hero_party|英雄のパーティ
pt_cattle_herd|牛
pt_ruins|廃墟
pt_legendary_place|伝説の場所
pt_mound|英雄の塚
pt_pyre|英雄の火葬壇
pt_wild_troll|野生のトロル
pt_raging_trolls|暴れトロル
pt_looters|オークの部族
pt_forest_bandits|はぐれオーク
pt_mountain_bandits|野生のゴブリン
pt_steppe_bandits|褐色人の追放人
pt_sea_raiders|海賊の背教者
pt_deserters|脱走兵
pt_merchant_caravan|隊商
pt_troublesome_bandits|迷惑ゴブリン
pt_fangorn_orcs|木を伐採するオーク
pt_village_farmers|村の農民
pt_spy_partners|あやしげな旅人
pt_spy_partners_evil|あやしげな旅人
pt_runaway_serfs|逃亡中の奴隷
pt_spy|馬に乗った旅人
pt_spy_evil|馬に乗った旅人
pt_sacrificed_messenger|犠牲になった伝令
pt_gandalf|馬に乗った旅人
pt_nazgul|馬に乗った旅人
pt_gondor_scouts|ゴンドリアン偵察隊
pt_blackroot_auxila|黒根谷支援部隊
pt_lamedon_auxila|ラメドン支援部隊
pt_lossarnach_auxila|ロスサールナッハ支援部隊
pt_pinnath_gelin_auxila|ピンナス・ゲリン支援部隊
pt_ranger_scouts|野伏の偵察隊
pt_rohan_scouts|ロヒアリム偵察隊
pt_lorien_scouts|ロスロリエン偵察隊
pt_woodelf_scouts|闇の森のエルフ偵察隊
pt_imladris_scouts|リヴェンデルエルフ偵察隊
pt_dale_scouts|デール偵察隊
pt_esgaroth_scouts|エスガロス偵察隊
pt_dwarf_scouts|ドワーフ見張り隊
pt_beorn_scouts|ビヨルン一党偵察隊
pt_woodmen_scouts|森人偵察隊
pt_mordor_scouts|モルドール偵察隊
pt_morgul_scouts|モルグル偵察隊
pt_isengard_scouts|アイゼンガルド偵察隊
pt_isengard_scouts_warg|アイゼンガルドワーグ騎兵隊
pt_harad_scouts|ハラドリム偵察隊
pt_dunland_scouts|褐色人偵察隊
pt_umbar_scouts|海賊偵察隊
pt_khand_scouts|東夷偵察隊
pt_moria_scouts|モリア偵察隊
pt_guldur_scouts|ドル・グルドゥア偵察隊
pt_gundabad_scouts|グンダバド偵察隊
pt_rhun_scouts|リューン偵察隊
pt_gondor_raiders|ゴンドール馬糧徴発隊
pt_rohan_raiders|ロヒアリム馬糧徴発隊
pt_imladris_raiders|リヴェンデル馬糧徴発隊
pt_lorien_raiders|ロスロリエン馬糧徴発隊
pt_woodelf_raiders|闇の森のエルフ馬糧徴発隊
pt_dale_raiders|デール馬糧徴発隊
pt_dwarf_raiders|ドワーフ馬糧徴発隊
pt_ranger_raiders|野伏遊撃隊
pt_morgul_raiders|モルグル遊撃隊
pt_mordor_raiders|モルドール遊撃隊
pt_isengard_raiders|アイゼンガルド遊撃隊
pt_dunland_raiders|褐色人遊撃隊
pt_harad_raiders|ハラドリム遊撃隊
pt_khand_raiders|ハンド遊撃隊
pt_umbar_raiders|ウンバール遊撃隊
pt_moria_raiders|モリア遊撃隊
pt_guldur_raiders|ドル・グルドゥア遊撃隊
pt_gundabad_raiders|グンダバド遊撃隊
pt_rhun_raiders|リューン遊撃隊
pt_gondor_patrol|ゴンドール巡察隊
pt_rohan_patrol|ロヒアリム巡察隊
pt_imladris_patrol|ドゥーネダイン巡察隊
pt_lorien_patrol|ロスロリエン巡察隊
pt_woodelf_patrol|闇の森のエルフ巡察隊
pt_dale_patrol|デール巡察隊
pt_esgaroth_patrol|エスガロス巡察隊
pt_dwarf_patrol|ドワーフ巡察隊
pt_ranger_patrol|野伏巡察隊
pt_amroth_patrol|ドル・アムロス巡察隊
pt_pelargir_patrol|ペラルギア巡察隊
pt_lossarnach_patrol|ロスサールナッハ巡察隊
pt_brv_patrol|黒根谷巡察隊
pt_pinnath_patrol|ピンナス巡察隊
pt_lamedon_patrol|ラメドン巡察隊
pt_mordor_war_party|モルドール軍団
pt_isengard_war_party|アイゼンガルド軍団
pt_harad_war_party|ハラド軍団
pt_dunland_war_party|褐色人軍団
pt_khand_war_party|ヴァリアグ軍団
pt_moria_war_party|モリア軍団
pt_dale_war_party|デール軍団
pt_rhun_war_party|リューン軍団
pt_gondor_company|ミナス・ティリス巡察隊
pt_rohan_company|ローハン部隊
pt_imladris_company|リヴェンデル部隊
pt_lorien_company|ロスロリエン部隊
pt_woodelf_company|闇の森のエルフ部隊
pt_dale_company|デール部隊
pt_dwarf_company|ドワーフ部隊
pt_gondor_elite_company|ゴンドール精鋭部隊
pt_rohan_elite_company|ローハン精鋭部隊
pt_imladris_elite_company|リヴェンデル精鋭部隊
pt_lorien_elite_company|ロスロリエン精鋭部隊
pt_woodelf_elite_company|闇の森のエルフ精鋭部隊
pt_dale_elite_company|デール精鋭部隊
pt_dwarf_elite_company|ドワーフ精鋭部隊
pt_gondor_caravan|ゴンドール隊商
pt_rohan_caravan|ローハン隊商
pt_imladris_caravan|リヴェンデル隊商
pt_lorien_caravan|ロスロリエン隊商
pt_woodelf_caravan|闇の森のエルフ隊商
pt_dale_caravan|デール隊商
pt_dwarf_caravan|ドワーフ隊商
pt_mordor_caravan|モルドール補給隊
pt_isengard_caravan|アイゼンガルド補給隊
pt_gunda_caravan|グンダバド補給隊
pt_gondor_p_train|ゴンドール捕虜護送隊
pt_rohan_p_train|ローハン捕虜護送隊
pt_imladris_p_train|リヴェンデル捕虜護送隊
pt_lorien_p_train|ロスロリエン捕虜護送隊
pt_woodelf_p_train|闇の森のエルフ捕虜護送隊
pt_dale_p_train|デール捕虜護送隊
pt_dwarf_p_train|ドワーフ捕虜護送隊
pt_mordor_p_train|モルドール捕虜護送隊
pt_isengard_p_train|アイゼンガルド捕虜護送隊
pt_kingdom_hero_party|軍団
pt_caravan_survivors|隊商の生存者
pt_routed_allies|離脱した友軍
pt_routed_enemies|離脱した敵軍
pt_legion_minas_morgul|ミナス・モルグル軍団
pt_legion_udun|ウドゥン軍団
pt_legion_gorgoroth|ゴルゴロス軍団
pt_legion_barad_dur|バラド＝ドゥーア軍団
