qstr_Received_{reg0}_dama|{reg0}のダメージを受けました。
qstr_Gate_is_breached!|門が破られました！
qstr_Gate_opens..._You_ha|門が開きます・・・ 中つ国で最も神聖な場所に辿り着きました！
qstr_Secret_place_discove|秘密の場所を発見しました！
qstr_Next_Page|次のページ
qstr_Action|アクション
qstr_Mount|騎乗
qstr_Attack_Type|攻撃の種類
qstr_Hold_This_Position|ここに待機
qstr_Follow_Me|ついてこい
qstr_Charge|突撃
qstr_Advance|前進
qstr_Fall_Back|後退
qstr_Stand_Closer|間隔を詰めろ
qstr_Spread_Out|間隔を空けろ
qstr_Stand_Ground|その場に待機
qstr_Dismount|下馬
qstr_Use_Any_Weapon|好きな武器を使え
qstr_Use_Blunt_Weapons|殴打武器に持ち替えろ
qstr_Hold_Your_Fire|攻撃止め
qstr_Fire_At_Will|攻撃
qstr_Us|自軍
qstr_Allies|友軍
qstr_Enemies|敵軍
qstr_Ready|戦闘可能
qstr_Wounded|負傷
qstr_Dead|死亡
qstr_Routed|離脱
qstr_Number_of_men_knocke|気絶した兵:{reg1}
qstr_Number_of_men_left:_|戦闘可能な兵:{reg1}
qstr_Opponents_Beaten:_{r|倒した敵兵:{reg1}
qstr_Opponents_Remaining:|敵兵残り:{reg1}
qstr_Gauntlet_wave:_1|ガントレット:第1波
qstr_Gauntlet_wave:_{reg1|ガントレット:第{reg1}波
qstr_Remain_in_retirement|このまま引退する。
qstr_Go_back_to_the_adven|冒険に戻る。
qstr_A_peaceful_village_n|ウェストフォルドから遠くない、とある平和な村・・・
qstr_The_War_is_upon_Roha|戦争の魔の手がローハンを襲う！
qstr_Minas_Tirith___The_W|ミナス・ティリス、白の都
qstr_The_White_Tree_stand|王家の血筋が途絶えて以来、白の木は枯れたままである
; qstr_And_the_Shadow_grows|And the Shadow grows ever stronger in the East
qstr_Minas_Morgul___City_|ミナス・モルグル、ナズグールの都
qstr_Sauron_s_armies_marc|サウロンの軍勢が進軍を開始した！
qstr_Adventurers_at_audie|冒険者の一行が、執政デネソールに謁見していた・・・
qstr___What_business_do_y|「さて諸君、君たちの嘆願とは何かね？」
qstr___Your_Stewardship_w|「執政閣下、我々ははるばる遠い国から・・・ジャンプしに来ました！」
qstr___Enough_of_this_mad|「もういい加減にしろ！衛兵！！」
qstr___I_ve_had_enough_of|「イタズラはもうたくさんだ・・・次の連中はひざまずかせろ！」
qstr_Chest|箱
qstr_Cape|マント
qstr_Arms|腕
qstr_Thighs|太もも
qstr_Legs|足
qstr_Rotate|回転
qstr_Close|閉じる
qstr_Faction_Side:^^Campa|所属勢力:^^キャンペーン難易度*:^^紛争区域:^^総指揮官:^^敵勢力:^^
qstr_Campaign_Difficulty_|キャンペーン難易度は、勢力の初期戦力、^紛争区域の敵対勢力、兵科ツリーと兵の装備から算出されています。
qstr_Rallies:|檄の回数:
qstr_View_Keybinds__Press|キーの割り当てを表示(Insertキー)
qstr_What_do_you_fight_fo|何のために戦いますか？
qstr_Go_Back...|戻る・・・
