skinkey_chin_size|あごの大きさ
skinkey_chin_shape|あごの形
skinkey_chin_forward|あごのでっぱり
skinkey_jaw_width|あごの広さ
skinkey_jaw_position|あごの位置
skinkey_mouth_nose_distance|鼻と口の距離
skinkey_mouth_width|口の大きさ
skinkey_cheeks|ほお
skinkey_nose_height|鼻の高さ
skinkey_nose_width|鼻の広さ
skinkey_nose_size|鼻の大きさ
skinkey_nose_shape|鼻の形
skinkey_nose_bridge|鼻梁
skinkey_cheek_bones|ほお骨
skinkey_eye_width|目の幅
skinkey_eye_to_eye_dist|両目の距離
skinkey_eye_shape|目の形
skinkey_eye_depth|目の彫り
skinkey_eyelids|まぶた
skinkey_eyebrow_position|眉の高さ
skinkey_eyebrow_height|眉の位置
skinkey_eyebrow_depth|眉の深さ
skinkey_eyebrow_shape|眉の形
skinkey_temple_width|こめかみの大きさ
skinkey_face_depth|顔の厚み
skinkey_face_ratio|顔の位置
skinkey_face_width|顔の広さ
skinkey_post_edit|Post-Edit
skinkey_snout_height|鼻の高さ
skinkey_snout_width|鼻の広さ
skinkey_snout_size|鼻の大きさ
skinkey_snout_shape|鼻の形
skinkey_weight|肉付き
skinkey_mouth_shape|口の形
skinkey_eye_size|目の大きさ
skinkey_eye_slant|目の傾き
skinkey_frawn|しかめ面
skinkey_mouth_vert_pos|口の位置
skinkey_mouth_to_nose_dist|鼻と口の距離
skinkey_chin_width|あごの広さ
