menu_start_game_1|^^^^^^^^^^자네는 무엇을 위해 싸우는가?
mno_start_good|새로운 시대의 시작
mno_start_evil|인간의 황혼
mno_faction_intros|중간계의 세력들에 대해 알아봅시다.
mno_go_bback|돌아가기
menu_start_phase_2|^^^^^중간계. 동쪽의 암운은 짙어지고,^ 암흑의 족속들은 오랜 은둔을 끝내고 나오고 있다.^ 자유민들은 그들이 이제껏 보지 못 한 전쟁을 준비하고 있다.^인간, 요정, 난쟁이 그리고 오르크들은 그들의 역할을 행할것이다.^^다만, 어떠한 역할인가는 앞으로 지켜봐야 할 것이리라...
mno_go_forth|당신이 선택한 길을 따라 앞으로 가십시오...
mno_change_tld_options|제 3세계 옵션 변경
menu_start_game_3|^^^^^^^당신의 이야기를 선택하세요:
mno_custom_battle_scenario_1|교전, 곤도르 vs 하라드
mno_custom_battle_scenario_12|전투를 위한 진영을 선택하세요.
mno_custom_battle_scenario_3|교전, 요정 vs 검은 누메노르인
mno_custom_battle_scenario_4|헬름 협곡 방어전, 로한 vs 아이센가드
mno_custom_battle_scenario_5|교전, 북부인 vs 룬
mno_custom_battle_scenario_6|공성 공격, 오크 vs 난쟁이
mno_custom_battle_scenario_7|기습, 오크 vs 어둠숲
mno_custom_battle_scenario_8|두린 일족의 최후의 저항
mno_custom_battle_scenario_88|오르크 정찰 부대 뒤쫓는 중
mno_custom_battle_scenario_11|연습 전투(밸런스 조정!)
mno_custom_battle_scenario_10|배경 연습 전투
mno_troll_battle_scenario|연습 트롤 전투
mno_warg_battle_scenario|연습 와르그 전투
mno_build_your_own_scene|**제 3시대에서 당신만의 이야기를 만드세요 **
mno_go_back|돌아가기
menu_tutorial|마운트 블레이드 전투 튜토리얼에 오신것을 환영합니다. 여기서 당신은 군대  개요 필드 명령과 같은 기본적인 전투를 배울수 있습니다.
mno_tutorial_1|튜토리얼 #1: 기본 이동 및 무기 선택. {s1}
mno_tutorial_2|튜토리얼 #2: 방패를 들고 싸우기. {s2}
mno_tutorial_3|튜토리얼 #3: 방패 없이 싸우기. {s3}
mno_tutorial_3b_door|다음 단계
mno_tutorial_4|튜토리얼 #4: 말이나 바르그에 타기. {s4}
mno_tutorial_5|튜토리얼 #5: 분대 조종하기. {s5}
mno_go_back_dot|돌아가기
mno_action_view_troop_trees|부대 승급 트리 보기
mno_view_upkeep_costs|유지비 보기
mno_view_character_report|캐릭터 정보 보기
mno_view_party_size_report|부대크기 보기
mno_view_morale_report|부대 사기 보기
mno_view_character_report_02|NPC 상태 확인
mno_view_faction_strengths_report|세력 군사력 보고서 보기
mno_view_traits_report|특성 보기
mno_resume_travelling|계속 여행한다
mno_custom_battle_go|시작
mno_leave_custom_battle_2|취소
menu_custom_battle_end|^^^^^전투가 끝났습니다.{s1}당신의 편은 {reg5}의 적을 죽였고 {reg6}병사를 전투로 잃었습니다.^당신은 {reg7}의 전투중에 적을 직접 죽였습니다.
mno_replay|전투 다시 하기
mno_continue_dot|계속
menu_custom_battle_durin_end|^^^^^^영광스러운 항전이었으나 끝내 패배했습니다.^^ 당신과 당신의 동료들은 {reg5}  명의 적을 쓰러트렸고, 당신은 전투 중에 {reg7} 명의 적을 직접 쓰러트렸습니다.
mno_replay_cbd|전투 다시 하기
mno_continue_dot_cbd|계속
mno_dot_go_back|. 돌아간다
menu_start_good|^^^^^^^^^^당신의 종족을 선택하세요:
mno_start_ma|인간
mno_start_el|요정
mno_start_dw|난쟁이
menu_start_evil|^^^^^^^^^^누구를 위해 싸우시겠습니까?
mno_start_eye|반지의 제왕, 모르도르의 사우론.
mno_start_hand|아이센가드, 백색의 사루만
menu_start_eye|^^^^^^^^^당신의 주인은 눈꺼풀 없는 눈, 사우론 입니다.^종족을 선택하세요.
mno_start_or|오르크. 눈꺼풀 없는 눈을 섬기는.
mno_start_ur|오르크의 새로운 종, 우루크
mno_start_em|인간, 사우론에게 예속된.
menu_start_hand|^^^^^^^^^^당신의 주인은 백색의 사루만 입니다.^종족을 선택하세요.
mno_start_whor|사루만 휘하의 오르크
mno_start_isur|우루크-하이 중 하나. 아이센가드에서 길러진.
mno_start_duma|던랜드인, 서쪽 평야의.
menu_start_good_man|^^^^^^^^^^당신의 민족을 선택하세요:
mno_start_go|백색 탑의 왕국, 곤도르.
mno_start_ro|기마 민족, 로한
