itm_horse_meat|말 고기
itm_practice_sword|연습용 검
itm_arena_lance|랜스
itm_practice_staff|나무 막대기
itm_practice_bow|연습용 활
itm_wooden_javelin|목재 자벨린
itm_human_meat|인육
itm_maggoty_bread|구더기 빵
itm_cram|전투 식량
itm_lembas|렘바스
itm_smoked_fish|훈제생선
itm_dried_meat|말린 고기
itm_cattle_meat|쇠고기
itm_grain|밀
itm_tools|공구
itm_siege_supply|보급품
itm_quest_wine|와인
itm_quest_ale|에일
itm_metal_scraps_bad|하급 철조각
itm_metal_scraps_medium|쓸만한 철조각
itm_metal_scraps_good|고품질 철조각
itm_oliphant|올리펀트
itm_sumpter_horse|짐 말
itm_saddle_horse|안장달린 말
itm_steppe_horse|초원 말
itm_courser|군마
itm_hunter|사냥마
itm_pony|조랑말
itm_arnor_warhorse|아르노르 전쟁마
itm_dunedain_warhorse|두네다인 전쟁마
itm_rohirrim_courser|로히림 군마
itm_rohirrim_hunter|로히림 사냥꾼
itm_rohirrim_courser2|로히림 군마
itm_rohan_warhorse|로히림 전쟁마
; itm_thengel_warhorse|Rohirrim Heavy Warhorse
itm_rhun_horse_a|룬 기마
itm_rhun_horse_b|룬 기마
itm_rhun_horse_d|룬 기마
itm_rhun_horse_e|룬 준마
itm_rhun_horse_f|룬 준마
itm_rhun_horse_g|룬 준마
itm_rhun_horse_h|룬 준마
itm_dale_horse|로바니온 기마
; itm_dale_warhorse|Rhovanion Warhorse
itm_riv_warhorse|리븐델 전쟁마
itm_riv_warhorse2|임라드리스 말
itm_mordor_warhorse|모르도르 전쟁마
itm_mordor_warhorse2|모르도르 재앙의 전쟁마
itm_gondor_courser|곤도르 군마
itm_gondor_hunter|곤도르 사냥마
itm_dol_amroth_warhorse|돌 암로스 전쟁마
itm_dol_amroth_warhorse2|돌 암로스 무장 전쟁마
itm_gondor_warhorse|곤도르 전쟁마
itm_gondor_lam_horse|레임던 무장마
itm_lorien_warhorse|로스로리엔 전쟁마
itm_harad_horse|하라드 말
itm_harad_warhorse|하라드 전쟁마 
itm_variag_pony|바리아그 조랑말
itm_variag_kataphrakt|동부인 전쟁마
itm_warg_1b|와르그
itm_warg_1c|와르그
itm_warg_1d|와르그
itm_wargarmored_1b|장갑 와르그
itm_wargarmored_1c|장갑 와르그
itm_wargarmored_2b|장갑 와르그
itm_wargarmored_2c|장갑 와르그
itm_wargarmored_3a|장갑 와르그
itm_warg_reward|거대 와르그
; itm_axe_a|Northmen Axe
; itm_axe_b|Northmen Bearded Axe
; itm_axe_c|Northmen Axe
; itm_axe_d|Northmen Axe
itm_tree_trunk_club_a|나무 줄기
; itm_long_bearded_axe|Northmen Bearded Longaxe
; itm_2_handed_axe|Northmen Longaxe
itm_free_giant_hammer|거대한 망치
itm_giant_mace|거대한 철퇴
; itm_troll_shield_a|Troll Shield
itm_arrows|화살
itm_gondor_arrows|곤도르 화살
; itm_orc_javelin|Orc Heavy Javelin
itm_khergit_arrows|미늘 화살
itm_rohan_arrows_2|로히림 화살
itm_harad_arrows|하라드림 화살
itm_corsair_arrows|해적 화살
itm_ithilien_arrows|이실리엔 화살
itm_woodelf_arrows|우드엘프 화살
itm_elven_arrows|엘븐 화살
itm_orc_hook_arrow|오크 갈고리 화살
itm_isengard_arrow|아이센가드 화살
itm_leather_gloves|가죽 장갑
itm_mail_mittens|사슬 장갑
itm_leather_boots|가죽 부츠
; itm_white_tunic_a|Civilian Outfit
itm_black_tunic|검은색 튜닉
itm_shortened_spear|짧은 창
itm_spear|창
itm_light_lance|가벼운 랜스
itm_lance|랜스
itm_tab_shield_small_round_b|둥근 기병 방패
itm_short_bow|단궁
itm_regular_bow|활
itm_nomad_bow|유목 활
itm_gondor_bow|곤도르 활
itm_strong_bow|강궁
itm_elven_bow|엘븐 활
itm_corsair_bow|해적 활
itm_dwarf_horn_bow|난쟁이 각궁
itm_dwarf_short_bow|난쟁이 단궁
itm_harad_bow|하라드 곡궁
itm_lg_bow|하라드 수비병 활
itm_riv_bow|리븐델 활
; itm_rhun_bow|Rhun Bow
itm_lorien_bow|갈라드림 활
itm_isengard_large_bow|아이센가드 장궁
itm_dale_bow|너른골 활
; itm_uruk_bow|Orc Horn Bow
itm_mirkwood_bow|어둠숲 활
itm_dunland_javelin|던랜드 투창
itm_orc_throwing_arrow|오크 다트
itm_heavy_throwing_spear|묵직한 투창
itm_javelin|자벨린
itm_harad_javelin|하라드 자벨린
itm_gondor_javelin|곤도르 자벨린
itm_rohirrim_throwing_axe|로히림 투척 도끼
itm_loss_throwing_axes|롯사르나흐 투창 도끼
itm_arnor_helm_a|아르노르 헬멧
itm_arnor_helm_b|아르노르 헬멧
itm_arnor_helm_c|아르노르 헬멧
itm_dunedain_helm_a|두네다인 후드
itm_dunedain_helm_b|아르노르 장식된 헬멧
itm_arnor_armor_a|아르노르 갑옷
itm_arnor_armor_b|아르노르 갑옷
itm_arnor_armor_c|두네다인 레인저 가죽
itm_arnor_armor_d|두네다인 레인저 가죽
itm_arnor_armor_e|아르노르 강화된 조끼
itm_arnor_armor_f|아르노르 고위 갑옷
itm_arnor_greaves|아르노르 정강이 보호대
itm_arnor_splinted|아르노르 덧댄 정강이 보호대
itm_arnor_shield_a|아르노르 방패
itm_arnor_shield_c|아르노르 기병 방패
itm_arnor_shield_b|아르노르 방패
itm_arnor_shield_d|아르노르 기병 방패
itm_arnor_sword_a|아르노르 바스타드 소드
itm_arnor_sword_c|아르노르 바스타드 소드
itm_arnor_sword_f|아르노르 숏 소드
itm_riv_helm_a|리븐델 코이프
itm_riv_helm_b|리븐델 궁수 헬멧
itm_riv_helm_c|리븐델 보병 헬멧
itm_riv_tiara|엘프 군주 머리장식
itm_riv_shield_a|리븐델 방패
itm_riv_shield_b|리븐델 방패
itm_riv_bas_sword|리븐델 바스타드 소드
itm_riv_1h_sword|리븐델 검
itm_riv_riding_sword|리븐델 기병 검
; itm_riv_archer_sword|Rivendell Archer Sword
itm_riv_spear|리븐델 창
itm_riv_armor_light|리븐델 방어구
itm_riv_armor_light_inf|리븐델 방어구
itm_riv_armor_archer|리븐델 방어구
itm_riv_armor_m_archer|리븐델 방어구
