imod_plain|평범한 %s
imod_cracked|질 나쁜 %s
imod_rusty|대강 만든 %s
imod_bent|휘어진 %s
imod_chipped|깨진 %s
imod_battered|낡은 %s
imod_poor|질 나쁜 %s
; imod_crude|Simple %s
; imod_old|Ancient %s
imod_cheap|싸구려 %s
imod_fine|준수한 %s
imod_well_made|잘 만든 %s
imod_sharp|날카로운 %s
imod_balanced|균형잡힌 %s
imod_tempered|단련된 %s
imod_deadly|치명적인 %s
imod_exquisite|정교한 %s
imod_masterwork|명장의 %s
imod_heavy|무거운 %s
imod_strong|힘센 %s
imod_powerful|강력한 %s
imod_tattered|누더기 %s
imod_ragged|거친 %s
imod_rough|거친 %s
imod_sturdy|튼튼한 %s
; imod_thick|Robust %s
imod_hardened|단련된 %s
imod_reinforced|강화된 %s
imod_superb|훌륭한 %s
imod_lordly|명장의 %s
imod_lame|절름발이 %s
imod_swaybacked|척추가 휜 %s
imod_stubborn|고집센 %s
imod_timid|겁쟁이 %s
imod_meek|온순한 %s
imod_spirited|명량한 %s
imod_champion|챔피언 %s
imod_fresh|신선한 %s
imod_day_old|하루 지난 %s
imod_two_day_old|이틀 지난 %s
imod_smelling|냄새나는 %s
imod_rotten|상한 %s
imod_large_bag|%s이 든 큰 가방
