pt_rescued_prisoners|구출된 포로들
pt_enemy|적
pt_hero_party|영웅 일행
pt_cattle_herd|소떼
pt_ruins|폐허
pt_legendary_place|전설적인 장소
pt_mound|영웅의 무덤
pt_pyre|영웅의 화장터
pt_wild_troll|야생 트롤들
pt_raging_trolls|성난 트롤들
pt_looters|부족 오르크
pt_forest_bandits|오르크 낙오자들
pt_mountain_bandits|야생 고블린들
pt_steppe_bandits|던랜드 추방자들
pt_sea_raiders|해적 배신자들
pt_deserters|사막인
pt_merchant_caravan|대상의 상단
pt_troublesome_bandits|성가신 고블린들
pt_fangorn_orcs|나무를 베고있는 오르크들
pt_village_farmers|촌락 농부들
pt_spy_partners|의심스러운 여행자들
pt_spy_partners_evil|의심스러운 여행자들
pt_runaway_serfs|달아난 노예들
pt_spy|말을 탄 낯선 이
pt_spy_evil|말을 탄 낯선 이
pt_ents|엔트
pt_gandalf|말을 탄 낯선 이
pt_nazgul|말을 탄 낯선 이
pt_gondor_scouts|곤도르 정찰대
pt_blackroot_auxila|검은뿌리 보조병
pt_lamedon_auxila|라메돈 보조병
pt_lossarnach_auxila|롯사르나흐 보조병
pt_pinnath_gelin_auxila|피나스 겔린 보조병
pt_ranger_scouts|순찰자 정찰대
pt_rohan_scouts|로히림 정찰대
pt_lorien_scouts|로스로리엔 정찰대
pt_woodelf_scouts|어둠숲 요정족 정찰대
pt_imladris_scouts|두네다인 정찰대
pt_dale_scouts|너른골 정찰대
pt_esgaroth_scouts|에스가로스 정찰대
pt_dwarf_scouts|난쟁이족 감시대
pt_beorn_scouts|베오른 정찰대
pt_woodmen_scouts|나무꾼 정찰대
pt_mordor_scouts|모르도르 정찰대
pt_morgul_scouts|모르굴 정찰대
pt_isengard_scouts|아이센가드 정찰대
pt_isengard_scouts_warg|아이센가드 와르그 기마대
pt_harad_scouts|하라드인 정찰대
pt_dunland_scouts|던랜딩 정찰대
pt_umbar_scouts|해적 정찰대
pt_khand_scouts|동부인 정찰대
pt_moria_scouts|모리아 정찰대
pt_guldur_scouts|돌 굴두르 정찰대
pt_gundabad_scouts|군다바드 정찰대
pt_rhun_scouts|룬 정찰대
pt_gondor_raiders|곤도르 약탈자
pt_rohan_raiders|로히림 약탈자
pt_imladris_raiders|리븐델 약탈자
pt_lorien_raiders|로스로리엔 약탈자
pt_woodelf_raiders|어둠숲 약탈자
pt_dale_raiders|너른골 약탈자
pt_dwarf_raiders|난쟁이족 약탈자
pt_ranger_raiders|순찰대 약탈자
pt_morgul_raiders|모르굴 약탈자
pt_mordor_raiders|모르도르 약탈자
pt_isengard_raiders|아이센가드 약탈자
pt_dunland_raiders|던랜딩 약탈자
pt_harad_raiders|하라드인 약탈자
pt_khand_raiders|칸드 약탈자
pt_umbar_raiders|움바르 약탈자
pt_moria_raiders|모리아 약탈자
pt_guldur_raiders|돌 굴두르 약탈자
pt_gundabad_raiders|군다바드 약탈자
pt_rhun_raiders|룬 약탈자
