qstr_Received_{reg0}_dama|{reg0} 피해 입음.
qstr_Gate_is_breached!|성문이 뚫렸다!
qstr_Gate_opens..._You_ha|문이 열린다.... 당신은 가운데 땅에서 가장 신성한 장소에 오게 되었다.
qstr_Secret_place_discove|비밀 장소 발견됨!
qstr_Next_Page|다음 장
qstr_Action|행동
qstr_Mount|승마
qstr_Attack_Type|공격 타입
qstr_Hold_This_Position|지금 위치를 유지하라
qstr_Follow_Me|나를 따르라
qstr_Charge|돌격
qstr_Advance|전진
qstr_Fall_Back|후퇴
qstr_Stand_Closer|밀집하라
qstr_Spread_Out|산개하라
qstr_Stand_Ground|멈춰서라
qstr_Dismount|말에서 내려라
qstr_Use_Any_Weapon|아무 무기나 써라
qstr_Use_Blunt_Weapons|둔기를 써라
qstr_Hold_Your_Fire|사격 중지
qstr_Fire_At_Will|자유사격
qstr_Us|아군
qstr_Allies|동맹군
qstr_Enemies|적군
qstr_Ready|준비
qstr_Wounded|부상
qstr_Dead|사망
qstr_Routed|탈주
qstr_Number_of_men_knocke|의식을 잃은 병사 수: {reg1}
qstr_Number_of_men_left:_|남은 병사 수: {reg1}
qstr_Opponents_Beaten:_{r|쓰러뜨린 적군: {reg1}
qstr_Opponents_Remaining:|남은 적군: {reg1}
qstr_Gauntlet_wave:_1|시련 Wave 1
qstr_Gauntlet_wave:_{reg1|시련 Wave {reg1}
qstr_Remain_in_retirement|은퇴한 상태를 유지한다.
qstr_Go_back_to_the_adven|모험으로 돌아간다.
qstr_A_peaceful_village_n|웨스트폴드에서 그다지 멀지 않은 평화로운 마을...
qstr_The_War_is_upon_Roha|로한에 전쟁이 닥쳤다!
qstr_Minas_Tirith___The_W|미나스 티리스 - 백색 도시
qstr_The_White_Tree_stand|왕들이 실패하였기 때문에 하얀 나무는 죽게 되었다.
; qstr_And_the_Shadow_grows|And the Shadow grows ever stronger in the East
qstr_Minas_Morgul___City_|미나스 모르굴 - 나즈굴의 도시
qstr_Sauron_s_armies_marc|사우론의 군대가 전쟁을 위해 행군한다!
qstr_Adventurers_at_audie|섭정 데네소르와 다른 모험가들로 이루어진 관객들..
qstr___What_business_do_y|"어언일로 왔소, supplicants?"
qstr___Your_Stewardship_w|섭정 폐하, 저희는 아주 먼 땅에서 이곳으로 왔습니다... Jump!
qstr___Enough_of_this_mad|'정신나간 짓은 이것으로 충분하네! 경비병!!'
qstr___I_ve_had_enough_of|'난 이런 장난질들은 충분히 겪어봤지... 다음 놈들은 무릎을 꿇어야 할거야!'
qstr_Chest|상자
qstr_Cape|목
qstr_Arms|팔
qstr_Thighs|허벅지
qstr_Legs|다리
qstr_Rotate|회전
qstr_Close|닫기
qstr_Faction_Side:^^Campa|팩션:^^캠페인 난이도*:^^Home Theater:^^사령관:^^적들:^^
qstr_Campaign_Difficulty_|시작 세력의 힘에 따라 캠페인 난이도와, Theater 적들,^ 팩션 병종 관계도, 팩션 장비가 결정됩니다.
qstr_Rallies:|집결지
qstr_View_Keybinds__Press|Keybind 설정 보기 (Insert 키)
qstr_What_do_you_fight_fo|자네는 무엇을 위해 싸우는가?
qstr_Go_Back...|돌아가기...
qstr_Learn_about_the_diff|중간계의 세력들에 대해 알아봅시다.
qstr_The_DAWN_of_a_New_Er|새로운 시대의 여명을 위하여
qstr_The_TWILIGHT_of_Man|인간의 황혼을 위하여
qstr_Select_your_Race?|당신의 종족은?
qstr_Man|인간
qstr_Elf|요정
qstr_Dwarf|난쟁이
qstr_Whom_Do_You_Serve?|누구를 섬기나?
qstr_SAURON_of_Mordor_The|반지의 제왕, 모르도르의 사우론.
qstr_SARUMAN_of_Isengard_|흰 손바닥. 아이센가드의 사루만
qstr_an_ORC^_serving_the_|오르크. 눈꺼풀 없는 눈을 섬기는.
qstr_an_URUK^_the_new_bre|오르크의 새로운 종, 우루크.
qstr_a_MAN^_subjugated_by|인간, 사우론에게 예속된.
qstr_an_ORC^_serving_the_W|오르크. 흰 손바닥을 섬기는.
qstr_one_of_the_URUK_HAI^|one of the URUK-HAI,^ bred in Isengard
qstr_a_MAN_of_Dunland^_th|던랜드인, 서쪽 평야의.
qstr_Click_the_center_but|가운데 버튼을 클릭해 팩션을 바꿉니다^아바타를 클릭해 자세한 정보를 확인할 수 있습니다.
qstr_Level:_{reg3}^Health|레벨: {reg3}^체력: {reg4}
qstr_Attributes|능력치들
qstr_STR^AGI^INT^CHA|힘^민첩^지능^카리스마
qstr_Skills|기술들
qstr_Ironflesh^Power_Stri|단단한 피부^타격하는 힘^투척력^당기는 힘^방패술^운동능력^승마술^기마궁술
qstr_Proficiencies|숙련도들
qstr_1H_Weapons^2H_Weapon|1H - 한손 무기^2H - 양손 무기^장병기^활^쇠뇌^투척무기
qstr_Equipment|장비
qstr_The_Last_Days_Mod_Op|TLD 모드 옵션
qstr_War_Starts_at_Level:|전쟁이 다음 레벨에 시작됩니다: 
qstr_Restrict_Player_Equi|플레이어 장비 제한: 
qstr_Battle_Formations_an|진형과 인공지능: 
qstr_Native|Native
qstr_TLD_FormAI__Original|TLD 맞춤 AI (기본)
qstr_TLD_New_FormAI|TLD 신형 맞춤 AI
qstr_Siege_AI:__|공성 AI:
qstr_Basic__better_perfor|기본 (향상된 행동)
qstr_Advanced|진보된
; qstr_Campaign_difficulty:|Campaign difficulty:  
; qstr_Hard|Hard
; qstr_Default|Default
; qstr_Easy|Easy
qstr_Town_NPCs_Always_Acc|마을 NPC는 메뉴에서도 접근이 가능합니다: 
qstr_Cutscenes:__|컷신: 
qstr_Injuries_for_compani|동료들의 부상: 
qstr_Permanent_death_for_|군주와 동료들의 영원한 죽음: 
qstr_Permanent_death_for_p|플레이어의 영원한 죽음(바로 당신!):
qstr_Battle_morale_system|전투 사기 시스템: 
qstr_Animal_ambushes:__|동물 습격: 
qstr_Fallen_rider_damage_|낙마 대미지 알림:  
qstr_No_Messages|알림 없음
qstr_Player_damage_only|오직 플레이어 피해만
qstr_All_Messages|모두 알림
qstr_Preferred_Camera_Mod|우선 카메라 모드:  
qstr_Default_Camera|기본 카메라 모드
qstr_Free_Mode_Custom_Cam|자유 설정 카메라 모드
qstr_Fixed_Over_The_Shoul|어깨에 걸친 수정 카메라 모드
qstr_Prevent_AI_from_taki|AI가 방어적이지 않게 합니다:  
qstr_Brighter_Nights:__|밝은 야간 시야:  
qstr_Done|종료
qstr_Gameplay_Tweaks|게임플레이 수정
qstr_Beta_Formations_Twea|실험용 진형 설정
qstr_War_Will_Start_at_Le|전쟁이 다음 레벨에 시작됩니다: {s0}
qstr_Troop_Tree|병종 관계도
qstr__Click_on_a_unit_for|(유닛을 눌러 세부사항 확인)
qstr_Weapons|무기
qstr_Armors|방어구
qstr_Others|기타
qstr_F4___Complex_formati|F4 - 복합 진형
qstr_F7___Memorize_div._p|F7 - 부분 배치 저장
qstr_F8___Default_divisio|F8 - 기본 배치 복원
qstr_F4___Ranks|F4 - 랭크
qstr_F5___Shield_Wall|F5 - 방패 진형
qstr_F6___Wedge|F6 - 쐐기 진형
qstr_F7___Square|F7 - 사각 진형
qstr_F8___No_Formation|F8 - 진형 없음
qstr_Extended_Formations_|확장 진형과 AI 설정
qstr_Put_player_in_divisi|division에 플레이어 포함
qstr_None|없음
