skl_trade|거래 흥정
skl_trade_desc|대장장이와 보급관이 보다 협조적으로 대하며 더 나은 장비를 제공하게 됩니다. (부대 기술)
skl_leadership|리더십
; skl_leadership_desc|Every point increases maximum number of troops you can command by 5, increases your party morale and coherence in battle. Makes more and stronger volunteers willing to follow you. (Leader skill)
skl_prisoner_management|포로 수송
; skl_prisoner_management_desc|Every level of this skill increases maximum number of prisoners by %d. Improves chances of capturing and keeping prisoners .(Leader skill)
skl_persuasion|서바이벌
skl_persuasion_desc|황야에서 살아남고 이용하는 능력. 부대가 적에게서 숨는 능력과 숲에서의 속도에 영향을 줍니다. (부대 기술)
skl_engineer|-----
skl_engineer_desc|-----
skl_first_aid|응급 치료
skl_first_aid_desc|전투중에 체력을 잃었을 때, 스킬레벨당 5%%의 체력을 회복합니다.(부대 기술)
skl_surgery|외과수술
skl_surgery_desc|1 포인트가 오를 때 마다 4%%의 확률로 죽지 않고 부상입게 합니다(부대 기술)
skl_wound_treatment|부상 치료
skl_wound_treatment_desc|1 포인트당 부대 치료속도가 20%% 증가합니다.(부대 기술)
skl_inventory_management|소지품 관리
; skl_inventory_management_desc|Increases inventory capacity by +6 per skill level. Reduces food consumption. (Leader skill)
skl_spotting|탐지
skl_spotting_desc|1 포인트가 오를 때 마다 부대의 시야범위가 10%% 증가 합니다(부대 기술)
skl_pathfinding|길 찾기
skl_pathfinding_desc|1 포인트가 오를 때 마다 맵에서의 부대 이동속도가 3%% 오릅니다.(부대 기술)
skl_tactics|전술
skl_tactics_desc|2 포인트가 오를 때마다 전투 시작시 1점의 유리함이 추가됩니다(부대 기술)
skl_tracking|추적
skl_tracking_desc|추적이 더 정확해 집니다(부대 기술)
skl_trainer|훈련교관
skl_trainer_desc|매일 이 기술을 가진 각 영웅은 자신보다 레벨이 낮은 다른 구성원에게 일정의 경험치를 줍니다. 경험치는 {0,4,10,16,23,30,38,46,55,65,80}의 순으로 획득합니다(개인 기술)
skl_looting|약탈
skl_looting_desc|전투 후 획득하게 되는 전리품의 양과 질이 높아집니다. (부대 기술)
skl_horse_archery|기마 궁술
skl_horse_archery_desc|탑승 중 투척무기의 데미지와 정확도 감소를 줄여줍니다(개인 기술)
skl_riding|승마
skl_riding_desc|높은 등급의 말(또는 짐승)을 탈 수 있고, 속도와 기동을 증가시킵니다(개인 기술)
skl_athletics|운동능력
skl_athletics_desc|달리기 속도를 올려줍니다(개인 기술)
skl_shield|방패술
skl_shield_desc|방패가 입는 피해가 (레벨 당 8%%) 감소하며, 방패의 속도와 방어 범위가 증가하며, 활을 사용할 때의 방패 패널티가 감소합니다. (개인 스킬)
skl_weapon_master|무기의 달인
skl_weapon_master_desc|무기 숙달을 쉽게 하고 한계치를 올립니다. 한계치 : 60,100,140,180,220,260,300,340,380,420(개인 기술)
skl_power_draw|당기는 힘
skl_power_draw_desc|캐릭터가 더 강한 활을 사용하게 합니다. 1 포인트가 오를 때마다(4까지 올리면 모든 활 장착가능) 14%%의 활 데미지가 증가합니다(개인 기술)
skl_power_throw|던지는 힘
skl_power_throw_desc|1 포인트가 오를 때 마다 10%%의 투척 데미지가 증가합니다(개인 기술)
skl_power_strike|때리는 힘
skl_power_strike_desc|1 포인트가 오를 때 마다 8%% 근접 데미지가 증가합니다(개인 기술)
skl_ironflesh|강철피부
skl_ironflesh_desc|이 스킬에 투자한 포인트마다 HP가 +2 증가하며, 부상을 입지 않고 일부 대미지를 경감할 수 있게 됩니다. (개인 기술)
