trp_unarmed_troop|Neginkluotas karys
trp_unarmed_troop_pl|Neginkluoti kariai
trp_tutorial_maceman|Kuokininkas
trp_tutorial_maceman_pl|Kuokininkai
trp_tutorial_archer|Lankininkas
trp_tutorial_archer_pl|Lankininkai
trp_tutorial_swordsman|Karys su kardu
trp_tutorial_swordsman_pl|Kariai su kardais
trp_novice_fighter|Kovotojas naujokas
trp_novice_fighter_pl|Kovotojai naujokai
trp_regular_fighter|Įprastas kovotojas
trp_regular_fighter_pl|Įprasti kovotojai
trp_veteran_fighter|Veteranas kovotojas
trp_veteran_fighter_pl|Veteranai kovotojai
trp_champion_fighter|Čempionas kovotojas
trp_champion_fighter_pl|Čempionai kovotojai
trp_arena_training_fighter_1|Kovotojas naujokas
trp_arena_training_fighter_1_pl|Kovotojai naujokai
trp_arena_training_fighter_2|Kovotojas naujokas
trp_arena_training_fighter_2_pl|Kovotojai naujokai
trp_arena_training_fighter_3|Įprastas kovotojas
trp_arena_training_fighter_3_pl|Įprasti kovotojai
trp_arena_training_fighter_4|Įprastas kovotojas
trp_arena_training_fighter_4_pl|Įprasti kovotojai
trp_arena_training_fighter_5|Įprastas kovotojas
trp_arena_training_fighter_5_pl|Įprasti kovotojai
trp_arena_training_fighter_6|Veteranas kovotojas
trp_arena_training_fighter_6_pl|Veteranai kovotojai
trp_arena_training_fighter_7|Veteranas kovotojas
trp_arena_training_fighter_7_pl|Veteranai kovotojai
trp_arena_training_fighter_8|Veteranas kovotojas
trp_arena_training_fighter_8_pl|Veteranai kovotojai
trp_arena_training_fighter_9|Čempionas kovotojas
trp_arena_training_fighter_9_pl|Čempionai kovotojai
trp_arena_training_fighter_10|Čempionas kovotojas
trp_arena_training_fighter_10_pl|Čempionai kovotojai
trp_cattle|Banda
trp_cattle_pl|Banda
trp_farmer|Ūkininkas
trp_farmer_pl|Ūkininkai
trp_townsman|Miestietis
trp_townsman_pl|Miestiečiai
; trp_watchman|Townswoman
; trp_watchman_pl|Townswomen
trp_i1_woodmen_man|Miškinis
trp_i1_woodmen_man_pl|Miškiniai
trp_i2_woodmen_forester|Miškinis miškininkas
trp_i2_woodmen_forester_pl|Miškiniai miškininkai
trp_i3_woodmen_skilled_forester|Mišikinis įgudęs miškininkas
trp_i3_woodmen_skilled_forester_pl|Miškiniai įgudę miškininkai
trp_i4_woodmen_axemen|Miškinis kirvininkas
trp_i4_woodmen_axemen_pl|Miškiniai kirvininkai
; trp_i5_woodmen_night_guard|Night Guard of Mirkwood
; trp_i5_woodmen_night_guard_pl|Night Guards of Mirkwood
trp_a2_woodmen_tracker|Miškininkas seklys
trp_a2_woodmen_tracker_pl|Miškininkai sekliai
trp_a3_woodmen_scout|Miškininkas žvalgas
trp_a3_woodmen_scout_pl|Miškininkai žvalgai
trp_a4_woodmen_archer|Miškininkas lankininkas
trp_a4_woodmen_archer_pl|Miškiniai lankininkai
; trp_a5_woodmen_night_stalker|Night Stalker of Mirkwood
; trp_a5_woodmen_night_stalker_pl|Night Stalkers of Mirkwood
trp_i1_beorning_man|Beorningo vyras
trp_i1_beorning_man_pl|Beorningo vyrai
; trp_i2_beorning_warrior|Beorning Warrior
; trp_i2_beorning_warrior_pl|Beorning Warriors
; trp_i3_beorning_tolltacker|Beorning Toll-Taker
; trp_i3_beorning_tolltacker_pl|Beorning Toll-Takers
; trp_i4_beorning_sentinel|Beorning Sentinel
; trp_i4_beorning_sentinel_pl|Beorning Sentinels
; trp_i5_beorning_warden_of_the_ford|Beorning Warden of the Ford
; trp_i5_beorning_warden_of_the_ford_pl|Beorning Wardens of the Ford
; trp_i3_beorning_carrock_lookout|Beorning Carrock Lookout
; trp_i3_beorning_carrock_lookout_pl|Beorning Carrock Lookouts
; trp_i4_beorning_carrock_fighter|Beorning Carrock Fighter
; trp_i4_beorning_carrock_fighter_pl|Beorning Carrock Fighters
; trp_i5_beorning_carrock_berserker|Beorning Carrock Berserker
; trp_i5_beorning_carrock_berserker_pl|Beorning Carrock Berserkers
; trp_i1_dale_militia|Dale Militiaman
; trp_i1_dale_militia_pl|Dale Militia
; trp_i2_dale_man_at_arms|Dale Man-at-Arms
; trp_i2_dale_man_at_arms_pl|Dale Men-at-Arms
; trp_a2_dale_scout|Dale Scout
; trp_a2_dale_scout_pl|Dale Scouts
; trp_a3_dale_bowman|Dale Bowman
; trp_a3_dale_bowman_pl|Dale Bowmen
; trp_a4_dale_archer|Dale Archer
; trp_a4_dale_archer_pl|Dale Archers
; trp_a5_barding_bowman|Barding Bowman
; trp_a5_barding_bowman_pl|Barding Bowmen
; trp_i3_dale_swordsman|Dale Swordsman
; trp_i3_dale_swordsman_pl|Dale Swordsmen
; trp_i4_dale_sergeant|Dale Sergeant
; trp_i4_dale_sergeant_pl|Dale Sergeants
; trp_i5_dale_hearthman|Hearthman of Dale
; trp_i5_dale_hearthman_pl|Hearthmen of Dale
; trp_i3_dale_spearman|Dale Spearman
; trp_i3_dale_spearman_pl|Dale Spearmen
; trp_i4_dale_billman|Dale Billman
; trp_i4_dale_billman_pl|Dale Billmen
; trp_i5_dale_bill_master|Dale Bill Master
; trp_i5_dale_bill_master_pl|Dale Bill Masters
; trp_c2_rhovanion_retainer|Northmen Retainer
; trp_c2_rhovanion_retainer_pl|Northmen Retainers
; trp_c3_rhovanion_auxilia|Northmen Auxiliary
; trp_c3_rhovanion_auxilia_pl|Northmen Auxilia
; trp_c4_rhovanion_rider|Rhovanion Rider
; trp_c4_rhovanion_rider_pl|Rhovanion Riders
; trp_ac5_rhovanion_marchwarden|Rhovanion Marchwarden
; trp_ac5_rhovanion_marchwarden_pl|Rhovanion Marchwardens
; trp_i1_rhun_tribesman|Rhun Tribesman
; trp_i1_rhun_tribesman_pl|Rhun Tribesmen
; trp_ac2_rhun_horse_scout|Rhun Horse Scout
; trp_ac2_rhun_horse_scout_pl|Rhun Horse Scouts
; trp_ac3_rhun_horse_archer|Rhun Horse Archer
; trp_ac3_rhun_horse_archer_pl|Rhun Horse Archers
; trp_ac4_rhun_veteran_horse_archer|Rhun Veteran Horse Archer
; trp_ac4_rhun_veteran_horse_archer_pl|Rhun Veteran Horse Archers
; trp_ac5_rhun_balchoth_horse_archer|Balchoth Horse Archer
; trp_ac5_rhun_balchoth_horse_archer_pl|Balchoth Horse Archers
; trp_c3_rhun_swift_horseman|Rhun Swift Horseman
; trp_c3_rhun_swift_horseman_pl|Rhun Swift Horsemen
; trp_c4_rhun_veteran_swift_horseman|Rhun Veteran Swift Horseman
; trp_c4_rhun_veteran_swift_horseman_pl|Rhun Veteran Swift Horsemen
; trp_c5_rhun_falcon_horseman|Falcon Horseman
; trp_c5_rhun_falcon_horseman_pl|Falcon Horsemen
; trp_i2_rhun_tribal_warrior|Rhun Tribal Warrior
; trp_i2_rhun_tribal_warrior_pl|Rhun Tribal Warriors
; trp_i3_rhun_tribal_infantry|Rhun Tribal Infantryman
; trp_i3_rhun_tribal_infantry_pl|Rhun Tribal Infantry
; trp_i4_rhun_vet_infantry|Rhun Veteran Infantryman
; trp_i4_rhun_vet_infantry_pl|Rhun Veteran Infantry
; trp_i5_rhun_ox_warrior|Infantryman of the Ox
; trp_i5_rhun_ox_warrior_pl|Infantry of the Ox
; trp_c2_rhun_light_horseman|Rhun Light Horseman
; trp_c2_rhun_light_horseman_pl|Rhun Light Horsemen
; trp_c3_rhun_light_cavalry|Rhun Light Cavalryman
; trp_c3_rhun_light_cavalry_pl|Rhun Light Cavalry
; trp_c4_rhun_noble_cavalry|Rhun Noble Cavalryman
; trp_c4_rhun_noble_cavalry_pl|Rhun Noble Cavalry
; trp_c5_rhun_heavy_noble_cavalry|Rhun Heavy Noble Cavalryman
; trp_c5_rhun_heavy_noble_cavalry_pl|Rhun Heavy Noble Cavalry
; trp_c6_rhun_dorwinion_noble|Dorwinion Noble of Rhun
; trp_c6_rhun_dorwinion_noble_pl|Dorwinion Nobles of Rhun
; trp_i1_dwarf_apprentice|Apprentice-dwarf
; trp_i1_dwarf_apprentice_pl|Apprentice-dwarves
; trp_i2_dwarf_warrior|Warrior-dwarf
; trp_i2_dwarf_warrior_pl|Warrior-dwarves
; trp_i3_dwarf_hardened_warrior|Hardened Warrior-dwarf
; trp_i3_dwarf_hardened_warrior_pl|Hardened Warrior-dwarves
; trp_i4_dwarf_spearman|Spear-dwarf
; trp_i4_dwarf_spearman_pl|Spear-dwarves
; trp_i5_dwarf_pikeman|Pike-dwarf
; trp_i5_dwarf_pikeman_pl|Pike-dwarves
; trp_i6_dwarf_longpikeman|Longpike Dwarf
; trp_i6_dwarf_longpikeman_pl|Longpike Dwarves
; trp_i4_dwarf_axeman|Axedwarf
; trp_i4_dwarf_axeman_pl|Axedwarves
; trp_i5_dwarf_expert_axeman|Expert Axedwarf
; trp_i5_dwarf_expert_axeman_pl|Expert Axedwarves
; trp_i6_dwarf_longbeard_axeman|Longbeard Axedwarf
; trp_i6_dwarf_longbeard_axeman_pl|Longbeard Axedwarves
; trp_a2_dwarf_lookout|Lookout-dwarf
; trp_a2_dwarf_lookout_pl|Lookout-dwarves
; trp_a3_dwarf_scout|Scout-dwarf
; trp_a3_dwarf_scout_pl|Scout-dwarves
; trp_a4_dwarf_bowman|Bow-dwarf
; trp_a4_dwarf_bowman_pl|Bow-dwarves
; trp_i6_dwarf_longaxeman|Longaxe Dwarf
