hint_1|Den Hvite Hånd burde ikke stole på det Nakne Øyne for mye, heller ikke andre veien.
hint_2|Hvem du kjemper mot, hvem du hjelper, og hvor slagene tar plass bestemmer hvilke kongeriker som legger merke og kanskje setter pris på deg.
hint_3|Speidere er en kilde for informasjon til et kongerike, men likeså fangene som blir dratt ned til fangehullene for tortur og avhør. Å frigjøre fanger og sende ut speidere kan blinde fienden.
hint_4|Husk at du har forskjellige verdier med ressurspoeng innenfor hvert rike, som gir deg rett til å bli forsynt med utstyr og tropper innenfor det kongeriket.
hint_5|Det militære sammenbruddet av et kongerike er uopprettelig. Mordor kan aldri lide en slik skjebne, men krigen vil være over hvis den militære makt er inneholdt og alle de allierte er beseiret.
hint_6|Det tar ett kaldt sinn (INT) for å unngå panikk ved en Nazgul. Det krever en perfekt kontroll av ens hest for å unngå at den får panikk. 
hint_7|Du kan hvile på verdenskartet ved å holde nede mellomromstasten. Skadede medlemmer vil derimot helbredes raskere i byer.
hint_8|For å raskt ta og gi fra seg ting i inventaret sitt, hold nede kontrollknappen mens du venstreklikker.
hint_9|Du kan forlate hvilket som helst sted ved å trykke på tabs, og trykk på backspace for å åpne  kommandør menyen under slag.
hint_10|Dyr kan få panikk i nærheten av troll og olog-hais. Vær advart!
hint_11|Arbeidskraft representerer en avgjørende resurs for ett kongerike: å ta og opprettholde tropper under din ledelse vil  konsumere ressurspoenger for kongeriket du har tropper i. 
hint_12|Du kan gi ordre til partiet ditt under kamp. Du kan holde nede shift for å zoome-inn mens du sikter på fjerne fiender. 
