menu_start_game_1|^^^^^^^^^^Waar vecht je voor?
mno_start_good|De OPKOMST van een nieuw Tijdperk
mno_start_evil|De SCHEMERING van Mensheid
mno_faction_intros|Leer over de verschillende facties van Midden Aarde.
mno_go_bback|Ga Terug
menu_start_phase_2|Midden Aarde. Een schaduw is groeiende in het Oosten, en donkere zaken komen naar voren die lang zijn verborgen. De vrije mensheid bereidt zich voor op oorlog, wat lange tijd niet is gezien. Mensen, Elven, Dwergen en Orks; allen spelen hun rol. Welke rol, blijft echter nog te bezien...
mno_go_forth|Ga heen op jouw gekozen pad...
mno_change_tld_options|Verander TLD opties.
menu_start_game_3|^^^^^^^^Kies je scenario:
mno_custom_battle_scenario_1|Skirmish, Gondor facties vs Harad
mno_custom_battle_scenario_12|Kies facties voor gevecht
mno_custom_battle_scenario_3|Skirmish, Elven vs Zwarte Numenoreanen
mno_custom_battle_scenario_4|Helms Diep Verdediging, Rohan vs Isengard
mno_custom_battle_scenario_5|Skirmish, Noordelijke partijen vs Rhûn
mno_custom_battle_scenario_6|Beleg Aanval, Orks vs Dwergen
mno_custom_battle_scenario_7|Valstrik, Orks vs Demsterwold
mno_custom_battle_scenario_8|Laatste slag van de Durins
mno_custom_battle_scenario_88|Achtervolging van een Orken verkennerspartij
mno_custom_battle_scenario_11|Test Gevechten (Balans Afstemmen)
mno_custom_battle_scenario_10|Landschap test gevecht
mno_troll_battle_scenario|Test Trol Gevechten
mno_warg_battle_scenario|Test Warg Gevechten
mno_build_your_own_scene|** Maak je eigen scenario voor TLD **
mno_go_back|Ga terug
menu_tutorial|^^ Welkom bij de Gevechts Oefening voor Mount & Blade. Hier zzal je de basis elementen van gevechten leren zowel een kleine overzicht van troepen commandos tijdens veld gevechten.
mno_tutorial_1|Oefening #1: Basis bewegingen en wapen selectie. {s1}
mno_tutorial_2|Oefening #2: Vechten met een schild. {s2}
mno_tutorial_3|Oefening #3: Vechten zonder een schild. {s3}
mno_tutorial_3b_door|Volgende level
mno_tutorial_4|Oefening #4: Rijden van een paard of warg. {s4}
mno_tutorial_5|Oefening #5: Commanderen van een groep soldaten {s5}
mno_go_back_dot|Ga terug.
mno_action_view_troop_trees|Bekijk troepschema's.
mno_view_upkeep_costs|Bekijk onderhoud kosten.
mno_view_character_report|Bekijk karakter verslag.
mno_view_party_size_report|Bekijk partij grootte verslag.
mno_view_morale_report|Bekijk partij moraal verslag.
mno_view_character_report_02|NPC statuscontrole
mno_view_faction_strengths_report|Bekijk factie sterkte verslag.
mno_view_traits_report|Bekijk eigenschappen.
mno_resume_travelling|Hervat Reizen.
mno_custom_battle_go|Start
mno_leave_custom_battle_2|Annuleer
menu_custom_battle_end|^^^^^^Het gevecht is over. {s1} Jouw kant doodde {reg5} vijanden en verloor {reg6} troepen tijdens het gevecht. ^Jij doodde {reg7} vijanden in het gevecht.
mno_replay|Speel dit gevecht opnieuw.
mno_continue_dot|Vervolgen
menu_custom_battle_durin_end|^^^^^^Het was aan admirabele laatste stand maar toch verdoemd.^^ Jij en je manschappen doden {reg5} vijanden.^Jij hebt {reg7} vijanden persoonlijk gedood.
mno_replay_cbd|Speel dit gevecht opnieuw.
mno_continue_dot_cbd|Vervolgen
mno_dot_go_back|. Ga terug
menu_start_good|^^^^^^^^^^Kies je ras:
mno_start_ma|MENS
mno_start_el|ELF
mno_start_dw|DWERG
menu_start_evil|^^^^^^^^^^Wie dien jij?
