qst_deliver_message|Bezorg bericht aan {s13}
qst_deliver_message_text|{s9} heeft je gevraagd om een bericht te brengen naar {s13}. {s13} was bij {s4} op het moment dat je deze opdracht was gegeven.
qst_deliver_message_to_enemy_lord|Bezorg bericht aan {s13}
qst_deliver_message_to_enemy_lord_text|{s9} heeft aan jou gevraagd om een bericht te leveren aan {s13} of {s15}. {s13} was in {s4} ten tijden dat deze queste aan jou werd opgedragen.
qst_raise_troops|Breng bijeen {reg1} {s14}
qst_raise_troops_text|{s9} vraagt aan jou om de troepen van {reg1} {s14} bijeen te brengen en hun naar {hem/haar} te leiden.
qst_escort_messenger|Escorteer Bode naar {s14}
qst_escort_messenger_text|Geen
qst_hunt_down_fugitive|Jaag op {s4}
; qst_hunt_down_fugitive_text|{s9} asked you to hunt down the traitor named {s4}. He is currently believed to be at {s3}.
qst_bring_back_runaway_serfs|Breng Vluchtende Slaven Terug
qst_bring_back_runaway_serfs_text|{s9} verzocht jou om hem de drie groepen van ontsnapte slaven terug te brenge naar {s2}. Hij vertelde dat alle drie te groepen waren weggerend in de richting van {s3}.
qst_follow_spy|Volg de spion naar de samenkomst
qst_follow_spy_text|{s11} verzocht jou om de spion die vertrekt uit {s12} te volgen. Wees voorzichtig om niet gezien te worden door de spion gedurende zijn reis, zo niet dan kan hij mogelijk vermoedens krijgen en terug keren. Er wordt verwacht dat wanneer de spion en zijn handlanger elkaar ontmoeten, jij ze via een hinderlaag overvalt en ze gevangen neemt om ze vervolgens beide mee terug te nemen naar {s11}.
qst_capture_enemy_hero|Neem een vijandelijke commandant gevangen
qst_capture_enemy_hero_text|{s11} vroeg aan jou om een vijandige commandant te vangen.
qst_lend_companion|Leen jouw compagnon {s3} uit aan {s9}
qst_lend_companion_text|{s9} heeft jou verzocht om jouw compagnon {s3} aan hem uit te lenen voor een week.
qst_capture_prisoners|Breng {reg1} vijandelijke gevangenen
qst_capture_prisoners_text|{s9} wilt dat jij {reg1} vijandelijke gevangenen naar hem toe brengt.
qst_investigate_fangorn|Onderzoek Fangorn
qst_investigate_fangorn_text|{s9} heeft jou opgedragen om te onderzoeken wat er zich af speelt in het Fangornwoud, en dit te rapporteren.
qst_capture_troll|Neem een Trol gevangen
qst_capture_troll_text|{s9} verzoekt jou om op zoek te gaan naar een woeste trol ter gebruik voor zijn leger.
qst_kill_troll|Verstuur woedende Trol
qst_kill_troll_text|{s9} verzoekt jou om {s13} te verlossen van de dreiging die de razende Troll veroorzaakt in de buitenwijken.
qst_mirkwood_sorcerer|Dood een tovenaar in het Demsterwold
qst_mirkwood_sorcerer_text|De kracht van Galadriel om Lothlorien te verdedigen is ondermijnd door de smettelijke rituelen afkomstig van een tovaan van Dol Guldur. Ondanks dat hij een sterveling is, zorgt hij voor een grote dreiging voor de Elven. Ga op jacht door het Demsterwold, niet ver gelegen van Dol Guldur, en vind de tovenaar. Wees op je hoedde en blijf uit het zicht, zorg ervoor dat je niet word gezien. Dit zal je enige kans zijn om hem te verslaan. 
qst_find_lost_spears|Vind de verloren speren van koning Bladorthin
qst_find_lost_spears_text|{s9} heeft verzocht aan jou om de verloren speren van koning Bladorthin te vinden, welk ooit speciaal voor hem zijn gemaakt door de dwergen. Vraag de dwergen voor toestemming om  in de dieptes van de Eenzame Berg te zoeken naar de speren.
qst_defend_village|Verdedig Dorp
qst_raid_village|Plunder Dorp
qst_destroy_scout_camp|Vernietig Verkenners Kamp
qst_rescue_prisoners|Red {reg1} gevangenen.
qst_rescue_prisoners_text|{s9} wilt dat jij {reg1} gevangen bevrijd.
qst_scout_enemy_town|Verken Vijandig Dorp
qst_scout_enemy_town_text|{s9} heeft jou verzocht om het gebied rondom {s13} te verkennen.
qst_dispatch_scouts|Stuur een Groep Verkenners
qst_dispatch_scouts_text|{s9} heeft jou verzocht om een groep verkenners te sturen naarbij {s13}.
qst_eliminate_patrols|Elimineer {reg1} Vijandelijke Partijen
qst_eliminate_patrols_text|{s9} heeft jou opgedragen om {reg1} {s13} vijandelijke partijen te elimineren.
qst_lend_surgeon|Leen jouw chirurg {s3} uit aan {s1}
qst_lend_surgeon_text|Leen jouw ervaren chirurg {s3} uit aan {s1}.
qst_follow_army|Volg {s9}'s Leger
qst_follow_army_text|Geen
qst_report_to_army|Rapporteer aan {s13}
qst_report_to_army_text|Geen
qst_deliver_cattle_to_army|Lever {reg3} eenheden aan voedsel uit aan {s13}
qst_deliver_cattle_to_army_text|Geen
qst_join_siege_with_army|Sluit aan bij de Belegering van {s14}
qst_join_siege_with_army_text|Geen
qst_scout_waypoints|Verken {s13}, {14} en {15}
qst_scout_waypoints_text|Geen
qst_move_cattle_herd|Verplaats {s12} naar {s13}
qst_move_cattle_herd_text|De Oudere van {s10} heeft jou verzocht om wat van {s12} te verplaatsen naar {s13}.
qst_escort_merchant_caravan|Begeleid Bevoorradingstrein naar {s8}
qst_escort_merchant_caravan_text|Begeleid de bevoorraadingstrein naar {s8} en praat met ze wanneer je dichtbij bent.
qst_deliver_wine|Bezorg {reg5} Eenheden van {s6} aan {s4}
qst_deliver_wine_text|De {s9} van {s3} heeft jou opgedragen om binnen 7 dagen {reg5} eenheden van {s6} naar {s4} te bezorgen.
qst_troublesome_bandits|Jaag op de Hinderlijke Kobolden
qst_troublesome_bandits_text|De {s9} van {s4} heeft jou verzocht om te jagen op de hinderlijke kobolden in de omgeving van de stad.
qst_deal_with_looters|Handel Stam Orken af
qst_deal_with_looters_text|De Oudere van {s4} heeft jou verzocht om meerdere stammen van orks af te handelen in de buurt van {s4}.
qst_deal_with_night_bandits|Handel Nacht Rovers af
qst_deal_with_night_bandits_text|De Oudere van {s14} heeft jou verzocht om de nacht rovers af te handelen in de buurt van {s14}.
qst_deliver_food|Bevoorraad {s3} met {reg5} eenheden aan voedsel
qst_deliver_food_text|De {s9} van {s3} heeft jou opgedragen om binnen 10 dagen {reg5} eenheden aan voedsel te brengen.
qst_deliver_iron|Bevoorraad {s3} met {reg5} eenheden van {s6}
qst_deliver_iron_text|De {s9} van {s3} heeft jou opgedragen om hem {reg5} eenheden van {s6} te brengen.
qst_tld_introduction|Ga naar je Factie lijder.
qst_tld_introduction_text|Geen
qst_treebeard_kill_orcs|Versla de groep boom-omhakkende orks
qst_treebeard_kill_orcs_text|Boombaard heeft jou opgedragen om de orks die de bomen in het Fangornwoud omhakken te vinden en te verslaan.
qst_oath_of_vengeance|Eed van Wraak
qst_oath_of_vengeance_text|Verblind van woedde door de dood van {s1}, heb je de eed van wraak gezworen over de troepen van {s2}. Het is nu aan jou om zo veel mogelijke legers van {s2} te verslaan in de toekomstige dagen. Je bent er nauw van bewust dat jouw volgelingen getuigen waren toen je de eed zwoor, en je wenst niet bekend te komen staan als een eedbreker. Het bloedvergiet begint nu!
qst_deliver_gift|Bezorg een {s4} aan {s1} van {s2} naar {s3}
qst_deliver_gift_text|Je hebt verzocht om een {s4} aan {s1} van {s2} naar {s3} te bezorgen.
qst_ring_hunters|Ring Jagers
qst_ring_hunters2|Ring Jagers - Voltooid
qst_deliver_message_hobbit|Betreft Hobbits
qst_quests_end_text|.
