skinkey_chin_size|Kin Grootte
skinkey_chin_shape|Kin Vorm
skinkey_chin_forward|Kin Uitsteken
skinkey_jaw_width|Kaak Breedte
skinkey_jaw_position|Kaak Positie
skinkey_mouth_nose_distance|Mond-Neus Afstand
skinkey_mouth_width|Mond Breedte
skinkey_cheeks|Wangen
skinkey_nose_height|Neus Hoogte
skinkey_nose_width|Neus Breedte
skinkey_nose_size|Neus Grootte
skinkey_nose_shape|Neus Vorm
skinkey_nose_bridge|Neus Brug
skinkey_cheek_bones|Jukbeenderen
skinkey_eye_width|Oogbreedte
skinkey_eye_to_eye_dist|Oog tot Oog Afstand
skinkey_eye_shape|Oog Vorm
skinkey_eye_depth|Oog Diepte
skinkey_eyelids|Oogleden
skinkey_eyebrow_position|Wenkbrouw Positie
skinkey_eyebrow_height|Wenkbrouw Hoogte
skinkey_eyebrow_depth|Wenkbrouw Diepte
skinkey_eyebrow_shape|Wenkbrouw Vorm
skinkey_temple_width|Tempel Breedte
skinkey_face_depth|Gezicht Diepte
skinkey_face_ratio|Gezicht Ratio
skinkey_face_width|Gezicht Breedte
; skinkey_post_edit|Post-Edit
skinkey_snout_height|Snuit Hoogte
skinkey_snout_width|Snuit Breedte
skinkey_snout_size|Snuit Grootte
skinkey_snout_shape|Snuit Vorm
skinkey_weight|Gewicht
skinkey_mouth_shape|Mond Vorm
skinkey_eye_size|Oog Grootte
skinkey_eye_slant|Oog Hoek
; skinkey_frawn|Frawn
skinkey_mouth_vert_pos|Mond Verticale Positie
skinkey_mouth_to_nose_dist|Mond Tot Neus Afstand
skinkey_chin_width|Kin Breedte
