trp_unarmed_troop|Ongewapende Troep
trp_unarmed_troop_pl|Ongewapende Troepen
trp_tutorial_maceman|Strijdknots Krijger
trp_tutorial_maceman_pl|Strijdknots Krijgers
trp_tutorial_archer|Boogschutter
trp_tutorial_archer_pl|Boogschutters
trp_tutorial_swordsman|Zwaardvechter
trp_tutorial_swordsman_pl|Zwaardvechters
trp_novice_fighter|Beginner Vechter
trp_novice_fighter_pl|Beginner Vechters
trp_regular_fighter|Normale  vechter 
trp_regular_fighter_pl|Normale vechters
trp_veteran_fighter|Veteraan vechter
trp_veteran_fighter_pl|Veteraan vechters
trp_champion_fighter|Vechters Kampioen
trp_champion_fighter_pl|Vechters Kampioenen 
trp_arena_training_fighter_1|Beginner vechter
trp_arena_training_fighter_1_pl|Beginner vechters\n
trp_arena_training_fighter_2|Beginner vechter
trp_arena_training_fighter_2_pl|Beginner vechters\n
trp_arena_training_fighter_3|normale  vechter 
trp_arena_training_fighter_3_pl|normaale vechters
trp_arena_training_fighter_4|normale  vechter 
trp_arena_training_fighter_4_pl|normaale vechters
trp_arena_training_fighter_5|normale  vechter 
trp_arena_training_fighter_5_pl|normaale vechters
trp_arena_training_fighter_6|veteraan vechter
trp_arena_training_fighter_6_pl|veteraan vechters
trp_arena_training_fighter_7|veteraan vechter
trp_arena_training_fighter_7_pl|veteraan vechters
trp_arena_training_fighter_8|veteraan vechter
trp_arena_training_fighter_8_pl|veteraan vechters
trp_arena_training_fighter_9|Vechters Kampioen
trp_arena_training_fighter_9_pl|Vechters Kampioenen 
trp_arena_training_fighter_10|Vechters Kampioen
trp_arena_training_fighter_10_pl|Vechters Kampioenen 
trp_cattle|Vee
trp_cattle_pl|Vee
trp_farmer|Boer
trp_farmer_pl|Boeren
trp_townsman|stedeling
trp_townsman_pl|Stedelingen
trp_watchman|Stadsvrouw
trp_watchman_pl|Stadsvrouwen
trp_woodmen_youth|Bosman
trp_woodmen_youth_pl|Bosmannen
trp_woodmen_forester|Bosmannen Boswachter
trp_woodmen_forester_pl|Bosmannen Boswachters
trp_woodmen_skilled_forester|Bosmannen Geschoolde Boswachter
trp_woodmen_skilled_forester_pl|Bosmannen Geschoolde Boswachters
trp_woodmen_axemen|Bosmannen Bijlman
trp_woodmen_axemen_pl|Bosmannen Bijlmannen
trp_woodmen_master_axemen|Nachtbeschermer van het Demsterwold
trp_woodmen_master_axemen_pl|Nachtbeschermers van het Demsterwold
trp_woodmen_tracker|Bosmannen Spoorzoeker
trp_woodmen_tracker_pl|Bosmannen Spoorzoekers
trp_woodmen_scout|Bosmannen Verkenner
trp_woodmen_scout_pl|Bosmannen Verkenners
trp_woodmen_archer|Bosmannen Boogschutter
trp_woodmen_archer_pl|Bosmannen Boogschutters
trp_fell_huntsmen_of_mirkwood|Nachtsluiper van het Demsterwold
trp_fell_huntsmen_of_mirkwood_pl|Nachtsluipers van het Demsterwold
trp_beorning_vale_man|Beorning Man
trp_beorning_vale_man_pl|Beorning Mannen
trp_beorning_warrior|Beorning Krijger
trp_beorning_warrior_pl|Beorning Krijgers
trp_beorning_tolltacker|Beorning Toll Nemer
trp_beorning_tolltacker_pl|Beorning Toll Nemers
trp_beorning_sentinel|Beorning Schildwacht
trp_beorning_sentinel_pl|Beorning Schildwachten
trp_beorning_warden_of_the_ford|Beorning Bewaker van het Wad
trp_beorning_warden_of_the_ford_pl|Beorning Bewakers van het Wad
trp_beorning_carrock_lookout|Beorning Carrock Wachtsman
trp_beorning_carrock_lookout_pl|Beorning Carrock Wachtsmannen
trp_beorning_carrock_fighter|Beorning Carrock Vechter
trp_beorning_carrock_fighter_pl|Beorning Carrock Vechters
trp_beorning_carrock_berserker|Beorning Carrock Berserker
trp_beorning_carrock_berserker_pl|Beorning Carrock Berserkers
trp_dale_militia|Dal Militieman
trp_dale_militia_pl|Dal Militie
trp_dale_man_at_arms|Dal Soldaat
trp_dale_man_at_arms_pl|Dal Soldaten
trp_laketown_scout|Dal Verkenner
trp_laketown_scout_pl|Dal verkenners
trp_laketown_bowmen|Dal Boogschutter
trp_laketown_bowmen_pl|Dal Boogschutters
trp_laketown_archer|Dal Schutter
trp_laketown_archer_pl|Dal Schutters
trp_barding_bowmen_of_esgaroth|Barding Boogschutter
trp_barding_bowmen_of_esgaroth_pl|Barding Boogschutters
trp_dale_warrior|Dal Zwaardvechter
trp_dale_warrior_pl|Dal Zwaardvechters
trp_dale_veteran_warrior|Dal Brigadier
trp_dale_veteran_warrior_pl|Dal Brigadieren
trp_dale_marchwarden|Haardman van Dal
trp_dale_marchwarden_pl|Haardmannen van Dal
trp_dale_pikeman|Dal Speervechter
trp_dale_pikeman_pl|Dal Speervechters
trp_dale_billman|Dal Bill Man
trp_dale_billman_pl|Dal Bill Man
trp_dale_bill_master|Dal Bill Meester
trp_dale_bill_master_pl|Dal Bill Meesters
trp_merchant_squire_or_dale|Noordman Bediende
trp_merchant_squire_or_dale_pl|Noordman Bediendes
trp_merchant_guard_of_dale|Noordman Bondgenoot
trp_merchant_guard_of_dale_pl|Noordman Bondgenoten
trp_merchant_protector_of_dale|Wilderland Ruiter
trp_merchant_protector_of_dale_pl|Wilderland Ruiters
trp_girions_guard_of_dale|Wilderland Mark Bewaker
trp_girions_guard_of_dale_pl|Wilderland Mark Bewakers
trp_rhun_tribesman|Rhun Stamgenoot
trp_rhun_tribesman_pl|Rhun Stamgenoten
trp_rhun_horse_scout|Rhun Paarden Verkenner
trp_rhun_horse_scout_pl|Rhun Paarden Verkenners
trp_rhun_horse_archer|Rhun Schutter te Paard
trp_rhun_horse_archer_pl|Rhun Schutters te Paard
trp_rhun_veteran_horse_archer|Rhun Ervaren Schutter te Paard
trp_rhun_veteran_horse_archer_pl|Rhun Ervaren Schutters te Paard
trp_fell_balchoth_horse_archer|Balchoth paart boogschutter
trp_fell_balchoth_horse_archer_pl|Balchoth paart boogschutters
trp_rhun_swift_horseman|Rhun vlugge Ruiter te paard
trp_rhun_swift_horseman_pl|Rhun vlugge Ruiters te Paard
trp_rhun_veteran_swift_horseman|Rhun Ervaren vlugge Ruiter te Paard
trp_rhun_veteran_swift_horseman_pl|Rhun Ervaren vlugge Ruiters te Paard
trp_falcon_horseman|Valk Ruiter te Paard
trp_falcon_horseman_pl|Valk Ruiters te Paard
