hint_1  = "Saruman burde ikke stole for mye på Sauron og det samme tilbake"
hint_2  = "Hvem du kjemper mot, hvem du hjelper og hvor kampen tar plass utgjør  hvilken av de allierte kongedømmene som legger merke til og setter pris på din innsats"
hint_3  = "Speidere er en informasjonskilde for kongedømmene. Fiender som blir tatt til fange og torturert for informasjon er også viktige informasjonskilder. Befrir du allierte fanger og utsendte speidere kan du blinde fienden."
hint_4  = "Ikke glem at det er forskjellige verdier for resurspoeng innenfor hvert enkelt kongerike som tillater deg å kjøpe utstyr og soldater innenfor det kongedømme."
hint_5  = "En militær kollaps av et kongedømme er irreversibelt. Mordor kan aldri kollapse men krigen er over om den militære makten til mordor er kontrollert og inneholdt samtidig som alle dens allierte er beseiret"
hint_6  = "Det tar et rolig sinn (INT) for å unngå å få panikk i nærheten av en Nazgul. Mann må ha perfekt kontroll over ens hest for å hindre at den får panikk."
hint_7  = "Når du er på verdenskartet kan du hvile om du holder inne "_QQ_"space"_QQ_" knappen. Skadede gruppemedlemmer helbreder raskere i byer."
hint_8  = "For å raskere gi eller ta ting fra inventaret kan du holde ned kontroll knappen mens du venstreklikker."
hint_9  = "Du kan forlate hvilket som helst område umiddelbart ved å trykke "_QQ_"tab"_QQ_" knappen. I kampmodus kan du trykke "_QQ_"backspace"_QQ_" knappen for å få fram kommandør grensesnittet."
hint_10  = "Dyr kan få panikk i nærheten av troll. Pass opp!"
hint_11  = "Arbeidskraft representerer en avgjørende resurs for et kongerike. Verver du og holder soldater under din kommando vil du bruke opp resurs poeng i den respektive fraksjonen."
hint_12  = "Du kan gi ordre til dine gruppemedlemmer i kamp. Du kan også holde ned "_QQ_"shift"_QQ_" knappen for å zoome inn mens du sikter på fjerne fiender."
