itm_horse_meat|Konina
itm_practice_sword|Miecz Ćwiczebny
itm_arena_lance|Lanca
itm_practice_staff|Kostur
itm_practice_bow|Łuk Ćwiczebny
itm_wooden_javelin|Oszczep
itm_human_meat|Ludzkie Ścierwo
itm_maggoty_bread|Robaczywy Chleb
itm_cram|Racja żywnościowa
itm_lembas|Lembas
itm_smoked_fish|Wędzona Ryba
itm_dried_meat|Suszone Mięso
itm_cattle_meat|Wołowina
itm_grain|Pszenica
itm_tools|Narzędzia
itm_siege_supply|Zapasy
itm_quest_wine|Wino
itm_quest_ale|Piwo
itm_metal_scraps_bad|Bezwartościowy Złom
itm_metal_scraps_medium|Złom Zdatny do Użytku
itm_metal_scraps_good|Złom Dobrej Jakości
itm_oliphant|Olifant
itm_sumpter_horse|Koń Juczny
itm_saddle_horse|Siodłany Koń
itm_steppe_horse|Koń Stepowy
itm_courser|Rumak
itm_hunter|Łowca
itm_pony|Kuc
itm_arnor_warhorse|Arnorski Koń Bojowy
itm_dunedain_warhorse|Koń Bojowy Dunedainów
itm_rohirrim_courser|Rohański Rumak
itm_rohirrim_hunter|Rohański Łowca
itm_rohirrim_courser2|Rohański Rumak
itm_rohan_warhorse|Rohański Koń Bojowy
itm_thengel_warhorse|Koń Bojowy Gwardii Thengla
itm_rhun_horse_a|Koń z Rhunu
itm_rhun_horse_b|Koń z Rhunu
itm_rhun_horse_d|Koń z Rhunu
itm_rhun_horse_e|Bitewny Koń z Rhunu
itm_rhun_horse_f|Bitewny Koń z Rhunu
itm_rhun_horse_g|Bitewny Koń z Rhunu
itm_rhun_horse_h|Bitewny Koń z Rhunu
itm_dale_horse|Koń z Dale
itm_dale_warhorse|Koń Bojowy z Dale
itm_riv_warhorse|Koń Bojowy z Rivendell
itm_riv_warhorse2|Wierzchowiec z Imladris
itm_mordor_warhorse|Koń Bojowy z Mordoru
itm_mordor_warhorse2|Złowrogi Ogier Bojowy z Mordoru
itm_gondor_courser|Gondorski Rumak
itm_gondor_hunter|Gondorski Łowca
itm_dol_amroth_warhorse|Koń Bojowy z Dol Amroth
itm_dol_amroth_warhorse2|Ogier Bojowy z Dol Amroth
itm_gondor_warhorse|Gondorski Koń Bojowy
itm_gondor_lam_horse|Gondorski Opancerzony Ogier
itm_lorien_warhorse|Koń Bojowy z Lothlorien
itm_harad_horse|Koń z Haradu
itm_harad_warhorse|Koń Bojowy z Haradu
itm_variag_pony|Kuc Variagów
itm_variag_kataphrakt|Koń Bojowy Easterlingów
itm_warg_1b|Warg
itm_warg_1c|Warg
itm_warg_1d|Warg
itm_wargarmored_1b|Opancerzony Warg
itm_wargarmored_1c|Opancerzony Warg
itm_wargarmored_2b|Opancerzony Warg
itm_wargarmored_2c|Opancerzony Warg
itm_wargarmored_3a|Opancerzony Warg
itm_warg_reward|Olbrzymi Warg
itm_troll_feet_boots|Stopy Trola
itm_troll_head_helm|Łeb Trola
itm_troll_head_helm_b|Łeb Trola
itm_troll_head_helm_c|Łeb Trola
itm_tree_trunk_club_a|Pień
itm_tree_trunk_club_b|Pień
itm_tree_trunk_invis|Pień
itm_giant_hammer|Wielki Młot
itm_giant_mace|Wielka Maczuga
itm_giant_mace_b|Wielka Nabijana Maczuga
itm_olog_feet_boots|Stopy Ologa
itm_olog_head_helm|Łeb Ologa
itm_olog_head_helm_b|Łeb Ologa
itm_olog_head_helm_c|Łeb Ologa
itm_olog_body|Zbroja Olog-hai
itm_olog_body_b|Zbroja Olog-hai
itm_olog_hands|Łapy Ologa
itm_arrows|Strzały
itm_gondor_arrows|Gondorskie Strzały
itm_gondor_auxila_arrows|Gondorskie Strzały
itm_khergit_arrows|Haczykowate Strzały
itm_rohan_arrows_2|Rohańskie Strzały
itm_harad_arrows|Haradzkie Strzały
itm_corsair_arrows|Korsarskie Strzały
itm_ithilien_arrows|Strzały z Ithilien
itm_woodelf_arrows|Strzały Leśnych Elfów
itm_elven_arrows|Elfickie Strzały
itm_orc_hook_arrow|Haczykowate Strzały Orków
itm_isengard_arrow|Isengardzkie Strzały
itm_pilgrim_disguise|Ubiór Pielgrzyma
itm_leather_gloves|Skórzane Rękawice
itm_mail_mittens|Kolcze Rękawice
itm_leather_boots|Skórzane Buty
itm_black_dress|Czarna Suknia
itm_blackwhite_dress|Suknia Damy
itm_white_tunic_a|Biała Tunika
itm_white_tunic_b|Prosta Tunika
itm_white_tunic_c|Kurtka
itm_blue_tunic|Niebieskia Tunika
itm_black_tunic|Czarna Tunika
itm_green_tunic|Zielona Tunika
itm_red_tunic|Czerwona Tunika
itm_leather_apron|Skórzany Fartuch
itm_leather_jerkin|Leather Jerkin
itm_fur_coat|Płaszcz z Dale
itm_green_dress|Zielona Suknia
itm_tld_tunic|Tunika
itm_gondor_fine_outfit_dress|Porządne Ubranie
itm_rohan_fine_outfit_dale_dress|Porządne Ubranie
itm_robe_generic_dress|Toga
itm_wimple_a|Czepek
itm_wimple_with_veil|Czepek
itm_fine_hat|Porządny Kapelusz
itm_shortened_spear|Skrócona Włócznia
itm_spear|Włócznia
itm_light_lance|Lekka lanca
itm_lance|Lanca
itm_tab_shield_small_round_b|Okrągła Tarcza Kawaleryjska
itm_short_bow|Krótki Łuk
itm_regular_bow|Łuk
itm_nomad_bow|Nomadzki Łuk
itm_gondor_bow|Gondorski Łuk
itm_strong_bow|Gruby Łuk
itm_elven_bow|Elficki Łuk
itm_corsair_bow|Korsarski Łuk
itm_dwarf_horn_bow|Krasnoludzki Łuk z Rogu
itm_dwarf_short_bow|Krasnoludzki Krótki Łuk
itm_harad_bow|Haradzki Wygięty Łuk
itm_lg_bow|Łuk Gwardii Orła
itm_riv_bow|Łuk z Rivendell
itm_glorfi_bow|Łuk Glorfindela
itm_lorien_bow|Łuk Galadrimów
itm_isengard_large_bow|Isengardzki Wielki Łuk
itm_dale_bow|Łuk z Dale
itm_uruk_bow|Łuk Orków
itm_mirkwood_bow|Łuk z Mrocznej Puszczy
itm_dunland_javelin|Dunlandzkie Oszczepy
itm_orc_throwing_arrow|Orkowe Rzutki
itm_heavy_throwing_spear|Ciężka Włócznia do Rzucania
itm_javelin|Oszczep
itm_harad_javelin|Haradzki Oszczep
itm_gondor_javelin|Gondorski Oszczep
itm_rohirrim_throwing_axe|Rohańskie Toporki do Rzucania
itm_loss_throwing_axes|Toporki do Rzucania z Lossarnach
itm_arnor_helm_a|Arnorski Hełm
itm_arnor_helm_b|Arnorski Hełm
itm_arnor_helm_c|Arnorski Hełm
itm_dunedain_helm_a|Kaptur Dunedainów
itm_dunedain_helm_b|Arnorski Zdobiony Hełm
itm_arnor_armor_a|Arnorska Zbroja
itm_arnor_armor_b|Arnorska Zbroja
itm_arnor_armor_c|Skórznia Strażnika Dunedainów
itm_arnor_armor_d|Skórznia Strażnika Dunedainów
itm_arnor_armor_e|Arnorska Wzmacniana Kurtka
itm_arnor_armor_f|Arnorska Wspaniała Zbroja
itm_arnor_greaves|Arnorskie Nagolenniki
itm_arnor_splinted|Arnorskie Paskowe Nagolenniki
itm_arnor_shield_a|Arnorska Tarcza
itm_arnor_shield_c|Arnorska Tarcza Kawaleryjska
itm_arnor_shield_b|Arnorska Tarcza
itm_arnor_shield_d|Arnorska Tarcza Kawaleryjska
itm_arnor_sword_a|Arnorski Miecz Półtoraręczny
itm_arnor_sword_c|Arnorski Miecz Półtoraręczny
itm_arnor_sword_f|Arnorski Krótki Miecz
itm_riv_helm_a|Czepiec z Rivendell
itm_riv_helm_b|Hełm Łucznika z Rivendell
itm_riv_helm_c|Hełm Piechura z Rivendell
itm_riv_helm_glorfi|Włosy Glorfindela
itm_riv_tiara|Tiara Elfiego Pana
itm_riv_shield_a|Tarcza z Rivendell
itm_riv_shield_b|Tarcza z Rivendell
itm_riv_bas_sword|Miecz Półtoraręczny z Rivendell
itm_riv_1h_sword|Miecz z Rivendell
itm_riv_riding_sword|Miecz Kawaleryjski z Rivendell
itm_riv_archer_sword|Miecz Łucznika z Rivendell
itm_riv_spear|Włócznia z Rivendell
itm_riv_armor_light|Zbroja z Rivendell
itm_riv_armor_light_inf|Zbroja z Rivendell
itm_riv_armor_archer|Zbroja z Rivendell
itm_riv_armor_m_archer|Zbroja z Rivendell
itm_riv_armor_med|Zbroja z Rivendell
itm_riv_armor_heavy|Zbroja z Rivendell
itm_riv_armor_h_archer|Zbroja z Rivendell
itm_riv_armor_leader|Skórzana Zbroja z Rivendell
itm_riv_boots|Buty z Rivendell
itm_gon_footman|Gondorska Koszulka Kolcza
itm_gon_jerkin|Gondorska Kurtka
itm_gon_regular|Gondorska Ciężka Kolczuga
itm_gon_bowman|Gondorska Przeszywanica
itm_gon_archer|Gondorska Przeszywanica z Płaszczem
itm_gon_noble_cloak|Gondorska Kurtka Szlachcica
itm_gon_squire|Gondorska Kolczuga z Płaszczem
itm_gon_knight|Gondor Ciężka Kolczuga z Płaszczem
itm_gon_ranger_cloak|Gondorski Płaszcz Zwiadowcy
itm_gon_ranger_skirt|Gondorska Poła Zwiadowcy
itm_gon_steward_guard|Gondorska Zbroja Gwardii Namiestnika
itm_gon_tower_guard|Gondorska Zbroja Gwardii Cytadeli
itm_gon_tower_knight|Gondorska Zbroja Rycerza Cytadeli
itm_gon_leader_surcoat_cloak|Gondorski Surkot Przywódcy
itm_gondor_ranger_hood|Zielony Kaptur
itm_gondor_ranger_hood_mask|Gondorski Kaptur Zwiadowcy
itm_gondor_light_greaves|Gondorskie Skórzane Nagolenniki
itm_gondor_med_greaves|Gondorskie Porządne Nagolenniki
itm_gondor_heavy_greaves|Gondorskie Kolcze Nogawice
itm_gondorian_light_helm|Gondorski Hełm Piechura
itm_gondor_infantry_helm|Gondorski Hełm Piechoty
itm_gondor_auxila_helm|Gondorski Hełm Auxilii
itm_gondorian_light_helm_b|Gondorski Hełm Łucznika
itm_gondorian_archer_helm|Gondorski Hełm Strzelca
itm_tower_archer_helm|Hełm Strzelca Cytadeli
itm_gondor_leader_helm|Gondorski Wspaniały Hełm
itm_tower_guard_helm|Hełm Gwardii Cytadeli
itm_gondor_citadel_knight_helm|Hełm Rycerza Cytadeli
itm_gondor_squire_helm|Gondorski Hełm Giermka
itm_gondor_knight_helm|Gondorski Hełm Rycerza
itm_gondor_dolamroth_helm|Hełm z Dol Amroth
itm_swan_knight_helm|Hełm Łabędziego Rycerza
itm_gondor_lamedon_helm|Lamedoński Hełm
itm_gondor_lamedon_leader_helm|Lamedoński Wspaniały Hełm
itm_blackroot_archer|Zbroja Strzelca z Blackroot Vale
itm_blackroot_bowman|Zbroja Łucznika z Blackroot Vale
itm_blackroot_footman|Zbroja Piechura z Blackroot Vale
itm_blackroot_warrior|Zbroja Wojownika z Blackroot Vale
itm_blackroot_leader|Zbroja Przywódcy z Blackroot Vale
itm_blackroot_hood|Kaptur z Blackroot Vale
itm_dol_hauberk|Koszula Kolcza z Dol Amroth
itm_dol_heavy_mail|Ciężka Kolczuga z Dol Amroth
itm_dol_padded_coat|Aketon z Dol Amroth
itm_dol_shirt|Ubiór z Dol Amroth
itm_dol_very_heavy_mail|Wzmacniana Ciężka Kolczuga z Dol Amroth
itm_dol_greaves|Nagolenniki z Dol Amroth
itm_dol_shoes|Lekkie Buty z Dol Amroth
itm_lamedon_clansman|Lamedońska Zbroja Członka Klanu
itm_lamedon_footman|Lamedońska Zbroja Piechura
itm_lamedon_knight|Lamedońska Zbroja Rycerza
itm_lamedon_leader_surcoat_cloak|Lamedońska Zbroja Łucznika
itm_lamedon_warrior|Lamedońska Zbroja Wojownika
itm_lamedon_veteran|Lamedońska Zbroja Weterana
itm_lamedon_vet_warrior|Lamedońska Zbroja Doborowego Wojownika
itm_lamedon_hood|Lamedoński Kaptur
itm_pinnath_archer|Zbroja Łucznika z Pinnath Gelin
itm_pinnath_footman|Zbroja Piechura z Pinnath Gelin
itm_pinnath_leader|Zbroja Przywódcy z Pinnath Gelin
itm_pinnath_vet_footman|Zbroja Doborowego Piechura z Pinnath Gelin
itm_pinnath_warrior|Zbroja Wojownika z Pinnath Gelin
itm_pel_footman|Zbroja Łucznika z Pelargiru
itm_pel_jerkin|Kurtka z Pelargiru
itm_pel_leader|Skórznia z Pelargiru
itm_pel_marine|Żeglarz z Pelargiru
itm_pelargir_marine_leader|Przywódca Żeglarzy z Pelargiru
itm_pelargir_regular|Zołnierz z Pelargiru
itm_pelargir_hood|Kaptur z Pelargiru
itm_pelargir_helmet_light|Hełm z Pelargiru
itm_pelargir_helmet_heavy|Ciężki z Pelargiru
itm_pelargir_greaves|Nagolenniki z Pelargiru
itm_lossarnach_shirt|Ubranie z Lossarnach
itm_lossarnach_axeman|Zbroja Topornika z Lossarnach
itm_lossarnach_leader|Zbroja Przywódcy z Lossarnach
itm_lossarnach_vet_axeman|Zbroja Doborowego Topornika z Lossarnach
itm_lossarnach_vet_warrior|Zbroja Doborowego Wojownika z Lossarnach
itm_lossarnach_warrior|Zbroja Wojownika z Lossarnach
itm_lossarnach_cloth_cap|Czapka z Lossarnach
itm_lossarnach_leather_cap|Skórzany Czepiec z Lossarnach
itm_lossarnach_scale_cap|Łuskowy Czepiec z Lossarnach
itm_lossarnach_greaves|Nagolenniki z Lossarnach
itm_gondor_shield_a|Gondorska Kwadratowa Tarcza
itm_gondor_shield_b|Gondorska Trójkątna Tarcza
itm_gondor_shield_c|Gondorska Tarcza z Cytadeli
itm_gondor_shield_d|Gondorska Trójkątna Tarcza
itm_gondor_shield_e|Gondorska Królewska Tarcza
