p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|Zachodnie Osgiliath
p_town_henneth_annun|Henneth Annun
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Rogaty Gród
p_town_east_emnet|Wschodni Emnet
p_town_westfold|Zachodnia Bruzda
p_town_west_emnet|Zachodni Emnet
p_town_eastfold|Wschodnia Bruzda
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul
p_town_cirith_ungol|Obóz Patrolu Orków
p_town_east_osgiliath|Wschodnie Osgiliath
p_town_orc_sentry_camp|Strażnica Orków
p_town_isengard|Isengard
p_town_urukhai_outpost|Posterunek Uruk Hai
p_town_urukhai_h_camp|Obóz Łowiecki Uruk Hai
p_town_urukhai_r_camp|Obóz Rzeczny Uruk Hai
p_town_caras_galadhon|Caras Galadhon
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth
p_town_thranduils_halls|Sale Thranduila
p_town_woodelf_camp|Obóz Leśnych Elfów
p_town_woodelf_west_camp|Zachodni Obóz Leśnych Elfów
p_town_woodsmen_village|Wieś Ludzi Lasu
p_town_beorning_village|Beorninska Wieś
p_town_beorn_house|Dom Beorna
p_town_moria|Bramy Morii
p_town_troll_cave|Jaskinia Trola
p_town_dale|Dale
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Obóz Dunlandczyków
p_town_harad_camp|Obóz Haradrimów
p_town_khand_camp|Obóz Khandu
p_town_umbar_camp|Obóz Korsarzy
p_town_imladris_camp|Obóz Rivendell
p_town_dol_guldur|Dol Guldur
p_town_dol_guldur_north_outpost|Północny Posterunek Dol Guldur
p_town_rhun_main_camp|Główny Obóz Rhun
p_town_rhun_south_camp|Południowy Posterunek Rhun
p_town_rhun_north_camp|Północny Posterunek Rhun
p_town_gundabad|Gundabad
p_town_gundabad_ne_outpost|Północno-wschodni Posterunek Gundabad
p_town_gundabad_nw_outpost|Północno-zachodni Posterunke Gundabad
p_town_goblin_north_outpost|Północny Posterunek Goblinów
p_town_goblin_south_outpost|Południowy Posterunek Goblinów
p_town_gundabad_m_outpost|Gundabadzki Posterunek w Mrocznej Puszczy
p_town_erebor|Erebor
p_town_ironhill_camp|Kamieniołomy Żelaznych Wzgórz
p_advcamp_gondor|Obozowisko Gondoru
p_advcamp_rohan|Obozowisko Rohanu
p_advcamp_isengard|Obozowisko Isengardu
p_advcamp_mordor|Obozowisko Mordoru
p_advcamp_harad|Obozowisko Haradu
p_advcamp_rhun|Obozowisko Rhun
p_advcamp_khand|Obozowisko Khandu
p_advcamp_umbar|Obozowisko Umbaru
p_advcamp_lorien|Obozowisko Lorien
p_advcamp_imladris|Obozowisko Imladris
p_advcamp_woodelf|Obozowisko Mirkwood
p_advcamp_moria|Obozowisko Morii
p_advcamp_guldur|Obozowisko Dol Guldur
p_advcamp_gundabad|Obozowisko Gundabad
p_advcamp_dale|Obozowisko Dale
p_advcamp_dwarf|Obozowisko Ereboru
p_advcamp_dunland|Obozowisko Dunlandu
p_advcamp_beorn|Obozowisko Beorningów
p_argonath|Argonath
p_argonath2|Argonath
p_hand_isen|Ręka Isengardu
p_mount_doom|Góra Przeznaczenia
p_town_barad_dur|Barad Dur
p_ford_cair_andros1|Anduina
p_ford_cair_andros2|Anduina
p_ford_caras_galadhon|Anduina
p_ford_brown_lands|Anduina
p_ford_rauros|Anduina
p_ford_pelargir|Anduina
p_ford_edhellond|Anduina
p_ford_cerin_dolen|Srebrna żyła
p_old_ford| Stary Bród
p_ford_erech|Ringlo
p_ford_isen1|Isena
p_ford_isen2|Isena
p_ford_rohan|Rzeka Entów
p_ford_rohan2|Rzeka Entów
p_ford_fangorn|Rzeka Entów
p_ford_fangorn2|Mętna Woda
p_ford_moria|Srebrna żyła
p_legend_amonhen|Amon Hen
p_legend_deadmarshes|Martwe Bagna
p_legend_mirkwood|Mroczna Puszcza
p_legend_fangorn|Las Fangorn
p_ring_hunter_lair|Nora łowców pierścienia
p_ancient_ruins|Starożytne Ruiny
