qst_deliver_message|- List, który ma otrzymać {s13}
qst_deliver_message_text|{s9} poprosił cię o dostarczenie wiadomości. Ma ją otrzymać {s13}. {s13} odwiedzał {s4}, gdy otrzymał{e/a}ś to zadanie.
qst_deliver_message_to_enemy_lord|- List, który ma otrzymać {s13}
qst_deliver_message_to_enemy_lord_text|{s9} poprosił cię o dostarczenie wiadomości. Ma ją otrzymać {s13} ({s15}). {s13} odwiedzał {s4}, gdy otrzymał{e/a}ś to zadanie.
qst_raise_troops|- Szkolenie {reg1} {s14}
qst_raise_troops_text|{s9} poprosił cię o wyszkolenie {reg1} {s14} i przyprowadzenie ich do niego.
qst_escort_messenger|- Eskorta
qst_escort_messenger_text|Odeskortuj posłańca do {s14}.
qst_hunt_down_fugitive|- Łotr {s4}
qst_hunt_down_fugitive_text|{s9} poprosił cię, byś dopadł{/a} i ukarał{/a} mordercę zwanego {s4}. Podobno ukrywa się gdzieś w {s3}.
qst_bring_back_runaway_serfs|- Uciekający niewolnicy
qst_bring_back_runaway_serfs_text|{s9} poprosił cię, byś sprowadził{/a} trzy grupy niewolników z powrotem do {s2}. Powiedział, że wszystkie trzy grupy zapewne kierują się w stronę {s3}.
qst_follow_spy|- Śladem szpiega
qst_follow_spy_text|{s11} poprosił cię, byś podążył{/a} za szpiegiem, który niedługo opuści {s12}. Musisz uważać by nie zostać zauważon{y/a} przez szpiega w czasie jego podróży, gdyż może on nabrać podejrzeń i zawrócić. Gdy już szpieg spotka się ze swym wspólnikiem, masz ich pojmać i przyprowadzić do zleceniodawcy ({s11}).
qst_capture_enemy_hero|- Pojmanie wrogiego dowódcy
qst_capture_enemy_hero_text|{s11} poprosił cię, byś pojmała{/a} wrogiego dowódcę.
qst_lend_companion|- {reg3?Towarzyszka:Towarzysz}
qst_lend_companion_text|{s9} poprosił cię, byś wypożyczył{/a} mu swego towarzysza. {s3}, bo o {reg3?nią:niego} właśnie chodzi, wróci do ciebie za tydzień.
qst_capture_prisoners|- Pojmanie
qst_capture_prisoners_text|{s9} chciał, byś przyprowadził{/a} mu {reg1} więźniów.
qst_investigate_fangorn|- Fangorn
qst_investigate_fangorn_text|{s9} poprosił cię, byś zbadał{/a} co się dzieje w lesie Fangorn, a następnie złożył{a/} raport.
qst_capture_troll|- Trol
qst_capture_troll_text|{s9} poprosił cię, byś złapał{/a} dzikiego trola do jego armi.
qst_kill_troll|- Przeprowadzka
qst_kill_troll_text|{s9} poprosił cię o uwolnienie {s13} od rozszalałego Trola.
qst_mirkwood_sorcerer|- Zabić czarownika
qst_mirkwood_sorcerer_text|Moc Galadrieli wykorzystywana w obronie Lothlorien zostały bardzo osłabiona w wyniku przeklętych rytuałów czarownika z Dol Guldur.  Mimo swej śmiertelności stanowi wielkie niebezpieczeństwo dla Elfów. Znajdziejsz go w Mrocznej Puszczy, niedaleko Dol Guldur. Pamiętaj, że tylko skryte działanie pozwoli go pokonać.
qst_find_lost_spears|- Włócznia króla Bladorthina
qst_find_lost_spears_text|{s9} poprosił cię o odnalezienie krasnoludzkiej włóczni wykonanej dla króla Bladorthina. Musisz zapytać krasnoludów o zgodę na poszukiwania w głębi Samotnej Góry.
qst_defend_village|- Obroń wioskę.
qst_raid_village|-Najedź wioskę.
qst_rescue_prisoners|- Na ratunek
qst_rescue_prisoners_text|{s9} chciał, byś uratował{/a} {reg1} więźniów.
qst_scout_enemy_town|- Wrogie miasto
