hint_1|A Mão Branca não deve confiar demais no Olho Sem Pálbebra, nem o contrário.
hint_2|Contra quem você está lutando, quem você está ajudando e onde a batalha acontece determinam qual reino aliado notará e talvez apreciará seus esforços.
hint_3|Patrulheiros são uma fonte de informação para um Reino, assim como prisioneiros arrastados para suas masmorras para tortura e interrogatório. Libertar prisioneiros e enviar batedores pode cegar o inimigo.
hint_4|Lembre-se de que você tem um valor diferente de Pontos de Recurso dentro de cada Reino, que lhe dão direito a ser reabastecido com equipamentos e tropas dentro daquele Reino.
hint_5|O colapso militar de um reino é irreversível. Mordor jamais poderá sofrer tal destino, mas a guerra terminará se seu poder militar for contido e todos os seus aliados forem derrotados.
hint_6|É preciso ter a mente fria (INT) para evitar o pânico para um Nazgûl. É preciso ter controle perfeito do cavalo para evitar que ele entre em pânico.
hint_7|Você pode descansar no mapa-múndi mantendo pressionada a barra de espaço. No entanto, membros feridos do grupo se recuperarão mais rapidamente enquanto descansam nas cidades.
hint_8|Para reivindicar e doar itens rapidamente na janela de inventário, mantenha pressionada a tecla Ctrl enquanto clica com o botão esquerdo.
hint_9|Você pode sair de qualquer local instantaneamente pressionando a tecla Tab e a tecla Backspace durante a batalha para abrir a interface de comando.
hint_10|Animais podem entrar em pânico perto de trolls e olog-hais. Cuidado!
hint_11|A força de trabalho representa um recurso crucial de um reino: tomar e manter tropas sob seu comando consumirá Pontos de Recurso da respectiva facção.
hint_12|Você pode dar ordens ao seu grupo durante a batalha. Mantenha pressionada a tecla Shift para aumentar o zoom enquanto mira em inimigos distantes.
