ip_battle_formations|Formações de Batalha: TLD FormAI
ip_battle_formations_text|Suas tropas se posicionarão e defenderão no início de cada batalha, em vez de atacar às cegas. Apenas as principais facções (todas as 18) usam formações (+ desertores); os bandidos simplesmente atacarão. Há uma pequena diferença entre as facções do bem e do mal: a infantaria do bem formará muralhas de escudos (geralmente defensivas - tropas com escudos primeiro, mas podem formar uma falange se você tiver lanceiros), enquanto a infantaria do mal formará fileiras (as melhores tropas primeiro). As formações só funcionam em batalhas de campo (ou seja, não em batalhas personalizadas e cercos).^^Sempre que você tiver uma formação ou "Resguardar" no jogo, ela será posicionada perto da posição que o jogador tinha quando o comando foi dado: infantaria à esquerda, cavalaria à direita e arqueiros à frente. As tropas dos jogadores iniciam cada batalha em formação.^^As combinações de teclas para formação são:^"J" para fileiras,^"K" para fileiras baseadas em armas (parede de escudos, falange),^"L" para cunha (o jogador deve reatribuir o "L" para o mapeamento "Log")^";" para quadrado,^"U" para nenhuma formação (desfazer formação).^^O comando "fileiras" para arqueiros os coloca em uma linha escalonada. A cavalaria não formará nenhuma formação além da cunha.^^Atacar (e Desmontar para cavalaria) desfaz uma formação. O jogador pode Avançar várias vezes para que uma formação se mova em direção à posição média do inimigo. Ou use o painel de ordens ou segure F1 para posicioná-las (ou varrê-las sobre o inimigo para a cunha da cavalaria).^^Se tiver problemas com formações, você pode reverter para a IA Nativa.
ip_battle_formations_newformai|Formações de Batalha: NewFormAI
ip_battle_formations_newformai_text|O NewFormAI permite que você acesse formações a partir do menu de ordens e comande suas formações para atacar formações inimigas específicas por meio do comando "manter lá" (pressione F1). Mas ele não foi totalmente testado.^^Use os NÚMEROS do teclado para selecionar uma divisão. Pressione 0 para selecionar toda a sua força.^^Use F1-F4 para ordenar divisões selecionadas. Mantenha a tecla F1 pressionada para posicionar as divisões selecionadas. Você pode mirar em uma divisão inimiga através deste mecanismo."^^As Formações Complexas no Menu de Batalha são:^- FILEIRAS com as melhores tropas na frente^- MURALHA DE ESCUDOS, fileiras com escudos na frente e armas mais longas atrás^- CUNHA com as melhores tropas na frente^- QUADRADO sem nenhuma ordem específica^- SEM FORMAÇÃO^Mesmo no último caso, o jogador pode fazer formações de até quatro linhas ordenando Ficar Mais Perto vezes suficientes.^^Quando UMA divisão é selecionada, o centro de sua fileira da frente é colocado no local indicado.^^Quando MUITAS divisões são selecionadas, elas são separadas e espalhadas como se o jogador estivesse no local indicado.^^Pode-se memorizar o posicionamento das divisões selecionadas em relação ao jogador pressionando F2, F7. O padrão é infantaria à esquerda, cavalaria à direita e à frente. O posicionamento é substituído para qualquer divisão que o jogador escolher liderar pessoalmente através do menu Opções de Formações.^^Se a opção de jogo do menu acampamento estiver definida, as divisões irão girar para enfrentar o inimigo. Caso contrário, elas manterão a postura que o jogador tinha quando foi posicionado.
ip_battle_morale|Moral de Batalha (Coerência)
; ip_battle_morale_text|Battle morale is called coherence for sake of differentiation from your party's morale on the main map. However, party morale also affects your party's coherence in battle. So does your and your companions' Leadership skill, the amount of captains and banner carriers on the field, your party's averaqge level and the numerical relation between both sides. Battle field effects like magical mists or certain events may also affect coherence.^^The more casualties your side suffers, the more their morale crumbles. If your coherence falls low, your troops may flee from battle, eventually resulting in a mass rout! You can support your troops in two ways:^^1. Killing enemies. If you do well, you impress your men and they fight harder and don't flee. Killing enemy heroes, banner carriers or high level troops will also hurt their coherence.^^2. Rallying them. Press "V" to encourage your troops and increase your coherence. You also have a chance to rally troops that are already fleeing. You get only a limited amount of rallies per battle! The amount, strength, and range of your rally is affected by your Charisma and Leadership. Your rally is supported by your companions (if they have the leadership skill) and captains.^^It can be quite the advantage if you manage to defeat the enemy commander, because that robs enemies of their leader, so they cannot be rallied.
ip_economy|Pontos de Recurso, Patente, Influência
ip_economy_text|Não há dinheiro em TLD. Em vez disso, você desenvolve relacionamentos com facções — representados por Recursos, Influência e Rank.^^ Recursos são o que é necessário para sustentar a facção na guerra — você pode resgatar sobras e itens saqueados por eles e também recebe uma certa quantidade de subsídio de recursos a cada semana, dependendo do seu rank dentro da facção. Você pode usar esse subsídio para obter soldados, equipamentos, cavalos para comandar e companheiros para segui-lo, mas somente se acumular o suficiente. Você tem um conjunto separado de recursos/influência/rank para cada facção, lembre-se disso!^^ Pontos de influência são concedidos ao concluir missões e vencer batalhas difíceis. Eles podem ser gastos posteriormente em itens especiais como recompensa dos governantes da facção ou para dar ordens a outros heróis e grupos, se sua patente for alta o suficiente.^^Os pontos de patente permitem que você suba na hierarquia da sua facção - isso determinará o tamanho máximo do seu grupo, a renda semanal de recursos, desbloqueará opções de comando e disponibilizará itens de maior qualidade nas lojas.^^Além disso, estabelecer relações com assentamentos (representados pelo ancião da cidade local) e líderes aliados lhe concederá certos benefícios.^^Para sermos fiéis à tradição, também desabilitamos por padrão a opção do chamado "travestismo": um gondoriano provavelmente nunca usaria uma armadura de orc saqueada, e vice-versa. Após a maioria das batalhas, você encontrará poucos ou nenhum item no saque que possa ser usado diretamente. Em vez disso, "sucatas de metal" são largadas, representando equipamentos recuperáveis, e podem ser entregues aos seus ferreiros que precisarem delas, em troca de Pontos de Recurso.
ip_war_of_the_ring|Guerra do Anel
; ip_war_of_the_ring_text|At the beginning of the game the War between good and evil hasn't started yet. You'll be notified when it does. (Depending on the setting you chose at the start of the campaign, this may depend on time spend or your character's level.) While Middle Earth might look like a pretty empty and quiet place at start, it gets filled with hostile parties very quickly once the War starts. Be prepared and use your few days of peace wisely! You can perform quests for the lords and leaders of all allied factions, raise troops and train yourself in the barracks.^^Every faction has a strength rating - which changes according to faction successes or failures in battles. With strength dropping low enough, it becomes possible for enemies to siege faction cities/camps. When a faction drops to the lowest status, it is possible to defeat it completely by storming its capital.^^Note that as the player, you cannot simply initiate sieges yourself. You can only help his faction and allies in siege battles if their leaders decide that it is time to go storm the enemy settlement. If you have a high rank and enough influence with a faction, you may however suggest their leader to attack specific settlements. At the highest rank with your home faction, you can also gain the right to lead an assault on a settlement yourself.^^There are several theatres of war in TLD, defined by geography. When one side eliminates all the enemies in its current theatre, it will send an expeditionary force to help allies on other theatres. Expeditionary force will build an advance camp in the other theatre and operate from there. If the good forces are completely defeated, but Mordor and Isengard still stand strong, the Two Towers will battle each other over total dominance.
ip_starting_tips|Dicas Iniciais
ip_starting_tips_text|Você escolhe sua facção no início e não pode alterá-la posteriormente. Você também pode escolher entre diferentes raças: Homens, Elfos, Anões, Uruks, Uruk-hai ou Orcs. Lembre-se de que tanto a facção quanto a raça que você escolher o limitarão de certas maneiras. Algumas facções fornecem excelentes soldados, mas em pequeno número. Algumas têm tropas fracas, mas você pode contratar muitas. Orcs menores não podem usar armaduras projetadas para caras grandes, mas podem montar algumas feras. Anões têm equipamentos excepcionais, mas não podem montar montarias.^^Isso não foi projetado para ser totalmente (artificialmente) balanceado. Jogar com raças ou facções mais fracas pode ser mais desafiador (como um primeiro jogo, você pode preferir opções, nos menus iniciais, que são colocadas no topo da lista de alternativas).^^Você escolhe uma facção e luta por ela até que seu lado vença a grande guerra, ou até que sua facção seja eliminada. Nesse caso, você ainda pode continuar lutando por seus aliados.^^- vagar sem rumo não é uma boa ideia, a guerra requer propósito e intenção de sua parte. Antes do início da guerra, você está tentando reunir um grupo de guerreiros, obter os companheiros de baixa exigência e alguns equipamentos para estar pronto. Depois que a guerra começar, suas estratégias podem variar. Lembre-se: é importante ajudar seus aliados e derrotar o inimigo.^- Fazer missões para os lordes de facção é uma boa maneira de subir de patente e obter recursos e pontos de influência.^- Faça várias missões/missões ao mesmo tempo, pergunte a todos! Muitas vezes, você pode "fazer as rondas" e realizar várias outras enquanto entrega uma carta, por exemplo. Não perca tempo!
ip_rumours_and_legendary_places|Rumores e Lugares Lendários
ip_rumours_and_legendary_places_text|Conversando com pessoas em assentamentos, você pode ler comentários da perspectiva da facção delas. Isso geralmente contém histórias interessantes e, às vezes, até informações que desbloqueiam Locais Lendários especiais no mapa-múndi.^^Alguns deles são apenas para exploração e não servem a nenhum outro propósito, outros contêm missões e easter eggs exclusivos. Ao desbloquear um, você será notificado por uma mensagem.
ip_trolls|Trolls
; ip_trolls_text|Trolls are very powerful. Evil players can only recruit them by spending influence points. Untrained trolls can become uncontrollable or even run amok!^^If you're looking for trolls as a mission, they can be found roaming around settlements they've been harassing (although friendly parties sometimes drive them further away, or outright deal with them before you do), or they roam the Misty Mountains, mostly nearby to their home caves.
ip_custom_camera|Câmera Personalizada
ip_custom_camera_text|The Last Days of the Third Age implementou uma Câmera Personalizada para contornar a limitação atual da câmera em relação a raças mais curtas (ou seja, Orcs e Anões). É fácil de usar, mas pode levar algum tempo para se acostumar.^^Existem 2 modos: Posição Fixa e Modo Livre.^^A posição fixa é a posição ideal para todas as raças, porém não pode ser configurada.^^A Câmera do Modo Livre coloca o personagem no centro da tela. Esta câmera pode ser ajustada de acordo com a preferência do jogador. Ao mirar durante o arco e flecha ou arremesso, ela retorna à câmera padrão para uma mira melhor (o que pode ser bastante difícil no começo, mas com o tempo você se acostuma). Assim que o projétil for usado, ele retornará para a câmera personalizada.^^^Controles:^^Pressione as teclas Ctrl+End juntas para alternar entre os três modos de câmera: Câmera Padrão / Câmera Fixa / Câmera em Modo Livre.^^No modo "Câmera em Modo Livre", pressione e segure Ctrl e a Seta para Cima (ou Seta para Baixo) para ajustar a altura da câmera (Inclinação).^^No modo "Câmera em Modo Livre", pressione e segure Ctrl e a tecla + (ou -) do teclado numérico para ajustar a distância da câmera (Zoom).^^Além disso, você também pode pressionar Shift enquanto move/aplica zoom na câmera para ativar a suavização.^^No modo "Câmera em Modo Fixo", pressione Ctrl e as Setas para a esquerda/baixo/direita para alternar a visão entre ombro esquerdo/central/direito.
ip_sieges|IA de Cerco
; ip_sieges_text|The Last Days of the Third Age has an Advanced Siege AI, vastly different from Native. All attackers and defenders will be distributed to the left and right flanks and the center. Players command some of their own troops. Troops from your party will also join when they're near to the player. Use them wisely to help out where needed most.^^In order to win a siege attack, you must conquer all three defender reinforcement points. You can only take a reinforcement point if the defenders have already rallied there.
; ip_battle_terrain|Battle Effects: Terrain and Weather
; ip_battle_terrain_text|Terrain and weather can have a big effect on the outcome of a battle. Difficult terrain like forests or marshland makes it different to move and fight, but light-armored troops (generally indicated by a higher athletics skill) suffer much less.^^The player and companion NPCs suffer a terrain penalty based on their equipment weight and agility attribute.^^Special "magical" weather effects can apply in certain areas. These can strengthen or weaken your troops.
; ip_night_penalty|Battle Effects: Day and Night
; ip_night_penalty_text|Orcs and trolls hate the sun, but love the darkness of the night. In some regions, tall mountains or dim forests block out the sun and make fighting at daylight more bearable for orcs.^Uruks und Uruk-hai fight and run equally well at night or day.^Other races fight worse at night than they do at day, Men more so than Elves or Dwarves. However, some Men are accustomed to fighting in the dark and suffer no penalty.^^Underground battles are especially difficult. Orcs, Uruks, trolls and Dwarves don't mind fighting in dark tunnels.
