qst_deliver_message|Entregue a mensagem para {s13}.
qst_deliver_message_text|{s9} pediu-lhe para entregar uma mensagem para {s13}. {s13} estava em {s4} \nquando lhe foi dada a missão.
qst_deliver_message_to_enemy_lord|Entregue a mensagem para {s13}
qst_deliver_message_to_enemy_lord_text|{s9} pediu-lhe para entregar uma mensagem para {s13} do {s15}. {s13} \nestava em {s4} quando lhe foi dada a missão.
qst_raise_troops|Levantar {reg1} {s14}
qst_raise_troops_text|{s9} pediu-lhe para capturar {reg1} {s14} e trazer para {ele/ela}.
qst_escort_messenger|Escolte o mensageiro para {s14}
qst_escort_messenger_text|Nenhum.
qst_hunt_down_fugitive|Cace {s4}
qst_hunt_down_fugitive_text|{s9} pediu-lhe para caçar o fugitivo chamado {s4}. Acredita-se que ele esteja atualmente em {s3}.
qst_bring_back_runaway_serfs|Traga de volta os Escravos em fuga
qst_bring_back_runaway_serfs_text|{s9} pediu-lhe para trazer de volta os três grupos de escravos fugidos de volta para {s2}. Ele disse que todos os três grupos devem estar fugindo na direção de {s3}.
qst_follow_spy|Siga o Espião até o Encontro
qst_follow_spy_text|{s11} pediu para você seguir o espião que sairá de {s12}. Você deve tomar cuidado para não ser visto pelo espião durante a viagem, caso contrário ele poderá suspeitar e voltar atrás. Uma vez que o espião se encontre com seu cúmplice, você deve emboscar, capturar e trazê-los de volta a {s11}.
qst_capture_enemy_hero|Capture um comandante inimigo
qst_capture_enemy_hero_text|{s11} pediu-lhe para capturar um comandante inimigo.
qst_lend_companion|Empreste o seu companheiro {s3} à {s9}
qst_lend_companion_text|{s9}  lhe pediu para emprestar seu companheiro {s3} para ele por uma semana.
qst_capture_prisoners|Traga {reg1} prisioneiros inimigos
qst_capture_prisoners_text|{s9} deseja que você traga para ele {reg1} prisioneiros inimigos.
qst_investigate_fangorn|Investigue Fangorn
qst_investigate_fangorn_text|{s9} pediu-lhe para descobrir o que está acontecendo na floresta Fangorn, e que o relate de volta.
qst_capture_troll|Capture um Troll
qst_capture_troll_text|{s9} pediu-lhe para trazer de volta um troll selvagem para usar em seu exército.
qst_kill_troll|Despache o Troll enfurecido
qst_kill_troll_text|{s9} pediu-lhe para libertar {s13} da ameaça de um Troll enfurecido em seus arredores.
qst_mirkwood_sorcerer|Mate um feiticeiro na Floresta das Trevas
qst_mirkwood_sorcerer_text|O poder de Galadriel para defender Lothlorien tem sido prejudicado pelos rituais fétidos de um feiticeiro de Dol Guldur. Embora seja um mortal, ele representa uma grande ameaça para os elfos. Procure-o na Floresta das Trevas, não muito longe de Dol Guldur propriamente dito. Seja furtivo para evitar que o alarme seja soado, pois haverá apenas uma oportunidade para derrotá-lo.
qst_find_lost_spears|Encontre as lanças perdidas do rei Bladorthin
qst_find_lost_spears_text|{s9} pediu-lhe para encontrar as lanças dos anões perdidas, feitas uma vez para o rei Bladorthin. Você precisa pedir a permissão dos anões para procurar as lanças nas profundezas da Montanha Solitária.
qst_defend_village|Defenda a Aldeia
qst_raid_village|Roube a Aldeia
qst_destroy_scout_camp|Destrua o Acampamento Espião
