skinkey_chin_size|Tamanho do Queixo
skinkey_chin_shape|Forma do Queixo
skinkey_chin_forward|Queixo pra Frente
skinkey_jaw_width|Largura da Mandíbula
skinkey_jaw_definition|Definição da Mandíbula
skinkey_lower_lip|Lábio Inferior
skinkey_upper_lip|Lábio Superior
skinkey_mouth_nose_distance|Distância entre Boca e Nariz
skinkey_mouth_width|Largura da Boca
skinkey_nostril_size|Tamanho da Narina
skinkey_nose_height|Altura do Nariz
skinkey_nose_width|Largura do Nariz
skinkey_nose_size|Tamanho do Nariz
skinkey_nose_shape|Forma do Nariz
skinkey_nose_bridge|Ponte do Nariz
skinkey_eye_width|Largura dos Olhos
skinkey_eye_to_eye_dist|Distância dos Olhos
skinkey_eye_shape|Forma dos Olhos
skinkey_eye_depth|Profundidade dos Olhos
skinkey_eyelids|Pálpebras
skinkey_cheeks|Bochechas
skinkey_cheek_bones|Maças do Rosto
skinkey_eyebrow_height|Altura das Sobranchelhas
skinkey_eyebrow_shape|Forma das Sobranchelhas
skinkey_temple_width|Largura da Têmpora
skinkey_face_depth|Profundidade da Face
skinkey_face_ratio|Proporção da Face
skinkey_face_width|Largura da Face
skinkey_post_edit|Pós Edição
skinkey_jaw_position|Posição da Mandíbula
skinkey_eyebrow_position|Posição das Sobrancelhas
skinkey_eyebrow_depth|Profundidade das Sobrancelhas
skinkey_snout_height|Altura do Focinho
skinkey_snout_width|Largura do Focinho
skinkey_snout_size|Tamanho do Focinho
skinkey_snout_shape|Forma do Focinho
skinkey_weight|Peso
skinkey_mouth_shape|Forma da Boca
skinkey_eye_size|Tamanho do Olho
skinkey_eye_slant|Inclinação do Olho
skinkey_frawn|Franzir
skinkey_mouth_vert_pos|Posição Verti da Boca
skinkey_mouth_to_nose_dist|Distância entre Boca e Nariz
skinkey_chin_width|Largura do Queixo
skinkey_ear_pointiness|Pontuosidade da Orelha
skinkey_ear_length|Comprimento da Orelha
