dlga_start:mutiny_pretalk_1|Ei, {playername}. Nós queremos dizer uma coisa... ^Os rapazes estão reclamando! Queremos mais diversão, e menos marcha por ai.
dlga_mutiny_pretalk_1:mutiny_pretalk_2|Volte para a formação, verme! Estamos em guerra e eu sou seu comandante.
dlga_mutiny_pretalk_2:close_window|Como desejar, comandante. Como desejar...
dlga_start:mutiny_talk_1|Comandante. Queremos te dizer que... Não estamos satisfeitos, nem um pouco satisfeitos. ^Não há carne humana suficiente, não há diversão suficiente. ^Os rapazes comentam que você não é bom um bom líder, comandante!
dlga_mutiny_talk_1:mutiny_talk_2|O quê? Motim durante a guerra? ^Isso é punível com morte, verme!
dlga_mutiny_talk_2:close_window|Nós dizemos a você que ^Os rapazes aqui acham que eu seria um comandante melhor para eles quando EU TE MATAR!
dlga_start:troll_introduce_1|Algum problema?
dlga_start:troll_talk_1|Ta irritadinho?
dlga_troll_introduce_1:troll_goodbye|Nossa! Um troll falante?!
dlga_troll_introduce_1:close_window|Eu possuo um cavalo.
dlga_troll_talk_1:troll_talk_2|Me trolle, Troll.
dlga_troll_talk_1:close_window|Eu possuo um cavalo.
dlga_troll_talk_2:troll_talk_3|Desafio aceito!^^{s4}
dlga_troll_beaten:troll_talk_1|Eu me curvo a sua sabedoria, Mestre Caçador de Trolls!
dlga_troll_goodbye:close_window|TROLLOLOLOLOLOLOLOLOLOL!
dlga_start:hobbit_merry_talk_met|Olá denovo, {playername}!
dlga_start:hobbit_pippin_talk_met|Olá denovo, {playername}!
dlga_start:hobbit_general_talk_1|Olá, {senhor/senhora}! Meu nome é Meriadoc Brandybuck, mas você pode me chamar de Merry!
dlga_start:hobbit_general_talk_1.1|Olá, {senhor/senhora}! Meu nome é Peregrin Took, mas você pode me chamar de Pippin!
dlga_hobbit_general_talk_1:close_window|Não tenho tempo agora.
dlga_hobbit_general_talk_1:hobbit_general_talk_first_met|Diga. Acho que nunca vi um de sua raça.
dlga_hobbit_general_talk_1:hobbit_general_talk_second_met|Diga. Acho que já encontrei um de sua raça antes, em Edoras.
dlga_hobbit_general_talk_1:hobbit_general_talk_second_met.1|Diga. Acho que já encontrei um de sua raça antes, em Minas Tirith.
dlga_hobbit_general_talk_first_met:hobbit_general_talk_3|Eu sei. Eu vim de longe! Eu sou um Hobbit,  {senhor/senhora}, do Condado.
dlga_hobbit_general_talk_second_met:hobbit_general_talk_ask|Ah, deve ter sido meu querido primo! Peregrin Took, ou Pippin, como eles o chamam. Nós somos Hobbits,  {senhor/senhora}, e viemos do Condado, nós dois! Bom e velho Pippin, me pergunto como ele está em Minas Tirith.
dlga_hobbit_general_talk_second_met:hobbit_general_talk_ask.1|Ah, deve ter sido me querido primo! Meriadoc Brandybuck, ou Merry, como eles o chamam. Nós somos Hobbits,  {senhor/senhora}, e viemos do Condado, nós dois! Bom e velho Merry, me pergunto como ele está em Edoras.
dlga_hobbit_general_talk_ask:hobbit_general_talk_ask_1|Posso pedir-vos um favor, {my lord/my lady}.
dlga_hobbit_general_talk_ask_1:hobbit_general_talk_ask_2|Com certeza, {s1}. Que desejais?
dlga_hobbit_general_talk_ask_2:hobbit_general_talk_ask_3|Podeis enviar uma mensagem para o meu primo, {s1}? Ele encontra-se em {s2}, está {s3}, está ao serviço de {s4}.
; dlga_hobbit_general_talk_ask_3:hobbit_general_talk_ask_accept|I will be passing by {s1} and will be glad to pass on this message to your cousin.
; dlga_hobbit_general_talk_ask_3:hobbit_general_talk_ask_reject|I'm sorry, {s1}, but I do not have the time.
; dlga_hobbit_general_talk_ask_accept:close_window|Thanks! {s1}
; dlga_hobbit_general_talk_ask_reject:hobbit_general_talk_3|I understand. I'll send it to the next caravan to {s1} then.
dlga_hobbit_general_talk_3:close_window|Bom, adeus então.
dlga_start:hobbit_merry_talk_met.1|Bem vindo de volta, {playername}!
dlga_start:hobbit_pippin_talk_met.1|Bem vindo de volta, {playername}!
; dlga_hobbit_merry_talk_met:hobbit_deliver_message|Hello, messer Merry. I have a message here from your cousin, Pippin, in Minas Tirith.
; dlga_hobbit_pippin_talk_met:hobbit_deliver_message|Hello, messer Pippin. I have a message here from your cousin, Merry, in Edoras.
; dlga_hobbit_deliver_message:close_window|Thank you, {playername}. It was good of you to bring this to me.
dlga_hobbit_merry_talk_met:close_window|Olá, messer Merry.
dlga_hobbit_pippin_talk_met:close_window|Olá, messer Pippin.
