fac_no_faction|Nenhuma facção
fac_commoners|Plebeus
fac_outlaws|Selvagens e Bandidos
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Isengard
fac_lorien|Lothlorien
fac_imladris|Imladris
fac_woodelf|O Reino da Floresta
fac_dale|Valle
fac_harad|Harad
fac_rhun|Rhun
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Moria
fac_guldur|Dol Guldur
fac_gundabad|Monte Gundabad
fac_dunland|Terras Pardas
fac_beorn|O Vale de Anduin
fac_player_supporters_faction|Facção do Jogador
fac_player_faction|Facção do Jogador
fac_brigands|Saqueadores
fac_tribal_orcs|Orcs Tribais
fac_innocents|Inocentes
fac_merchants|Mercadores
fac_manhunters|Caçadores
fac_deserters|Desertores
fac_mountain_bandits|Bandidos da Montanha
fac_forest_bandits|Bandidos da Floresta
