menu_start_game_1|^^^^^^^^^^Pelo quê que você luta?
mno_start_good|O amanhecer de uma nova Era
mno_start_evil|O crepúsculo do homem
mno_go_bback|Voltar
menu_start_phase_2|^^^^^ Terra-Média. Uma sombra está crescendo no Oriente, ^ e coisas da escuridão avançam de onde se escondem . ^ Os povos livres se preparam para a guerra , como a de que não foi visto por uma época . ^ Homens, Elfos, Anões e Orcs ; todos vão desempenhar o seu papel . ^^ Qual papel , no entanto, permanece a ser visto...
mno_go_forth|Vá em frente sobre o seu caminho escolhido...
menu_start_game_3            |^^^^^^^^Escolha o seu cenário:
mno_custom_battle_scenario_1 |Escaramuçada , facções de Gondor vs Harad
mno_custom_battle_scenario_12|Escolha as facções para batalha
mno_custom_battle_scenario_3 |Escaramuçada, Elfos vs Númeroneanos Negros.
mno_custom_battle_scenario_4 |Defesa de Helms Deep, Rohan vs Isengard
mno_custom_battle_scenario_5 |Escaramuçada, Facções do Norte vs Rhûn
mno_custom_battle_scenario_6 |Ataque de cerco, Orcs vs Anões
mno_custom_battle_scenario_7 |Emboscada, Orcs vs Mirkwood
mno_custom_battle_scenario_11|Teste de batalhas (balanceamento da sintonia!)
mno_custom_battle_scenario_10|Teste de cenário de batalha
mno_troll_battle_scenario    |Teste de batalhas de Trolls
mno_warg_battle_scenario     |Teste de Batalhas de Warg
mno_build_your_own_scene     |** Construa seu próprio cenário para TLD **
mno_go_back                  |Retornar/Regressar
menu_tutorial|^^TLD tem um monte de características desconhecidas para a M & B nativa. Estes são descritos com algum detalhes sem spoilers em PDF incluso com o lançamento . Para tutorial sobre a mecânica básica do jogo utilize o módulo nativo
mno_go_back_dot|Volte
mno_view_upkeep_costs|Exibir custos de manutenção .
mno_view_character_report|Exibir o relatório do personagem.
mno_view_party_size_report|Exibir o relatório do tamanho do grupo.
mno_view_morale_report|Exibir relatório da moral do grupo.
mno_view_character_report_02|Verificar condição do NPC.
mno_view_faction_strengths_report|Exibir relatório de força de facções
mno_view_traits_report|Exibir estatísticas.
mno_resume_travelling|Resumir a viagem.
mno_custom_battle_go|Começar.
mno_leave_custom_battle_2|Cancelar.
menu_custom_battle_end|^^^^^^A batalha acabou. {s1} Seu lado eliminou {reg5} inimigos e perdeu {reg6} tropas durante a batalha.^Você pessoalmente matou {reg7} oponentes durante a batalha.
mno_replay|Jogar esta batalha novamente.
mno_continue_dot|Continuar.
menu_quick_battle_general_test|^^^Batalha atual: ^Equipe A: {reg10} {s10}^^VS^^ Equipe B: {reg11} {s11}
mno_tAA|+5 Equipe A
mno_tAB|-5 Equipe A
mno_tAC|Selecionar tropa A
mno_tBA|+5 Equipe B
mno_tBB|-5 Equipe B
mno_tBC|Selecionar Tropa B
mno_B|Preestabelecimento 1
mno_F|COMEÇAR LUTA!
mno_dot_go_back|Retornar/Regressar
menu_quick_battle_troll|^^^^^^^^Escolher o seu cenário de troll:
mno_troll_battle_scenario_10|Teste: Troll VS Infantaria
mno_troll_battle_scenario_11|Teste: Troll VS Arqueiros
mno_troll_battle_scenario_12|Test: Troll VS Cavalaria
mno_troll_battle_scenario_13|Teste: Troll VS Lancers
mno_troll_battle_scenario_14|Teste: Troll VS Troll
mno_troll_battle_scenario_15|Teste-brinquedo: jogador controlou Troll
menu_quick_battle_wargs|^^^^^^^^Escolhe seu cenário de teste de Warg:
mno_warg_battle_scenario_10|Contra Wargs: 1 vs 1
mno_warg_battle_scenario_11|Contra Wargs: 2 vs 3
mno_warg_battle_scenario_12|Contra Wargs: multidão vs multidão
mno_warg_battle_scenario_10b|Jogar Wargs: 1 vs 1
mno_warg_battle_scenario_11b|Jogar Wargs: 2 vs 3
mno_warg_battle_scenario_12b|Jogar Wargs: multidão vs multidão
