imod_plain|Simples %s
imod_cracked|De má qualidade %s
imod_rusty|Grosseiro %s
imod_bent|Com dobras %s
imod_chipped|Com lascas %s
imod_battered|Com danos%s
imod_poor|De má qualidade %s
; imod_crude|Simple %s
; imod_old|Ancient %s
imod_cheap|Barato %s
imod_fine|De boa qualidade %s
imod_well_made|Bem feito %s
imod_sharp|Afiado %s
imod_balanced|Equilibrado %s
imod_tempered|Temperado %s
imod_deadly|Letal %s
imod_exquisite|Refinado %s
imod_masterwork|Obra-prima %s
imod_heavy|Pesado %s
imod_strong|Forte %s
imod_powerful|Poderoso %s
imod_tattered|Esfarrapado %s
imod_ragged|Rudimentar %s
imod_rough|Rudimentar %s
imod_sturdy|Robusto %s
; imod_thick|Robust %s
imod_hardened|Endurecido %s
imod_reinforced|Reforçado %s
; imod_cloak|%s with cloak
imod_lordly|Obra-prima %s
imod_lame|Aleijado %s
imod_swaybacked|Curvado %s
imod_stubborn|Teimoso %s
imod_timid|Medroso %s
; imod_meek|Blood-covered %s
imod_spirited|Vigoroso %s
imod_champion|Campeão %s
imod_fresh|Fresco %s
imod_day_old|De ontem %s
imod_two_day_old|De anteontem %s
imod_smelling|Com mau cheiro %s
imod_rotten|Podre %s
imod_large_bag|Saco grande de %s
