p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|Osgiliath Oeste
p_town_henneth_annun|Henneth Annum
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Hornburg
p_town_east_emnet|Emnet Leste
p_town_westfold|Westfold
p_town_west_emnet|Emnet Oeste
p_town_eastfold|Eastfold
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul
p_town_cirith_ungol|Acampamento de Patrulha Orc
p_town_east_osgiliath|Osgiliath Leste
p_town_orc_sentry_camp|Acampamento Sentinela Orc
p_town_isengard|Isengard
p_town_urukhai_outpost|Posto Avançado Uruk Hai
p_town_urukhai_h_camp|Acampamento De Caça Uruk Hai
p_town_urukhai_r_camp|Acampamento no Riacho Uruk Hai
p_town_caras_galadhon|Caras Galadhon
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth
p_town_thranduils_halls|Salões de Thranduil
p_town_woodelf_camp|Acampamento De Elfos Da Floresta
p_town_woodelf_west_camp|Acampamento Oeste De Elfos Da Floresta
p_town_woodsmen_village|Vila Dos Lenhadores
p_town_beorning_village|Vila Dos Beornings
p_town_beorn_house|Casa de Beorn
p_town_moria|Portões de Moria
p_town_troll_cave|Caverna De Troll
p_town_dale|Dale
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Acampamento Dulander
p_town_harad_camp|Acampamento Haradrim
p_town_khand_camp|Acampamento Khand
p_town_umbar_camp|Acampamento Corsário
p_town_imladris_camp|Acampamento Rivendell
p_town_dol_guldur|Dol Guldur
p_town_dol_guldur_north_outpost|Posto Avançado Norte de Dol Gurdur
p_town_rhun_main_camp|Acampamento Principal Rhun
p_town_rhun_south_camp|Posto Avançado Rhun Do Sul
p_town_rhun_north_camp|Posto Avançado Rhun Do Norte
p_town_gundabad|Gundabad
p_town_gundabad_ne_outpost|Posto Avançado Nordeste de Gundabad
p_town_gundabad_nw_outpost|Posto Avançado Noroeste de Gundabad
p_town_goblin_north_outpost|Posto Avançado Globin Do Norte
p_town_goblin_south_outpost|Posto Avançado Goblin Do Sul
p_town_gundabad_m_outpost|Posto Avançado de Mirkwood em Gundabad
p_town_erebor|Erebor
p_town_ironhill_camp|Pedreira de Colinas De Ferro
p_advcamp_gondor|Acampamento Avançado Em Gondor
p_advcamp_rohan|Acampamento Avançado Em Rohan
p_advcamp_isengard|Acampamento Avançado Em Isengard
p_advcamp_mordor|Acampamento Avançado Em Mordor
p_advcamp_harad|Acampamento Avançado Em Harad
p_advcamp_rhun|Acampamento Avançado Em Rhun
p_advcamp_khand|Acampamento Avançado Em Khand
p_advcamp_umbar|Acampamento Avançado Em Umbar
p_advcamp_lorien|Acampamento Avançado Em Lorien
p_advcamp_imladris|Acampamento Avançado Em Imladris
p_advcamp_woodelf|Acampamento Avançado Em Mirkwood
p_advcamp_moria|Acampamento Avançado Em Moria
p_advcamp_guldur|Acampamento Avançado Em Dol Gundur
p_advcamp_gundabad|Acampamento Avançado Em Gundabad
p_advcamp_dale|Acampamento Avançado Em Dale
p_advcamp_dwarf|Acampamento Avançado Em Erebor
p_advcamp_dunland|Acampamento Avançado Em Dunland
p_advcamp_beorn|Acampamento Avançado Em Beorning
p_argonath|Argonath
p_argonath2|Argonath
p_hand_isen|Mão Branca De Isengard
p_mount_doom|Montanha Da Perdição
p_town_barad_dur|Barad Dur
p_ford_cair_andros1|Anduin
p_ford_cair_andros2|Anduin
p_ford_caras_galadhon|Anduin
p_ford_brown_lands|Anduin
p_ford_rauros|Anduin
p_ford_pelargir|Anduin
p_ford_edhellond|Anduin
p_ford_cerin_dolen|Fio De Prata
p_old_ford|Velho Ford
p_ford_erech|Ringlo
p_ford_isen1|Isen
p_ford_isen2|Isen
p_ford_rohan|Entwash
p_ford_rohan2|Entwash
p_ford_fangorn|Entwash
p_ford_fangorn2|Limlight
p_ford_moria|Silverlode
p_legend_amonhen|Amon Hen
p_legend_deadmarshes|Pantanos Mortos
p_legend_mirkwood|Floresta De Mirkwood
p_legend_fangorn|Fangorn Entmoot
p_ancient_ruins|Ruinas Anciãs
