fac_no_faction|Fara Regat
fac_commoners|De rand
fac_outlaws|Sălbatici și bandiți
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Isengard
fac_lorien|Lothlorien
fac_imladris|Imladris
; fac_woodelf|The Woodland Realm
fac_dale|Dale
fac_harad|Harad
fac_rhun|Rhun
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Moria
fac_guldur|Dol Guldur
fac_gundabad|Mt. Gundabad
; fac_dunland|Dunland
; fac_beorn|The Vale of Anduin
fac_player_supporters_faction|Regatul Jucatorului
fac_player_faction|Regatul Jucatorului
fac_brigands|Talhari
fac_tribal_orcs|Orci Tribali
fac_innocents|Inocenţi
fac_merchants|Vanzatori
fac_manhunters|Vanatori
fac_deserters|Dezertori
fac_mountain_bandits|Banditi de Munte
fac_forest_bandits|Banditi de Padure
