p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|Osgiliath de Vest
p_town_henneth_annun|Henneth Annun
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Hornburg
p_town_east_emnet|Emnet de Est
p_town_westfold|Westfold
p_town_west_emnet|Emnet de Vest
p_town_eastfold|Eastfold
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul
; p_town_cirith_ungol|Emyn Muil Watchtower
p_town_east_osgiliath|Osgiliath de Est
; p_town_orc_sentry_camp|Emyn Arnen Sentry
p_town_isengard|Isengard
p_town_urukhai_outpost|Adapost Uruk Hai
p_town_urukhai_h_camp|Camp de vanatoare Uruk Hai
p_town_urukhai_r_camp|Camp de rau Uruk Hai
p_town_caras_galadhon|Caras Galadhon
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth
p_town_thranduils_halls|Holurile lui Thranduil
; p_town_woodelf_camp|Woodelf South Camp
p_town_woodelf_west_camp|Campul de Vest al Elfilro de Lemn
p_town_woodsmen_village|Satul Oamenilor din Paduri
p_town_beorning_village|Satul Beorning
p_town_beorn_house|Casa lui Beorn
p_town_moria|Portile Moriei
p_town_troll_cave|Pestera Trollilor
p_town_dale|Dale
p_town_esgaroth|Esgaroth\n
p_town_dunland_camp|Campul Dunlander
p_town_harad_camp|Campul Haradrim
p_town_khand_camp|Campul Khand
p_town_umbar_camp|Campul Corsair
p_town_imladris_camp|Campul Rivendell
p_town_dol_guldur|Dol Guldur
; p_town_dol_guldur_north_outpost|Dol Guldur Road Outpost
p_town_rhun_main_camp|Campul Rhun de baza
p_town_rhun_south_camp|Adapostul Rhun Sudic
p_town_rhun_north_camp|Adapostul Rhun Nordic
p_town_gundabad|Gundabad
; p_town_gundabad_ne_outpost|Ruined Dwarf Hold
; p_town_gundabad_nw_outpost|Goblin Hideout
p_town_goblin_north_outpost|Orasul Goblinilor
p_town_goblin_south_outpost|Adapost al Goblinilor Sudic
p_town_gundabad_m_outpost|Adapostul Gundabad din Mirkwood
p_town_erebor|Erebor
; p_town_ironhill_camp|Grey Mountains Gateway
p_advcamp_gondor|Camp de Avans Gondor
p_advcamp_rohan|Camp de Avans Rohan
p_advcamp_isengard|Camp de Avans Isengard
p_advcamp_mordor|Camp de Avans Mordor
p_advcamp_harad|Camp de Avans Harad
p_advcamp_rhun|Camp de Avans Rhun
p_advcamp_khand|Camp de Avans Khand
p_advcamp_umbar|Camp de Avans Umbar
p_advcamp_lorien|Camp de Avans Lorien
p_advcamp_imladris|Camp de Avans Imladris
p_advcamp_woodelf|Camp de Avans Mirkwood
p_advcamp_moria|Camp de Avans Moria
p_advcamp_guldur|Camp de Avans Dol Guldur
p_advcamp_gundabad|Camp de Avans Gundabad
p_advcamp_dale|Camp de Avans Dale
p_advcamp_dwarf|Camp de Avans Erebor
p_advcamp_dunland|Camp de Avans Dunland
p_advcamp_beorn|Camp de Avans Beorning
p_argonath|Argonath
p_argonath2|Argonath
p_hand_isen|Semnul mainii din Isengard
p_mount_doom|Muntele Doom
p_town_barad_dur|Barad Dur
p_ford_cair_andros1|Anduin
p_ford_cair_andros2|Anduin
p_ford_caras_galadhon|Anduin
p_ford_brown_lands|Anduin
p_ford_rauros|Anduin
p_ford_pelargir|Anduin
p_ford_edhellond|Anduin
p_ford_cerin_dolen|Silverlode
p_old_ford|Vechiul Ford
p_ford_erech|Ringlo
p_ford_isen1|Isen
p_ford_isen2|Isen
p_ford_rohan|Entwash
p_ford_rohan2|Entwash
p_ford_fangorn|Entwash
p_ford_fangorn2|Limlight
p_ford_moria|Silverlode
; p_fangorn_center|Fangorn Center
p_ring_hunter_lair|Locasul Vanatorilor de Inel
p_raft|Oameni de Pluta
; p_amon_din|Amon Din
; p_eilenach|Eilenach
; p_nardol|Nardol
; p_erelas|Erelas
; p_min_rimmon|Min Rimmon
; p_calenhad|Calenhad
; p_amon_anwar|Amon Anwar
p_ancient_ruins|Ruine Antice
