skinkey_chin_size|Marimea Barbiei
skinkey_chin_shape|Forma Barbiei
skinkey_chin_forward|Inaintarea Barbiei
skinkey_jaw_width|Latimea Falcii
; skinkey_jaw_definition|Jaw Definition
; skinkey_lower_lip|Lower Lip
; skinkey_upper_lip|Upper Lip
skinkey_mouth_nose_distance|Distanda de la Gura la Nas
skinkey_mouth_width|Latimea Gurii
; skinkey_nostril_size|Nostril Size
skinkey_nose_height|Inaltimea Nasului
skinkey_nose_width|Latimea Nasului
skinkey_nose_size|Dimensiunea Nasului
skinkey_nose_shape|Forma Nasului
skinkey_nose_bridge|Podul Nasului

skinkey_eye_width|Latimea Ochiilor
skinkey_eye_to_eye_dist|Latimea dintre ochi
skinkey_eye_shape|Forma Ochiilor
skinkey_eye_depth|Adancimea Ochilor
skinkey_eyelids|Pleoape
skinkey_cheeks|Obrajii
skinkey_cheek_bones|Pometii
skinkey_eyebrow_height|Inaltimea Sprancenelor

skinkey_eyebrow_shape|Forma Sprancenelor
skinkey_temple_width|Latimea Tamplei
skinkey_face_depth|Adancimea Fetei
skinkey_face_ratio|Raportul Fetei
skinkey_face_width|Latimea Fetei
skinkey_post_edit|Dupa Editare
skinkey_jaw_position|Pozitia Falcii
skinkey_eyebrow_position|Pozitia Sprancenelor
skinkey_eyebrow_depth|Adancimea Sprancenelor
skinkey_snout_height|Inalțimea Feței
skinkey_snout_width|Latimea Feței
skinkey_snout_size|Dimensiunea Feței
skinkey_snout_shape|Forma Feței
skinkey_weight|Greutate
skinkey_mouth_shape|Forma Guri
skinkey_eye_size|Marimea Ochilor
skinkey_eye_slant|Inclinarea Ochilor
skinkey_frawn|Trist
skinkey_mouth_vert_pos|Pozitia Verticala a Gurii
skinkey_mouth_to_nose_dist|Distanta de la Nas la Gura
skinkey_chin_width|Latimea Barbiei
