fac_no_faction|Нет фракции
fac_commoners|Мирные жители
fac_outlaws|Дикари и разбойники
fac_gondor|Гондор
fac_dwarf|Эребор
fac_rohan|Рохан
fac_mordor|Мордор
fac_isengard|Изенгард
fac_lorien|Лотлориэн
fac_imladris|Имладрис
fac_woodelf|Лесные земли
fac_dale|Дэйл
fac_harad|Харад
fac_rhun|Рун
fac_khand|Ханд
fac_umbar|Умбар
fac_moria|Мория
fac_guldur|Дол-Гулдур
fac_gundabad|Гундабад
fac_dunland|Дунланд
fac_beorn|Долина Андуина
fac_player_supporters_faction|Фракция игрока
fac_player_faction|Фракция игрока
fac_brigands|Наёмники
fac_tribal_orcs|Дикие орки
fac_innocents|Невиновные
fac_merchants|Торговцы
fac_manhunters|Охотники за головами
fac_deserters|Дезертиры
fac_mountain_bandits|Горные разбойники
fac_forest_bandits|Лесные разбойники
