menu_start_game_1|^^^^^^^^^^Во имя чего вы сражаетесь?
mno_start_good|во имя ВОСХОДА новой эпохи
mno_start_evil|во имя ЗАКАТА человечества
mno_spacer| 
mno_go_bback|Назад
menu_start_phase_2|^^^^^ Средиземье.Тень сгущается на Востоке, ^ и из своих укрытий выползают долго таившиеся тёмные сушества. ^ Свободные народы готовятся к войне, какой не видели целую Эпоху. ^ Люди, эльфы, гномы, орки - всем суждено сыграть свою роль. ^^ Но какую именно роль - ещё предстоит узнать... 
mno_go_forth| Вступить на выбранную вами стезю...
menu_start_game_3|^^^^^^^^Выберите сценарий боя:
mno_custom_battle_scenario_1| Стычка: гондорские фракции против Харада.
mno_custom_battle_scenario_3| Стычка: эльфы против чёрных нуменорцев.
mno_custom_battle_scenario_4| Оборона Хельмова ущелья: Рохан против Изенгарда.
mno_custom_battle_scenario_5| Стычка: северные фракции против Руна.
mno_custom_battle_scenario_6| Штурм: орки против гномов.
mno_custom_battle_scenario_7| Засада: орки против эльфов Темнолесья.
mno_build_your_own_scene| ** Создайте собственный сценарий боя для TLD **
mno_go_back_spc| Назад .
menu_tutorial|^^TLD содержит много особенностей, которых нет в оригинальном M&B. Они описаны в кратком руководстве (файл PDF в папке мода). Для обучения основам игровой механики используйте модуль Native
mno_go_back_dot|Назад.
menu_reports|^^^{s9}
mno_view_upkeep_costs|Отчёт о содержании отряда.
mno_view_character_report|Отчёт о вашем персонаже.
mno_view_party_size_report|Отчёт о размере отряда.
mno_view_morale_report|Отчёт о боевом духе отряда.
mno_view_character_report_02|Отчёт о соратниках.
mno_view_faction_strengths_report|Отчёт о силе фракций.
mno_view_traits_report|Отчёт о полученных трейтах.
mno_resume_travelling|Продолжить странствия.
menu_custom_battle_2|^^^^^^{s16}
mno_custom_battle_go|Начать.
mno_leave_custom_battle_2|Отменить.
menu_custom_battle_end|^^^^^^Битва окончена. {s1} Ваш отряд убил {reg5} врагов и потерял {reg6} воинов убитыми.^Вы лично сразили {reg7} противников.
mno_replay|Снова сразиться в этой битве.
mno_continue_dot|Далее.
menu_quick_battle_general_test|^^^Текущая битва: ^команда А: {reg10} {s10}^^против^^ команда Б: {reg11} {s11}
mno_dot_go_back|. Назад
menu_quick_battle_general_test_select_a| 
menu_quick_battle_general_test_select_b| 
menu_quick_battle_troll|^^^^^^^^Выберите сценарий для тролля:
menu_quick_battle_wargs|^^^^^^^^Выберите тестовый сценарий для варга:
menu_start_good|^^^^^^^^^^Выберите вашу расу:
mno_start_ma|ЧЕЛОВЕК
mno_start_el|ЭЛЬФ
mno_start_dw|ГНОМ
mno_go_back|назад
menu_start_evil|^^^^^^^^^^Чей вы слуга?
mno_start_eye|Я слуга САУРОНА, повелителя Мордора, Властелина Колец
mno_start_hand|Я слуга САРУМАНА, повелителя Изенгарда, Белой Длани
menu_start_eye|^^^^^^^^^Итак, ваш Владыка - Багровое Око.^Выберите вашу расу:
mno_start_or|ОРК, слуга Багрового Ока
mno_start_ur|УРУК, представитель новой породы орков
mno_start_em|ЧЕЛОВЕК, подпавший под власть Саурона
menu_start_hand|^^^^^^^^^Итак, ваш Владыка - Белая Длань.^Выберите вашу расу:
mno_start_whor|ОРК, слуга Белой Длани
mno_start_isur|УРУК-ХАЙ, выведенный в Изенгарде
mno_start_duma|ЧЕЛОВЕК из Дунланда, с Западных равнин
menu_start_good_man|^^^^^^^^^^Выберите народ, к которому принадлежите:
mno_start_go|ГОНДОР, королевство Белой башни
mno_start_ro|РОХАН, народ коневодов
mno_start_du|ДУНАДАНЫ, древний род людей
mno_start_be|БЕОРНИНГИ, народ Медведя
mno_start_da|северное королевство ДЭЙЛ
menu_start_good_elf|^^^^^^^^^^Где живёшь ты, Перворожденный?
mno_start_ri|В РИВЕНДЕЛЛЕ, под властью Эльронда
mno_start_lo|В ЛОТЛОРИЭНЕ, под властью Галадриэль
mno_start_mi|В ТЕМНОЛЕСЬЕ, стране лесных эльфов
menu_start_good_dwarf|^^^^^^^^^^Выберите своё происхождение:
mno_start_er|житель ЭРЕБОРА
mno_start_ih|рудокоп с ЖЕЛЕЗНЫХ ХОЛМОВ
menu_start_gondor|^^^^^^^^^^Откуда ты родом, житель Гондора?
mno_start_mt|Из МИНАС-ТИРИТА, столицы
mno_start_ls|Из ЛОССАРНАХА, страны секироносцев
mno_start_la|Из ЛАМЕДОНА, страны горных кланов
mno_start_pg|Из ПИННАТ-ГЕЛИНА, страны Зелёных холмов
mno_start_do|Из ДОЛ-АМРОТА, страны Лебединых рыцарей
mno_start_pe|Из ПЕЛАРГИРА, прибрежной страны
mno_start_bl|Из ДОЛИНЫ МОРТОНДА, страны лучников
menu_start_eye_man|^^^^^^^^^^Выберите народ, к которому принадлежите:
mno_start_hr|ХАРАДРИМ, народ южных пустынь
mno_start_bn|Чёрные НУМЕНОРЦЫ, отступники Запада
mno_start_um|УМБАР, пираты южных морей
mno_start_rh|РУН, варвары с востока
mno_start_kh|ХАНД, дикий народ с юго-востока
menu_start_eye_orc|^^^^^^^^^^Где вы скрываетесь?
mno_start_arm|Среди армий, собранных в МОРДОРЕ
mno_start_cav|В пещерах ДОЛ-ГУЛДУРА
menu_start_hand_orc|^^^^^^^^^^Где вы скрываетесь?
mno_start_armis|Среди армий, собранных в ИЗЕНГАРДЕ
mno_start_minmo|В копях МОРИИ
mno_start_cliff|Среди утёсов горы ГУНДАБАД
menu_start_gondor_mt|^^^^^^^^^^Выберите своё происхождение:
mno_start_1_com|Простолюдин
mno_start_2_hib|Из знатного рода
menu_start_haradrim|^^^^^^^Вы выходец из Харада,^человек Пустыни.^Выберите своё происхождение:
mno_start_1_des|Житель пустынь
mno_start_2_far|Уроженец Дальнего Харада
menu_choose_gender|^^^^^^^^^^Ваш пол?
mno_start_male|Мужчина
mno_start_female|Женщина
menu_choose_skill|^^^^^^^^FOR DEVS:^*normally*, at this point^you would go to edit skills^and then face...
mno_skip|SKIP THAT: let me playtest now
mno_proc|Proceed as normal
menu_auto_return|This menu automatically returns to caller.
menu_morale_report|^^{s1}
mno_continue|Далее...
menu_faction_orders|{s9}
menu_character_report|^^^^^Боевой дух отряда: {reg8}^Максимальный размер отряда: {reg7}^{s5}
menu_upkeep_report|{s12}
menu_party_size_report|^^^^{s1}
menu_faction_strengths_report|{s1}
menu_traits_report|{s1}
menu_camp|^^^^Перед вами {s1}.{s2}^^Что вы хотите сделать?
mno_camp_scene|Прогуляться вокруг.
mno_camp_troop|Устроить смотр{reg10? воинов:}{reg12? и:}{reg11? пленников:}.
mno_camp_action|Воспользоваться предметом.
mno_camp_wait_here|Устроить стоянку.
mno_camp_options|Изменить настройки TLD.
menu_camp_cctest|Hurry up and pick something already.
mno_camp_cctest_injure|Injure Me
mno_camp_cctest_injure_party_heroes|Injure Companions
mno_camp_cctest_heal|Heal my Injuries. (Does not fix prof. or attrib.)
mno_camp_cctest_kill_lord|Kill a Lord
mno_camp_cctest_rout_ally|Add troops to routed allies
mno_camp_cctest_rout_enemy|Add troops to routed enemies
mno_camp_cctest_rout_spawn|Spawn routed parties
mno_camp_cctest_gain_traits|Get All Traits
mno_camp_cctest_parties|Count Parties
mno_camp_cctest_items|Refactionize Items
mno_camp_cctest_pos|Print Coords x100
mno_camp_cctest_defiled|Add WIP Items
mno_camp_cctest_return|Back to camp menu.
menu_camp_mvtest|What do you want to test today?
mno_camp_mvtest_back|Back to camp menu.
menu_mvtest_destroy_faction|Choose a faction to defeat:
mno_back_test|Back to test menu.
mno_kill_faction|{s10}.
menu_mvtest_facstr_report|{s1}
menu_mvtest_facai_report|{s1}
mno_details|Detailed faction report...
mno_back_mtest|Back to main test menu.
menu_mvtest_facai_details|{s1}
mno_change|Change faction: {s7}
mno_defeat|Set faction strength to -1000 (defeat).
mno_dying|Set faction strength to 300 (dying).
mno_spent|Set faction strength to 600 (spent).
mno_back_ai|Back to faction AI.
menu_mvtest_faction_casualties|{s1}
mno_prev_faction|Previous faction
mno_next_faction|Next faction
menu_mvtest_town_wealth_report|{s1}
menu_mvtest_sieges|Test sieges
menu_mvtest_order_siege|Order {s1} to besiege...
mno_back_sieg|Back to siege menu.
mno_siege_town|{s10}.
menu_mvtest_advcamps|Test advance camps
menu_mvtest_cutscenes|Choose an option:
mno_intro|Play intro.
mno_joke|Play GA joke.
menu_game_options|^^^^^^^^Нажмите на опцию, чтобы изменить её:
mno_game_options_restrict_items|Ограничения в вооружении игрока: {s7}
mno_game_options_formations|Боевые построения и ИИ: {s7}
mno_game_options_town_menu|Доступ к местным НПС из меню поселения: {s7}
mno_game_options_cutscenes|Ролики: {s7}
mno_game_options_injuries|Ранения соратников: {s7}.
mno_game_options_death|Окончательная смерть полководцев и соратников: {s7}.
mno_game_options_death2|Окончательная смерть игрока (то есть ВАС!): {s7}.
mno_game_options_morale|Система боевого духа в сражениях: {s7}
mno_game_options_animal_ambushes|Нападения животных:  {s7}
mno_game_options_tweaks|Настройка геймплея... 
mno_game_options_back|Вернуться в меню лагеря.
menu_camp_tweaks|^^^^^^^^Выберите опцию, которую бы хотели настроить. 
mno_tweak_options_compat|Настройка совместимости... 
mno_tweak_options_strat|Настройка кампании... 
mno_tweak_options_back|Вернуться в меню опций. 
menu_camp_compat_tweaks|^^^^^^^^Нажмите на опцию, чтобы изменить её:^(это настройка совместимости, не читы) 
mno_game_options_compat_party|Максимальное количество отрядов: {s1} 
mno_game_options_compat_back|Вернуться в меню опций. 
menu_camp_strat_tweaks|^^^^^^^^Нажмите на опцию, чтобы изменить её:^(внимание: это читы!) 
mno_strat_tweaks_siege_reqs|Требования по силе для осад: {s7} 
