
str_yes|Да.
str_no|Нет.
str_noone|никто не
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} и {s51}
str_s5_s_party|{s5} с отрядом
str_s5_s_host|{s5} с войском
str_given_by_s1_at_s2|Выдано полководцем {s1} в городе {s2}
str_given_by_s1_in_wilderness|Выдано полководцем {s1}
str_s7_raiders|{s7} налётчики
str_bandits_eliminated_by_another|Назойливые бандиты были уничтожены другим отрядом.
str_msg_battle_won|Битва выиграна! Нажмите Tab, чтобы выйти...
str_tutorial_map1|Вы смотрите на карту мира. Кликом по левой кнопке мыши вы направите ваш отряд в указанную локацию, войдёте в выбранный город или последуете за выбранным отрядом. Время стоит на паузе, если вы не передвигаетесь по карте мира, ожидаете или отдыхаете. Если вы хотите выждать некоторое время, нажмите пробел.
str_accept|Принять
str_charge|Поменять
str_color|Цвет
str_flip_horizontal|Повернуть по горизонтали
str_flip_vertical|Повернуть по вертикали
str_hold_fire|Прекратить стрельбу
str_blunt_hold_fire|Дробящее / Прекратить стрельбу
str_tutorial_ammo_refilled|Боеприпасы восполнены.
str_tutorial_failed|Тебя поколотили в этот раз, но не переживай так сильно. Внимательно следуй инструкциям, и в следующий раз получится лучше. Нажми Tab чтобы вернуться в меню, затем ты сможешь повторить это обучение.
str_tutorial_1_msg_1|В этом обучении ты узнаешь про основы передвижения и боя. В Mount&Blade нужно использовать мышь чтобы управлять обзором и прицеливанием, и WASD чтобы передвигаться. Твоя первая задача - найти флаг в комнате и встать на него. В любой момент можно нажать Tab чтобы выйти из этого обучения или из любой арены во время игры. Теперь иди к флагу.
str_tutorial_1_msg_2|Отлично. Теперь мы потренируемся нападению с оружием. Для этой тренировки ты был экипирован луком и стрелами, мечом и щитом. Можно брать в руки разное вооружение из своих оружейных ячеек используя колесо мыши. По умолчанию, колёсико вверх переключает к следующему оружию, а колёсико вниз - достаёт или убирает щит. Попробуй переключить текущее оружие, после чего иди к следующему флагу.
str_tutorial_1_msg_3|Замечательно. Теперь перейдём собственно к ударам. Удар текущим оружием производится с помощью ЛКМ. Удерживайте ЛКМ чтобы подготовить удар, и отпустите чтобы его совершить. Если удерживать ЛКМ перед ударом недостаточно долго, то удар получится слабее чем мог бы. А теперь доставай меч и сломай 4 чучела в этой комнате.
str_tutorial_1_msg_4|Отличная работа! Не волнуйся, чучела всё равно были под списание. Теперь иди в следующую комнату.
str_tutorial_1_msg_5|На дальней стороне комнаты висит мишень. Загони в неё три стрелы! Зажми ЛКМ чтобы натянуть тетиву, когда отпустишь то стрела полетит. Прицел обозначает область, в пределах которой будет разброс при стрельбе. Логично стрелять тогда, когда эта область будет минимальной!
str_tutorial_1_msg_6|Отлично! Ты узнал основы передвижения и нападения. Немного практики и ты освоишься с этим. В следующем обучении тебе покажут более хитрые боевые приёмы, и будет спарринг с вооружённым врагом! Нажми Tab чтобы вернуться в меню, тут больше нечего делать.
str_tutorial_2_msg_1|Время узнать, как защитить себя щитом, и как сражаться против вооружённого противника! Пока что у тебя будет только щит. Твоя задача не нападать, а просто прикрываться щитом. Один джентельмен горячо желает вломить тебе прямо в соседней комнате, не стоит лишать его такого удовольствия! Но если он тебя вырубит, то ты отправишься на пересдачу, поэтому используй ПКМ чтобы отражать удары! Но не стоит так волноваться, всегда можно вернуться в меню нажав Tab и пройти обучение позже.
str_tutorial_2_msg_2|Нажми и удерживай ПКМ чтобы выставить свой щит. Твоя задача продержаться 30 секунд. Потерпи ещё немного... осталось уже {reg3}!
str_tutorial_2_msg_3|Вот это да! Ты был прямо как Торин Дубощит, заслонявшийся дубовой чуркой от сокрушительных ударов Азога Осквернителя! Шучу конечно, но ты всё равно молодец. Теперь посмотрим, получится ли у тебя так же защититься от стрел. В соседней комнате тебя ждут студенты-лучники, и они давно ждут случая проявить себя. Конечно мы против смертей на обучении и сказали им целиться исключительно в щит, но ты не искушай судьбу и постарайся чтобы как можно меньше твоей аппетитной тушки выглядывало из-за щита.
str_tutorial_2_msg_4|Теперь держи щит с помощью ПКМ, дай этим будущим лучникам сдать свой экзамен! Не подведи их! Осталось ещё {reg3} секунд из 30...
str_tutorial_2_msg_5|Пока всё хорошо, двигаемся дальше. В соседней комнате для тебя приготовлен небольшой сюрприз. А война, как ты знаешь, полна сюрпризов.
str_tutorial_2_msg_6|По умолчанию, нужно нажать F чтобы ненасильственно взаимодействовать с людьми и предметами. Тут есть алтарь, а на нём есть меч. В другой день мы бы выдали тебе палку, но сегодня у нас показательная тренировка, приехали важные лорды которые не преминут спросить почему это простые палки обошлись для казны так дорого. Поэтому бери этот меч и ступай дальше.
str_tutorial_2_msg_7|Настоящий меч! Теперь пришло время расплаты! Вернись обратно и слегка вломи тем лучникам, это научит их держать дистанцию и не отсвечивать - важнейший для лучника навык. Чур лежачих не добивать!
str_tutorial_2_msg_8|Отлично! Осталось проведать джентельмена, который любит нападать на безоружных. Мы же за справедливость, в конце-концов. Нет, оружие у него останется, иначе это было бы слишком просто.
str_tutorial_2_msg_9|Мои поздравления! Теперь ты знаешь, что щит это не только то что делает собака на лужайке, и умеешь решать проблемы как настоящий герой - с помощью насилия! Продолжай тренироваться и ты станешь признанным мастером меча, ну или по крайней мере всегда сможешь заработать пару медяков на большой дороге. В следующем обучении мы рассмотрим такой важный элемент драки, как парирование. Нажми Tab чтобы выйти в меню.
str_tutorial_3_msg_1|Время узнать, как защищаться подручными средствами. Щиты это конечно хорошо, но они могут сломаться, или же у тебя его банально нет. Парирование чуточку сложнее, чем блоки щитом. Парируешь ты не всё подряд, а входящие атаки с одного из четырёх направлений. Если закроешься не с той стороны - пропустишь удар и будет вава, только вот матушка не услышит твоих воплей! А теперь бери этот топор и приступим. Кстати, он волшебный - ударить им нельзя, только защищаться. А то рубанёшь кого...
str_tutorial_3_msg_2|По умолчанию, направление с которого ты будешь парировать (нажав и удерживая ПКМ) определяется направлением атаки твоего ближайшего противника. Поэтому сложно будет защититься, если тебя бьют несколько врагов. Наблюдай за противником внимательно, парируй ПОСЛЕ того как он замахнётся. Если закроешься ПРЕЖДЕВРЕМЕННО, то рискуешь не угадать с направлением и получить ваву! Помнишь джентельмена, который испытывал тебя на предыдущем уроке? Да, ты верно догадываешься, он очень просил дать ему реванш! В следующей комнате он покажет, как он соскучился по тебе!
str_tutorial_3_msg_3|Когда противник замахивается, нажимай и удерживай ПКМ. Если всё получилось, то ты услышишь приятный звук стали о сталь и можно отпустить ПКМ и повторить всё сначала. Иначе, звук будет неприятным. Осталось {reg3} секунд из 30.
str_tutorial_3_msg_4|Ты достойно выдержал это испытание! Твой закадычный спарринг-партнёр очень любит бить других, когда те не имеют возможности ответить, как ты заметил. А ещё он любит всем рассказывать о том, как это здорово! Поэтому наш сержант, наслушавшись таких рассказов, захотел сам попробовать! И он ждёт тебя прямо в соседнем закутке. Только учти, рука у него тяжёлая...
str_tutorial_3_msg_5|Когда противник замахивается, нажимай и удерживай ПКМ. Если всё получилось то ты услышишь приятный звук стали о сталь и можно отпустить ПКМ и повторить всё сначала.Иначе звук будет неприятным. Осталось {reg3} секунд из 30.
str_tutorial_3_msg_6|Так держать! Тебя колошматили и так и эдак, а ты ещё держишься на ногах! Кстати, я слегка обманул тебя - твой топор ни разу не волшебный а самый что ни на есть обычный, поэтому ты сможешь с его помощью раз и навсегда отвадить властного джентельмена от нападения на беззащитных. А заодно и сержанта... если сил хватит. Подойди к двери и нажми F чтобы приступить к этой ответственной миссии.
str_tutorial_3_2_msg_1|Умело парируя вражьи удары и нанося свои, помоги джентельмену принять горизонтальное положение. Подсказка: попробуй бить сразу после приятного звука.
str_tutorial_3_2_msg_2|Сражайся, сражайся как никогда в жизни!
str_tutorial_3_2_msg_3|Молодцом! Теперь тебе осталось разобраться с сержантом. На самом деле это необязательно, но представь, каким крутым ты себя почувствуешь, если справишься! Поэтому марш в соседнюю комнату! 
str_tutorial_3_2_msg_4|Сражайся, сражайся как никогда в жизни!
str_tutorial_3_2_msg_5|Моё почтение, боец! Теперь ты сможешь защитить себя хоть канделябром, хоть шваброй! Тренируйся усердно, и однажды все заговорят о тебе. Кстати, в давние времена мы отдельный урок посвящали такому эффективному боевому приёму как рипост, но потом его признали антигуманным и не включили в учебную программу. Так что тебе самому придётся узнавать что это такое и как его делать. На сегодня ты свободен, можешь нажимать Tab.
str_tutorial_4_msg_1|Приветствуем тебя на четвёртом обучении! Ты узнаешь о том как ездить на лошади или варге, и поупражняешься с оружием будучи верхом. Но сперва нужно усесться на своё ездовое животное, то есть подойти к нему и нажать F.
str_tutorial_4_msg_2|Когда ты едешь верхом, клавиши WASD управляют движением лошади, а не твоим собственным. Направляй лошадь к флагу, после чего появится следующий флаг, и так пока не доедешь до финиша.
str_tutorial_4_msg_3|Хорошо, теперь попробуем кого-нибудь ударить будучи верхом. Подъезжай к следующему флагу.
str_tutorial_4_msg_4|Доставай свой меч (используя колесо мыши) и сломай все 4 чучела. Старайся ударить их проносясь рядом с ними на полной скорости - это сложнее, но так ты нанесёшь больше урона. Замах при этом удобно делать заранее, отпуская ЛКМ за мгновение за того как скакун поравняется с целью.
str_tutorial_4_msg_5|Замечательно, теперь поупражняемся в верховой стрельбе. Поезжай к следующему флагу, чтобы начать.
str_tutorial_4_msg_6|Держи мишень сбоку от направления движения лошади, и порази её стрелами 3 раза. Хотя делать это на ходу и не обязательно, но раз уж это - обучение, то советую попробовать стрелять с разных направлений и на разных скоростях. Как ты вскоре заметишь, во время стрельбы верхом у тебя будет "слепая зона", в которую повернуть натянутый лук будет невозможно физически. Старайся маневрировать так, чтобы в ней как можно реже оказывалась твоя мишень. 
str_tutorial_4_msg_7|Мои поздравления, ты успешно прошёл это обучение! Нажми Tab чтобы выйти.
