hint_1|Белая Длань и Багровое Око не должны доверять друг другу.
hint_2|Против кого вы сражаетесь, кому приходите на помощь, и где разворачивается битва - от всего этого зависит, какое союзное королевство заметит и, возможно, вознаградит ваши деяния.
hint_3|Разведчики служат источником информации для любого королевства, как и пленники, брошенные в подземелья и обречённые на пытки и допросы. Освобождайте пленных и отправляйте воинов на разведку, чтобы ослепить врага.
hint_4|Помните, что для каждого королевства вы ведёте свой счёт очков снабжения, дающих вам право получать снаряжение и войска от данного королевства.
hint_5|При приближении к разгрому ослабление королевства становится необратимым. Мордор никогда не может постичь такая участь, но и он проиграет, если все его силы будут скованы противником, а все союзники - уничтожены.
hint_6|Нужно обладать хладнокровием и великой мудростью (зависит от ИНТЕЛЛЕКТА), чтобы предотвратить панику при приближении назгула. А чтобы совладать с испуганной лошадью, нужно быть отличным наездником. 
hint_7|Вы можете устроить привал на стратегической карте, зажав пробел. Однако раненые воины вылечатся быстрее, если вы отдыхаете в городе.
hint_8|Чтобы быстро запросить или отдать предметы, зажмите клавишу ctrl и щёлкните левой кнопкой мыши.
hint_9|Вы можете покинуть любую локацию, нажав клавишу Tab, а нажатием клавиши Backspace во время боя вы вызовете окно командования.
hint_10|Животные могут испугаться близкого присутствия олог-хай и троллей. Будьте осторожны!
hint_11|Воины являются главным ресурсом для всех королевств. Если вы собираете их под своё начало и обеспечиваете их содержание, то на это будут расходоваться Очки Снабжения соответствующей фракции.
hint_12|Вы можете отдавать приказы своим войскам во время боя. Зажав клавишу shift, вы можете точнее прицелиться.
