qst_deliver_message|Доставьте послание для {s13}
qst_deliver_message_text|{s9} просит вас доставить послание для {s13}. {s13} можно было найти в {s4}, когда вам дали это задание.
qst_deliver_message_to_enemy_lord|Доставьте послание для {s13}
qst_deliver_message_to_enemy_lord_text|{s9} просит вас доставить послание для {s13}, полководца державы {s15}. {s13} можно было найти в {s4}, когда вам дали это задание.
qst_raise_troops|Обучите {reg1} {s14}
qst_raise_troops_text|{s9} нуждается в опытных бойцах. Вы согласились обучить {reg1} {s14}.
qst_escort_messenger|Обеспечьте охрану гонца на пути в {s14}
qst_escort_messenger_text|Нет
qst_hunt_down_fugitive|Найдите и убейте преступника по имени {s4}
qst_hunt_down_fugitive_text|{s9} просит вас найти и убить преступника по имени {s4}. Говорят, что он сбежал в {s3}.
qst_bring_back_runaway_serfs|Верните сбежавших рабов
qst_bring_back_runaway_serfs_text|{s9} просит вас догнать и вернуть три группы сбежавших рабов в {s2}. Судя по всему, все они должны бежать в сторону {s3}.
qst_follow_spy|Проследите за соглядатаем
qst_follow_spy_text|{s11} просит вас последовать за соглядатаем, который скоро покинет {s12}. Вы должны быть осторожны, чтобы соглядатай не заметил вас, иначе он может почуять неладное и повернуть назад. Когда соглядатай встретится с сообщником, нападите на них, захватите обоих и приведите к {s11}.
qst_capture_enemy_hero|Захватите в плен вражеского полководца
qst_capture_enemy_hero_text|{s11} просит взять в плен вражеского полководца.
qst_lend_companion|{s9} просит помощи вашего соратника по имени {s3}. Вы согласились одолжить своего бойца.
qst_lend_companion_text|{s9} просит оставить в своём распоряжении вашего соратника по имени {s3} на неделю.
qst_capture_prisoners|Захватите в плен {reg1} вражеских воинов
qst_capture_prisoners_text|{s9} хочет, чтобы вы взяли в плен {reg1} вражеских воинов.
qst_investigate_fangorn|Обследуйте Фангорн
qst_investigate_fangorn_text|{s9} просит вас выяснить, что происходит в лесу Фангорн, а затем вернуться с докладом.
qst_capture_troll|Поймайте тролля
qst_capture_troll_text|{s9} просит вас поймать дикого тролля для нужд своей армии.
qst_kill_troll|Убейте опасного тролля 
qst_kill_troll_text|{s9} просит вас избавить {s13} от свирепствующего в округе тролля.
qst_mirkwood_sorcerer|Убейте колдуна в Темнолесье
qst_mirkwood_sorcerer_text|Сила Галадриэль, защищающая Лотлориэн, оказалась подорвана нечестивыми ритуалами колдуна из Дол-Гулдура. Он представляет большую угрозу для эльфов, хоть и является смертным. Разыщите его в чащах Темнолесья неподалёку от Дол-Гулдура. Будьте как можно более скрытным, чтобы вас не заметили и не подняли тревогу – у вас будет лишь один шанс, чтобы убить колдуна.
qst_find_lost_spears|Найдите потерянные копья короля Бладортина 
qst_find_lost_spears_text|{s9} просит вас найти потерянные копья, когда-то сделанные гномами для короля Бладортина. Вам придётся попросить разрешения у гномов, чтобы отправиться на поиски реликвии в глубокие пещеры под Одинокой Горой. 
qst_defend_village|Защитить деревню
qst_raid_village|Разграбить деревню
qst_rescue_prisoners|Освободите {reg1} союзных пленников
qst_rescue_prisoners_text|{s9} хочет, чтобы вы освободили из плена {reg1} союзных воинов.
qst_scout_enemy_town|Разведка окрестностей вражеского города 
qst_scout_enemy_town_text|{s9} просит вас разведать окрестности города {s13}.
qst_dispatch_scouts|Отправьте дозорный отряд
qst_dispatch_scouts_text|{s9} просит вас отправить дозорный отряд в окрестности города {s13}.
qst_eliminate_patrols|Уничтожьте {reg1} вражеских отрядов
qst_eliminate_patrols_text|{s9} просит вас уничтожить {reg1} {s13}.
qst_lend_surgeon|{s1} нуждается в помощи {s3} - лекаря вашего отряда
qst_lend_surgeon_text|{s1} нуждается в помощи {s3} - вашего многоопытного лекаря
qst_follow_army|Следуйте за армией, которую возглавляет {s9} 
qst_follow_army_text|Нет
qst_report_to_army|{s13} ожидает встречи с вами.
qst_report_to_army_text|Нет
qst_deliver_cattle_to_army|Привезите {reg3} порций провизии к {s13}
qst_deliver_cattle_to_army_text|Нет
qst_join_siege_with_army|Присоединитесь к штурму укреплений {s14}
qst_join_siege_with_army_text|Нет
qst_scout_waypoints|Обследуйте окрестности селений {s13}, {s14} и {s15}
qst_scout_waypoints_text|Нет
qst_move_cattle_herd|Сопроводите {s12} беженцев в {s13}
qst_move_cattle_herd_text|Управитель поселения {s10} попросил вас сопроводить {s12} в {s13}.
qst_escort_merchant_caravan|Сопроводите караван в {s8}
qst_escort_merchant_caravan_text|Сопроводите караван в {s8}.
qst_deliver_wine|Привезите {reg5} бочонков {s6} в {s4}
qst_deliver_wine_text|{s9} из {s3} попросил вас привезти {reg5} бочонков {s6} в {s4} в течение 7 дней.
qst_troublesome_bandits|Уничтожьте опасную банду гоблинов 
qst_troublesome_bandits_text|{s9} из {s4} попросил вас уничтожить опасную банду гоблинов в окрестностях города.
qst_deal_with_looters|Покончите с дикими орками
qst_deal_with_looters_text|Управитель города {s4} попросил вас покончить с несколькими бандами диких орков в окрестностях {s4}.
qst_deal_with_night_bandits|Покончите со зловредными гоблинами
qst_deal_with_night_bandits_text|Управитель города {s14} попросил вас покончить со зловредными гоблинами, разгуливающими по ночам в {s14}.
qst_deliver_food|Обеспечьте {s3} {reg5} порциями провизии
qst_deliver_food_text|{s9} из {s3} попросил вас привезти ему {reg5} порций провизии в течение 10 дней.
