skl_trade|Торговля
skl_trade_desc|Торговцы становятся сговорчивее и предлагают более лучшее снаряжение. (умение отряда)
skl_leadership|Лидерство
; skl_leadership_desc|Every point increases maximum number of troops you can command by 5 (3 for companions), increases your party morale and coherence in battle. Makes more and stronger volunteers willing to follow you. (Personal skill)
skl_prisoner_management|Содержание пленных
skl_prisoner_management_desc|С каждым новым уровнем этого навыка максимальное число пленных увеличивается на %d. Увеличивает вероятность захвата в плен и хранения заключенных. (умение лидера).
skl_persuasion|Единение с природой
skl_persuasion_desc|Способность выживать в дикой природе и подчинять её своей воле. Этот навык влияет на способность отряда скрываться от врагов, а также на скорость движения отряда по лесной местности. (умение отряда)
skl_engineer|-----
skl_engineer_desc|-----
skl_first_aid|Первая помощь
skl_first_aid_desc|Каждый новый уровень этого навыка восстанавливает у героев 5%% здоровья, потерянного при выполнении задания (умение отряда).
skl_surgery|Хирургия
skl_surgery_desc|С каждым новым уровнем этого навыка каждый член отряда получает 4%% шанс выжить при получении смертельного ранения (умение отряда).
skl_wound_treatment|Перевязка ран
skl_wound_treatment_desc|С каждым новым уровнем этого навыка скорость излечения отряда возрастает на 20%% (умение отряда).
skl_inventory_management|Упаковка
skl_inventory_management_desc|С каждым новым уровнем этого навыка вместительность вашего инвентаря увеличивается на +6 пунктов. Уменьшает расход пищи. (умение лидера).
skl_spotting|Зоркость
skl_spotting_desc|С каждым новым уровнем этого навыка поле зрения отряда увеличивается на 10%% (умение отряда).
skl_pathfinding|Поиск пути
skl_pathfinding_desc|С каждым новым уровнем этого навыка скорость передвижения отряда по карте увеличивается на 3%% (умение отряда).
skl_tactics|Тактика
; skl_tactics_desc|Improves battle advantage. Increases battle join distance for enemy parties and decreases battle join distance for friendly parties by 3% per level. (Leader skill)
skl_tracking|Слежение
skl_tracking_desc|Слежение становится более информативным (умение отряда).
skl_trainer|Наставник
skl_trainer_desc|Раз в день каждый герой отдает немного опыта тем членам отряда, чьи навыки хуже его собственных. Количество получаемого опыта: {0,4,10,16,23,30,38,46,55,65,80} (личное умение).
skl_looting|Сбор трофеев
skl_looting_desc|Увеличивает количество и качество добычи после битв. (Групповой навык)
skl_horse_archery|Верховая стрельба
skl_horse_archery_desc|Снижает штрафы на точность и урон при стрельбе верхом, распространяется на любое дальнобойное оружие, которое можно использовать верхом (личное умение).
skl_riding|Верховая езда
skl_riding_desc|Позволяет ездить на более породистых лошадях (или других животных) и увеличивает скорость езды и манёвренность лошади (личное умение).
skl_athletics|Атлетика
skl_athletics_desc|Увеличивает скорость бега (личное умение).
skl_shield|Владение щитом
skl_shield_desc|Снижает урон, наносимый по щиту (на 8%% с каждым новым уровнем), увеличивает скорость щита и зону его покрытия (личное умение).
skl_weapon_master|Владение оружием
skl_weapon_master_desc|Облегчает обучение боевому мастерству и повышает соответствующие пределы. Пределы бывают следующие: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420 (личное умение).
skl_power_draw|Мощный выстрел
skl_power_draw_desc|Позволяет персонажу пользоваться мощными луками. С каждым новым уровнем этого навыка (максимум - 4 плюс параметр мощного выстрела у самого лука) урон, наносимый луком, увеличивается на 14%% (личное умение).
skl_power_throw|Мощный бросок
skl_power_throw_desc|С каждым новым уровнем этого навыка урон, наносимый метательным оружием, увеличивается на 10%% (личное умение).
skl_power_strike|Мощный удар
skl_power_strike_desc|С каждым новым уровнем этого навыка урон, наносимый оружием ближнего боя, увеличивается на 8%% (личное умение).
skl_ironflesh|Живучесть
skl_ironflesh_desc|Каждое очко этого умения увеличивает количество здоровья на +2 и позволяет вам избежать некоторого урона, не будучи раненым. (Личное умение)
