skinkey_chin_size|Размер подбородка
skinkey_chin_shape|Форма подбородка
skinkey_chin_forward|Выдвинутость Подбородка
skinkey_jaw_width|Ширина Челюсти
skinkey_jaw_position|Положение Челюсть
skinkey_mouth_nose_distance|Расстояние между Носом и Ртом
skinkey_mouth_width|Ширина Рта
skinkey_cheeks|Щёки
skinkey_nose_height|Высота Носа
skinkey_nose_width|Ширина Носа
skinkey_nose_size|Размер Носа
skinkey_nose_shape|Форма Носа
skinkey_nose_bridge|Переносица Носа
skinkey_cheek_bones|Скулы
skinkey_eye_width|Ширина Глаз
skinkey_eye_to_eye_dist|Расстояние Между Глазами
skinkey_eye_shape|Форма Глаз
skinkey_eye_depth|Глубина Глаз
skinkey_eyelids|Веки
skinkey_eyebrow_position|Положение Бровей
skinkey_eyebrow_height|Высота Бровей
skinkey_eyebrow_depth|Глубина Бровей
skinkey_eyebrow_shape|Форма Бровей
skinkey_temple_width|Ширина Висок
skinkey_face_depth|Глубина Лица
skinkey_face_ratio|Пропорции Лица
skinkey_face_width|Ширина Лица
skinkey_post_edit|Постредактирование
skinkey_snout_height|Высота Морды
skinkey_snout_width|Ширина Морды
skinkey_snout_size|Размер Морды
skinkey_snout_shape|Форма Морды
skinkey_weight|Вес
skinkey_mouth_shape|Форма Рта
skinkey_eye_size|Размер Глаз
skinkey_eye_slant|Наклон Глаз
skinkey_frawn|Острота
skinkey_mouth_vert_pos|Вертикальная Позиция Рта
skinkey_mouth_to_nose_dist|Расстояние от Рта до Носа
skinkey_chin_width|Ширина Подбородка \\
