ui_at_learning_limit|(лимит изучения для этой расы)
ui_not_enough_skill_points_to_learn|(не хватает очков навыков для обучения)
ui_not_enough_attributetype_to_learn_this_skill|(Недостаточно %s для изучения навыка)
ui_explanation_agility|Ловкость: каждое очко дает пять очков владения оружием и увеличивает скорость атаки на 0,5%. Следующие навыки не могут быть развиты выше 1/3 ловкости: Владение оружием, Владение щитом, Атлетика, Верховая езда, Верховая стрельба, Сбор трофеев.
ui_retreated_battle|%s сбежал с поля боя.
ui_riding_skill_not_adequate_to_mount|(Не хватает навыка)
ui_camp|Лагерь
ui_tutorial_inventory|Чтобы получать снаряжение в моде The Last Days, вам нужны очки снабжения. Они являются мерой материальной поддержки со стороны фракции и того, сколь много ресурсов данной фракции вам позволено использовать.
ui_you_dont_have_value|У вас нет %s.
ui_merchant_cant_afford_value|%s: Я не могу себе позволить %s. У меня есть только %s.
ui_merchant_pay_whatever|Ладно, платите сколько есть.
ui_horse|Лошадь
ui_reclaim_your_sold_goods|Выкупите проданные товары перед покупкой этого!
ui_return_your_bought_goods|Верните купленные товары перед продажей этого!
ui_return_price|Можно вернуть за %d оч.снаб.
ui_sell_price|Можно отдать за %d оч.снаб.
ui_reclaim_price|Можно запросить обратно за %d оч.снаб.
ui_buying_price|Можно запросить за %d оч.снаб.
ui_notification_riding_skill_not_enough|Ваш навык верховой езды недостаточно высок, чтобы оседлать эту лошадь.
ui_notification_payment_value|Израсходовано %s.
ui_notification_payment_receive_value|Получено %s.
ui_weekly_cost_value|Жалованье: %s
ui_sell|Продать
ui_hire|Нанять
ui_notification_cant_hire|(Невозможно нанять: недостаточно оч.снаб.)
ui_joining_cost_weekly_wage|Стоимость найма: %d оч.снаб., жалованье: %d оч.снаб.
ui_weekly_wage|Жалованье: %d оч.снаб.
ui_price|Цена: %d оч.снаб.
ui_cant_reload_this_weapon_on_horseback|Это оружие невозможно перезарядить, будучи верхом.
ui_delivered_number_damage_to_horse|Нанесено %d урона животному.
ui_horse_charged_for_number_damage|Животное нанесло %d урона.
ui_horse_received_number_damage|Животное получило %d урона.
ui_horse_fell_dead|Животное пало замертво...
ui_horse_crippled|Животное охромело...
ui_you_got_value|Вы получили %s.
ui_has_deserted_the_party| покинул отряд.
ui_have_deserted_the_party| покинули отряд.
ui_loading_textures|Загрузка Текстур (потерпите)...
ui_order_hold_fire_toggle|Не стрелять/Стрельба без приказа
ui_order_dismount_toggle|Сесть верхом/Спешиться
ui_mount_horses_e_|%s, сесть верхом!
ui_hold_fire_e_|%s, не стрелять!
ui_fire_at_will_e_|%s, стрелять по готовности!
ui_recent_messages|Журнал
ui_value_denars|%d очков снабжения
ui_cannot_be_used_on_horseback|Невозможно использовать верхом
ui_upgrade_to_value|Повысить до %s
ui_notification_cant_upgrade|(Это невозможно сделать, передавая войска)
ui_lance_control|Управление копьём:
ui_manual_easy|Вручную (Легко)
ui_manual_hard|Вручную (Сложно)
ui_campaign_ai|Сложность ИИ (Не используется в TLD)
ui_crouch|Присесть

# swy: added from this spreadsheet, as requested by our translators:
#      https://docs.google.com/spreadsheets/d/1_zpuLL5iCwybkPCiJLOuyXTdZDm1_zxoToTroJRbtp4/edit?usp=sharing
ui_are_you_sure_you_want_to_import_the_character|Вы уверены, что хотите импортировать этого персонажа?
ui_explanation_strength|Сила: Каждое очко добавляет +1 очко к здоровью. Следующие навыки не могут быть развиты выше 1/3 от Силы: Железная кожа, Сильный бросок, Сильный удар, Сильный выстрел.
ui_explanation_intelligence|Интеллект: Каждое очко Интеллекта немедленно дает дополнительное очко навыков и немного увеличивает прирост опыта от некоторых действий. Следующие навыки не могут быть развиты выше 1/3 от интеллекта: Обучение, Слежение, Тактика,Поиск следов, Обнаружение, Управление инвентарем, Перевязка ран, Хирургия и Первая помощь.
; ui_explanation_charisma|Charisma: Improves your standing with people and factions. Each point increases your party size limit by +1 (0.5 for companions). The following skills can not be developed beyond 1/3 of Charisma: Prisoner Management, Wildcraft, Leadership, Trade.
ui_delivered_number_damage|Нанесено %d урона 
ui_mission_losses_killed|убито :
ui_party_losses|%s : %d ранено --- %d убито из %d
ui_following|Следование 
ui_accompanying|Сопровождающий
ui_dumping_value_items|%d предметы будут навсегда потеряны
ui_dumping_value_item|Предмет будет навсегда потерян, вы уверены?
ui_notification_requirements_not_met|Вам не хватает навыков, чтобы использовать это оружие
ui_disband|Распустить
ui_you_hit_a_friendly_troop|Вы попали в дружественного воина!
ui_you_are_not_carrying_any_arrows|У вас нет стрел.
ui_received_number_damage|Получено %d урона
ui_you_have_improved_your_proficiency_in_value_to_number|Вы улучшили навык с %s до %d
ui_your_proficiency_in_value_has_improved_by_number_to_number|Ваш навык %s улучшился с +%d до %d
ui_value_killed_by_value|%s убит %s
ui_value_knocked_unconscious_by_value|%s оглушён %s
ui_you_got_number_experience|Вы получили %d опыта.
ui_you_have_advanced_to_level_number|Вы перешли на %d уровень .
ui_quest_succeeded_value|Задание выполнено: %s
