fac_no_faction  = "Žiadna Frakcia"
fac_commoners  = "Prostí ľudia"
fac_outlaws  = "Divosi a Banditi"
fac_gondor  = "Gondor"
fac_dwarf  = "Erebor"
fac_rohan  = "Rohan"
fac_mordor  = "Mordor"
fac_isengard  = "Isengard"
fac_lorien  = "Lothlorien"
fac_imladris  = "Imladris"
fac_woodelf  = "Ríša elfov z Temnohvozdu"
fac_dale  = "Dálovia"
fac_harad  = "Harad"
fac_rhun  = "Rhun"
fac_khand  = "Khand"
fac_umbar  = "Umbar"
fac_moria  = "Mória"
fac_guldur  = "Dol Guldur"
fac_gundabad  = "Mt. Gundabád"
fac_dunland  = "Vrchovina"
fac_beorn  = "Grizlovci"
fac_player_supporters_faction  = "Frakcia hráča"
fac_player_faction  = "Frakcia hráča"
fac_brigands  = "Lupiči"
fac_tribal_orcs  = "Kmeň Ohyzdov"
fac_innocents  = "Nevinní"
fac_merchants  = "Obchodníci"
fac_manhunters  = "Lovci Ľudí"
fac_deserters  = "Odpadlíci"
fac_mountain_bandits  = "Horskí Banditi"
fac_forest_bandits  = "Lesní Banditi"
