skl_trade|Obchodník
skl_trade_desc|Kováči a obchodníci ti poskytnú nižšie ceny a zároveň ponúknu lepší tovar a vybavenie. (Schopnosť družiny)
skl_leadership|Vodcovstvo
; skl_leadership_desc|Every point increases maximum number of troops you can command by 5 (3 for companions), increases your party morale and coherence in battle. Makes more and stronger volunteers willing to follow you. (Personal skill)
skl_prisoner_management|Väznenie
; skl_prisoner_management_desc|Every level of this skill increases maximum number of prisoners by %d. Improves chances of capturing and keeping prisoners .(Leader skill)
skl_persuasion|Zbojníctvo
skl_persuasion_desc|Schopnosť prežiť v divočine a podvoliť si ju. Ovplyvní schopnosť tvojej družiny schovať sa pred nepriateľom a tiež rýchlosť tvojej družiny v lesnatom teréne. (Schopnosť družiny)
skl_engineer|-----
skl_engineer_desc|-----
skl_first_aid|Prvá pomoc
skl_first_aid_desc|Ty a tvoji spoločníci sa vyliečite okamžite po boji z 5%%zranení utrpených počas boja za každú úroveň tejto schopnosti. (Schopnosť družiny)
skl_surgery|Chirurgia
skl_surgery_desc|Každý bod tejto schopnosti zvyšuje šancu o 4%% na to, že smrteľne zasiahnutý člen družiny bude len zranený namiesto zabitý. (Schopnosť družiny)
skl_wound_treatment|Liečenie zranení
skl_wound_treatment_desc|Liečenie zranení v družine sa zvýši o 20%% za každú úroveň tejto schopnosti. (Schopnosť družiny)
skl_inventory_management|Veľkosť inventára
; skl_inventory_management_desc|Increases inventory capacity by +6 per skill level. Reduces food consumption. (Leader skill)
skl_spotting|Pozorovanie
skl_spotting_desc|Vzdialenosť na ktorú družina vidí je zvýšená o 10%% za každú úroveň tejto schopnosti. (Schopnosť družiny)
skl_pathfinding|Cestovanie
skl_pathfinding_desc|Rychlosť družiny na mape je zvýšená o 3%% za každý level tejto schopnosti. (Schopnosť Družiny)
skl_tactics|Taktika
; skl_tactics_desc|Improves battle advantage. Increases battle join distance for enemy parties and decreases battle join distance for friendly parties by 3% per level. (Leader skill)
skl_tracking|Stopovanie
skl_tracking_desc|Stopy budú poskytovať viac informácií. (Schopnosť družiny)
skl_trainer|Cvičiteľ
skl_trainer_desc|Každý deň pridá každý hrdina s touto schopnosťou všetkým z tvojej družiny, ktorých úroveň je nižšia než jeho/jej, skúsenosti. Hodnota získaných schopností je:\n {0,4,10,16,23,30,38,46,55,65,80}. (Osobná schopnosť)
skl_looting|Koristenie
; skl_looting_desc|Increases amount and quality of loot gained after battles. (Party skill)
skl_horse_archery|Streľba v sedle
skl_horse_archery_desc|Redukuje zníženia poškodenia a nepresnosti pre strelbu a hádzanie v sedle. (Osobná schopnosť)
skl_riding|Jazdenie
skl_riding_desc|Umožňuje ti jazdiť na koňoch (alebo iných zvieratách) vyžadujúcich vyššiu úroveň jazdectva a zvyšuje tvoju rychlosť a manévrovanie jazdeckého zvieraťa. (Osobná schopnosť)
skl_athletics|Atletika
skl_athletics_desc|Zvyšuje tvoju rychlosť behu. (Osobná schopnosť)
skl_shield|Štít
; skl_shield_desc|reduces damage to shields (by 8%% per skill level), improves shield speed and coverage, reduces shield penalty when used with bows. (Personal skill)
skl_weapon_master|Majster zbrane
skl_weapon_master_desc|Uľahčuje získavanie zručnosti so zbraňou a zvyšuje limity zručnosti. Limity sú: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Osobná schopnosť)
skl_power_draw|Sila napnutia tetivy
skl_power_draw_desc|Umožňuje postave používať silnejšie luky. Každý bod tejto schopnosti (až do štvorky plus požiadavky luku pre silu napnutia tetivy) zvyšuje poškodenie luku o 14%%. (Osobná schopnosť)
skl_power_throw|Mocný vrh
skl_power_throw_desc|Každý bod tejto schopnosti zvyšuje poškodenie vrhom o 10%%. (Osobná schopnosť)
skl_power_strike|Mocný úder
skl_power_strike_desc|Každý bod tejto schopnosti zvyšuje poškodenie spôsobované zblízka o 8%%. (Osobná schopnosť)
skl_ironflesh|Valibuk
; skl_ironflesh_desc|Each point to this skill increases hit points by +2, and lets you shrug off some damage without being wounded. (Personal skill)
