skinkey_chin_size|Veľkosť brady
skinkey_chin_shape|Tvar brady
skinkey_chin_forward|posunutie brady
skinkey_jaw_width|Šírka čeľuste
; skinkey_jaw_definition|Jaw Definition
skinkey_lower_lip|Dolná pera
skinkey_upper_lip|Horná pera
skinkey_mouth_nose_distance|Vzialenosť Úst a Nosu
skinkey_mouth_width|Šírka úst
skinkey_nostril_size|Veľkosť nosných dierok
skinkey_nose_height|Výška nosu
skinkey_nose_width|Šírka nosu
skinkey_nose_size|Veľkosť nosu
skinkey_nose_shape|Tvar nosu
skinkey_nose_bridge|Nosný mostík

skinkey_eye_width|Šírka očí
skinkey_eye_to_eye_dist|Vzdialenosť očí
skinkey_eye_shape|Tvar očí
skinkey_eye_depth|Hĺbka očí
skinkey_eyelids|Očné viečka
skinkey_cheeks|Líca
skinkey_cheek_bones|Lícne kosti
skinkey_eyebrow_height|Výška obočia

skinkey_eyebrow_shape|Tvar obočia
skinkey_temple_width|Šírka čela
skinkey_face_depth|Hĺbka tváre
skinkey_face_ratio|Pomer tváre
skinkey_face_width|Šírka tváre
skinkey_post_edit|Post-Edit
skinkey_jaw_position|Pozícia čeľuste
skinkey_eyebrow_position|Pozícia obočia
skinkey_eyebrow_depth|Hĺbka obočia
skinkey_snout_height|Výška ňufáka
skinkey_snout_width|Šírka ňufáka
skinkey_snout_size|Veľkosť ňufáka
skinkey_snout_shape|Tvar ňufáka
skinkey_weight|Váha
skinkey_mouth_shape|Tvar úst
skinkey_eye_size|Veľkosť očí
skinkey_eye_slant|Sklon očí
skinkey_frawn|Frawn
skinkey_mouth_vert_pos|Vertikálna pozícia úst
skinkey_mouth_to_nose_dist|Vzdialenosť od Úst k Nosu
skinkey_chin_width|Šírka brady
