p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|Zahodni Osgiliath
p_town_henneth_annun|Henneth Annun
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Roški gradec
p_town_east_emnet|Vzhodni Emnet
p_town_westfold|Zahodni Fold
p_town_west_emnet|Zahodni Emnet
p_town_eastfold|Vzhodni Fold
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul
; p_town_cirith_ungol|Emyn Muil Watchtower
p_town_east_osgiliath|Vzhodni Osgiliath
; p_town_orc_sentry_camp|Emyn Arnen Sentry
p_town_isengard|Ajzengart
p_town_urukhai_outpost|Oporišče Uruk-Haijev
p_town_urukhai_h_camp|Lovski tabor Uruk-Haijev
p_town_urukhai_r_camp|Rečni tabor Uruk-Haijev
p_town_caras_galadhon|Caras Galadhon
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth
p_town_thranduils_halls|Thranduilove dvorane
; p_town_woodelf_camp|Woodelf South Camp
p_town_woodelf_west_camp|Zahodni tabor lesnih vilinov
p_town_woodsmen_village|Gozdna vas
p_town_beorning_village|Vas Beorningov
p_town_beorn_house|Beornova hiša
p_town_moria|Vrata Morie
p_town_troll_cave|Jama trolov
p_town_dale|Dolinje
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Mrkinjski tabor
p_town_harad_camp|Haradrimski tabor
p_town_khand_camp|Khandski tabor
p_town_umbar_camp|Korzarski tabor
p_town_imladris_camp|Razendelski tabor
p_town_dol_guldur|Dol Guldur
; p_town_dol_guldur_north_outpost|Dol Guldur Road Outpost
p_town_rhun_main_camp|Glavni vzhodarski tabor
p_town_rhun_south_camp|Vzhodarsko južno oporišče
p_town_rhun_north_camp|Vzhodarsko severno oporišče
p_town_gundabad|Gundabad
; p_town_gundabad_ne_outpost|Grey Mountains Hold
; p_town_gundabad_nw_outpost|Grey Mountains Ravine
p_town_goblin_north_outpost|Goblinsko mesto
p_town_goblin_south_outpost|Goblinsko južno oporišče
p_town_gundabad_m_outpost|Gundabadski mrkolesni tabor
p_town_erebor|Erebor
p_town_ironhill_camp|Kamnolom železnih hribov
p_advcamp_gondor|Gondorski tabor
p_advcamp_rohan|Rohanski tabor
p_advcamp_isengard|Ajzengarški tabor
p_advcamp_mordor|Mordorski tabor
p_advcamp_harad|Haradrimski tabor
p_advcamp_rhun|Rhunski tabor
p_advcamp_khand|Khandski tabor
p_advcamp_umbar|Umbarski tabor
p_advcamp_lorien|Lorienski tabor
p_advcamp_imladris|Razendelski tabor
p_advcamp_woodelf|Tabor lesnih vilinov
p_advcamp_moria|Morijski tabor
p_advcamp_guldur|Dol Guldurski tabor
p_advcamp_gundabad|Gundabadski tabor
p_advcamp_dale|Dolinjski tabor
p_advcamp_dwarf|Ereborski tabor
p_advcamp_dunland|Mrkinjski tabor
p_advcamp_beorn|Beorninški tabor
p_argonath|Argonath
p_argonath2|Argonath
p_hand_isen|Ajzengarška roka
p_mount_doom|Gora Poguba
p_town_barad_dur|Barad Dur
p_ford_cair_andros1|Anduin
p_ford_cair_andros2|Anduin
p_ford_caras_galadhon|Anduin
p_ford_brown_lands|Anduin
p_ford_rauros|Anduin
p_ford_pelargir|Anduin
p_ford_edhellond|Anduin
; p_ford_cerin_dolen|Silverlode
p_old_ford|Stari pregaz
p_ford_erech|Ringlo
p_ford_isen1|Ajzen
p_ford_isen2|Ajzen
p_ford_rohan|Entok
p_ford_rohan2|Entok
p_ford_fangorn|Entok
; p_ford_fangorn2|Limlight
; p_ford_moria|Silverlode
p_legend_amonhen|Amon Hen
p_legend_deadmarshes|Mrtve močvare
p_legend_mirkwood|Mrkolesje
p_legend_fangorn|Fangornska entije
p_fangorn_center|Središče Fangorna
p_ring_hunter_lair|Gnezdo lovcev na prstan
p_raft|Brodarji
; p_amon_din|Amon Din
; p_eilenach|Eilenach
; p_nardol|Nardol
; p_erelas|Erelas
; p_min_rimmon|Min Rimmon
; p_calenhad|Calenhad
; p_amon_anwar|Amon Anwar
p_ancient_ruins|Starodavne ruševine
