menu_start_game_1|^^^^^^^^^^Za sta se boris?
mno_start_good|Zora nove ere 
mno_start_evil|Sumrak covecanstva
; mno_faction_intros|Learn about the different factions of Middle-Earth
mno_go_bback|Idi nazad
menu_start_phase_2|^^^^^ Srednja Zemlja. Senka se nadzire na istoku, ^ i mracne stvari izlaze na povrsinu koje nisu vidjene dosta vremena. ^ Slobodni ljudo se spemaju za rat,rat koji nisu mogucni ni zamisliti. ^ Ljudi, Vilenjaci, Patuljci i Orkovi; svi ce ucestvvati. ^^ Kako? To cemo tek videti...
mno_go_forth|Idi napred ka tvom izabranom putu...
mno_change_tld_options|Promeni TLD opcije.
menu_start_game_3|^^^^^^^^Izaberite vas scenario:
mno_custom_battle_scenario_1|Sukob, Gondor protiv Harada
mno_custom_battle_scenario_12|Izaberite frakcije za bitku
mno_custom_battle_scenario_3|Bitka, Vilenjaci protiv Crnih Numenoriana
mno_custom_battle_scenario_4|Helmov ponor, Rohan vs Isendard
mno_custom_battle_scenario_5|Sukob, Severne fakcije vs Rhuna
mno_custom_battle_scenario_6|Opsada - napad, Orkovi vs Patuljaka
mno_custom_battle_scenario_7|Zaseda, Orkovi protiv Mirkwooda
mno_custom_battle_scenario_8|Poslednji okrsaj Durinovih ljudi
mno_custom_battle_scenario_88|Gonjenje grupe orkova izvidjaca
mno_custom_battle_scenario_11|Test bitke (Treba izbalansirati!)
mno_custom_battle_scenario_10|Scenska test bitka
mno_troll_battle_scenario|Troll test bitke
mno_warg_battle_scenario|Warg test bitke
mno_build_your_own_scene|** Napravi tvoju scenu za TLD **
mno_go_back|Idi nazad
menu_tutorial|^^Dobrodosli u Combat Tutorijal za Mount & Blade. Ovde ces nauciti osnove u borbi, kao i kratak pregled komandi vojske tokom bitke.
mno_tutorial_1|Tutorijal #1: Osnovni pokreti i odabir oruzija. {s1}
mno_tutorial_2|Tutorijal #2: Borba sa stitom. {s2}
mno_tutorial_3|Tutorijal #3: Borba bez stita. {s3}
mno_tutorial_3b_door|sledeci nivo
mno_tutorial_4|Tutorijal #4: Jahanje konja ili vuka. {s4}
mno_tutorial_5|Tutorijal #5: upravljanje grupom vojnika. {s5}
mno_go_back_dot|Nazad
mno_action_view_troop_trees|Pogledaj podelu vojnika.
mno_view_upkeep_costs|Pogledaj cenu.
mno_view_character_report|Pogledaj raport.
mno_view_party_size_report|Pogledaj velicinu vojske.
mno_view_morale_report|Pogledaj moral vojske.
mno_view_character_report_02|NPS status.
mno_view_faction_strengths_report|Pogledaj snagu fakcija.
mno_view_traits_report|Pogledaj osobine
mno_resume_travelling|Nastavi putovanje.
mno_custom_battle_go|Zapocni.
mno_leave_custom_battle_2|Otkazi.
menu_custom_battle_end|^^^^^^Bitka je zavrsena. {s1} Tvoja strana je ubila {reg5} neprijatelja i izgubila {reg6} svojih trupa.^Ti si sam ubio {reg7} neprijatelja.
mno_replay|Igraj ovu bitku ponovo.
mno_continue_dot|Nastavi.
; menu_custom_battle_durin_end|^^^^^^It was an admirable last stand, but ultimately doomed.^^ You and your kinsmen killed {reg5} enemies.^You personally slew {reg7} opponents in the fighting.
mno_replay_cbd|Igraj ovu bitku ponovo.
mno_continue_dot_cbd|Nastavi.
mno_dot_go_back|. Povuci se
menu_start_good|^^^^^^^^^^Izaberi tvoju rasu:
mno_start_ma|Covek
mno_start_el|Vilenjak
mno_start_dw|Patuljak
menu_start_evil|^^^^^^^^^^Kome sluzis?
mno_start_eye|SAURONU od Mordora, gospodaru prstenova
mno_start_hand|SARUMANU od Isengarda, beloj ruci
menu_start_eye|^^^^^^^^^Tvoj vodja je svevidece oko^Izaberi svoju rasu
mno_start_or|ORK, koji sluzi mracnom gospodaru
mno_start_ur|URUK, nova vrsta Orkova
mno_start_em|COVEK, zavaran da se bori za Saurona
menu_start_hand|^^^^^^^^^Tvoj gospodar je beli carobnjak^Izaberi svoju rasu
mno_start_whor|ORK, sluga carobnjaka
; mno_start_isur|one of the URUK-HAI, bred in Isengard
mno_start_duma|COVEK Dunlanda, sa Zapadnih planina
menu_start_good_man|^^^^^^^^^^Izaberi svoj narod:
mno_start_go|GONDOR, Carstvo Bele Kule
mno_start_ro|ROHAN, narod konja
mno_start_du|DUNEDAIN, pre-dinastiju Ljudi
mno_start_be|BEORNINGS, narod medveda
; mno_start_wo|WOODMEN, from the eaves of Mirkwood
mno_start_da|severno carstvo DALE
menu_start_good_elf|^^^^^^^^^^iz koje si sume poreklom?
mno_start_ri|RIVENDELL, od Lorda Elronda
mno_start_lo|LOTHLORIEN, od Gospe Galadriele
mno_start_mi|MIRKWOOD, zemlju sumskih Vilenjaka
menu_start_good_dwarf|^^^^^^^^^^Izaberi svoje poreklo:
mno_start_er|stanovnik EREBORA
mno_start_ih|miner GVOZDENIH PLANINA
menu_start_gondor|^^^^^^^^^^Odakle si rodom?
mno_start_mt|MINAS TIRITH,glavni grad
mno_start_ls|LOSSARNACH,dolinu Sekirasa
mno_start_la|LAMEDON, domovinu Gorstaka
mno_start_pg|PINNATH GELIN, mesto zelenih planina
mno_start_do|DOL AMROTH, otadzbinu Svanskih Vitezova
mno_start_pe|PELARGIR, velike luke
mno_start_bl|BLACKROOT VALE, rodno mesto Strelaca
menu_start_eye_man|^^^^^^^^^^Izaberi svoj narod:
mno_start_hr|HARADRIM, pustinjski narod sa juga
mno_start_bn|Crni NUMENOREANI, izbeglica za zapada
mno_start_um|UMBAR, pirata sa juznih mora
mno_start_rh|RHUN, varvara sa istoka
mno_start_kh|KHAND, surovih ljudi za jugo - istoka
menu_start_eye_uruk|^^^^^^^^^^Gde obitavas?
mno_start_arm_uruk|u armijama MORDORA
mno_start_cav_uruk|u pecinama DOL GULDURA
menu_start_eye_orc|^^^^^^^^^^Gde obitavas?
mno_start_arm|u armijama MORDORA
mno_start_cav|u pecinama DOL GULDURA
menu_start_hand_orc|^^^^^^^^^^Gde obitavas?
mno_start_armis|u armijama ISENGARDA
mno_start_minmo|u rudnicima MORIjE
mno_start_cliff|na vukojebinama planine GUNDABADA
menu_start_gondor_mt|^^^^^^^^^^Izaberi svoje poreklo
mno_start_1_com|Obican covek
mno_start_2_hib|Vlastela
; menu_start_haradrim|^^^^^^^You are one of the Haradrim,^a Man of the Desert.^Select your line
mno_start_1_des|Pustinjski covek
mno_start_2_far|Clan plemena
; menu_start_numenorean|^^^^^^^You are a Black Numenorean,^faithful to the Darkness and Morgoth.^Select where you serve the Eye
; mno_start_1_bn|Next to the Mouth of Sauron, in MORANNON
; mno_start_2_bn|In the Fortress of the Necromancer, DOL GULDUR
menu_choose_gender|^^^^^^^^^^Musko ili Zensko?
mno_start_male|Musko
mno_start_female|Zensko
mno_proc|Nastavi prema normalnom
; menu_start_as_one|^^^^^^^^^^What type of Soldier are you?
; mno_start_default|Become a {s23} (Default)
; mno_start_up1|Become a {s21} (Easy)
; mno_start_up2|Become a {s22} (Easy)
mno_continue|Nastavi...
menu_character_report|^^^^^Moral Grupe:re {reg8}^Limit Velicine Grupe: {reg7}^{s5}
menu_camp|^^^^Nalazis se u {s1}.{s2}^^Sta zelis da radis?
mno_camp_scene|Prosetaj se okolo.
mno_camp_troop|Pregled{reg10? trupa:}{reg12? i:}{reg11? zarobljenika:}.
mno_camp_action|Koristi "objekat".
mno_camp_wait_here|Ulogori se ovde za neko vreme.
mno_camp_options|Promeni TLD opcije.
; mno_Dev_Menu|Developer Menu
; menu_dev_menu|These are Development Options that gives you alot of cheats/tools to play with.^^ However, this will result in some WIP events, triggers, campaign changes that could be game breaking.^^ Use at your own risk! ^^ Also, when reporting bugs, please tell us that you are using the Dev Menu.
mno_Cheat_enable|Dozvoli cheat/moding opcije.
menu_game_options|^^^^^^^^Izaberi opciju da bi je aktivirao:
; mno_game_options_war_level_start|War Starts at Level: {s1}
mno_game_options_restrict_items|Stroga oprema: {s7}
mno_game_options_formations|Borbene formacije i AI: {s7}
; mno_game_options_siege_ai|Advanced Siege AI:  {s7}
mno_game_options_town_menu|Ne treba traziti gradske trgovce na mapi: {s7}
mno_game_options_cutscenes|Video snimci: {s7}
mno_game_options_injuries|Rane na saborcima: {s7}.
mno_game_options_death|Smrt lordova i saboraca: {s7}.
mno_game_options_death2|Smrt igraca (to si TI!!): {s7}.
mno_game_options_morale|Moral u bitci: {s7}
mno_game_options_animal_ambushes|Napadi zivotinja: {s7}
; mno_game_options_horse_ko|Fallen rider damage messages:  {s7}
; mno_game_options_bright_nights|Brighter Nights:  {s7}.
