hint_1|Bela ruka ne sme verovati puno Oku previse. a ni obrnuto
hint_2|Sa kim se boris, kome pomazes i na kom mestu se bitka odigrava odlucuje o tome koja saveznicka drzava ce te pohvaliti, i nagraditi za tvoje usluge.
hint_3|Skauti su izvor informacija za Drzavu, bas kao i zarobljenici koji su pobegli. Pustanje zaropbljenika i uklanjanje skauta moze oslepiti neprijatelja
hint_4|Zapamtite da postoje vrste Resource Pointsa kod svake Drzave, koje vam omogucuju da budete osposoljeni sa boljom opremom i trupama u toj Drzavi
hint_5|Vojna snaga drzave je nepovratna. To nije kod Mordora ali ce se rat zavrstiti samo ako je mojna snaga unistena i svi neprijateljski saveznici pobedjeni.
hint_6|Potreban je miran mozak (INT) da nebiste panicili pored Nazgula. Takodje, potrebna je odlicna kontrola konja da on ne panici.
hint_7|Mozete se odmarati na mapi drzeci space. Takodje,ranjenici se brze lece kad se odmaraju u gradovima.
hint_8|Da biste brze kupovali i prodavali, drzite control key i pritiskajte levim klikom.
hint_9|Mozete napustiti lokacije ako pritisnete tab, i pritisnite Backspace da biste videli komandnu tablu.
hint_10|Zivotinje mogu da panice pored trolova i olog-haieva. Cuvajte se!
hint_11|Ljudska snaga predstavlja veoma vazan resurs, uzimanje i cuvanje vojnika pod vasom komandom trosi Resource Points te fakcije.
hint_12|Mozete naredjivati trupama dok ste u bitci. Takodje pritisnite shift ba biste zumirali.
