imod_plain  = "Obican %i"
imod_cracked  = "Siromasan %i"
imod_rusty  = "Sirov %i"
imod_bent  = "Kriv %i"
imod_chipped  = "Okrnjen %i"
imod_battered  = "Izubijan %i"
imod_poor  = "Siromasan %i"
; imod_crude  = "Simple %s"
; imod_old  = "Ancient %s"
imod_cheap  = "Jeftin %i"
imod_fine  = "Dobar %i"
imod_well_made  = "Dobro napravljen %i"
imod_sharp  = "Ostar %i"
imod_balanced  = "Balansiran %i"
imod_tempered  = "Kaljen %i"
imod_deadly  = "Smrtonosni"
imod_exquisite  = "Izvrstan %i"
imod_masterwork  = "Majstorija "
imod_heavy  = "Tezak "
imod_strong  = "Jak %i"
imod_powerful  = "Mocan %i"
imod_tattered  = "Dronjav %i"
imod_ragged  = "Cvrst %i"
imod_rough  = "Cvrst %i"
imod_sturdy  = "Snazan %i"
; imod_thick  = "Robust %s"
imod_hardened  = "Ucvrscen %i"
imod_reinforced  = "Ojacan %i"
; imod_cloak  = "%s with cloak"
imod_lordly  = "Majstorija "
imod_lame  = "Lenj %i"
imod_swaybacked  = "Los %i"
imod_stubborn  = "Tvrdoglav %i"
imod_timid  = "Pitom %i"
; imod_meek  = "Blood-covered %s"
imod_spirited  = "Vatren %i"
imod_champion  = "Sampion &ski"
imod_fresh  = "Svez %i"
imod_day_old  = "Dan-star %i"
imod_two_day_old  = "Dan-Dva star %i"
imod_smelling  = "Mirisljav %i"
imod_rotten  = "Propao"
imod_large_bag  = "Veliki dzak od %ovi"
