skl_trade|Trgovac
; skl_trade_desc|Makes smiths and supply masters more cooperative and offer better equipment. (Party skill)
skl_leadership|Vodjstvo
; skl_leadership_desc|Every point increases maximum number of troops you can command by 5 (3 for companions), increases your party morale and coherence in battle. Makes more and stronger volunteers willing to follow you. (Personal skill)
skl_prisoner_management|Menadzment Zarobljenika
; skl_prisoner_management_desc|Every level of this skill increases maximum number of prisoners by %d. Improves chances of capturing and keeping prisoners .(Leader skill)
; skl_persuasion|Wildcraft
; skl_persuasion_desc|The ability to survive in the wilderness and bend it to your will. This skill affects the party's ability to hide from the enemy, and the party's speed while in wooded terrain. (Party skill)
skl_engineer|-----
skl_engineer_desc|-----
skl_first_aid|Prva Pomoc
skl_first_aid_desc|Heroji dobijaju 5%% helta natrag koje su izgubili tokom borbe po skilu levela. (Grupni skil)
skl_surgery|Hirurgija
skl_surgery_desc|Svaki poen ovog skila dodaje 4%% sanse da ce vas vojnik koji je smrtonosno povredjen biti ranjen umesto ubijen. (Grupni skil)
skl_wound_treatment|Lecenje rana.
skl_wound_treatment_desc|Grupno lecenje je povecano za 20%% po skilu. (Grupni skil)
skl_inventory_management|Upravljanje Zalihama
; skl_inventory_management_desc|Increases inventory capacity by +6 per skill level. Reduces food consumption. (Leader skill)
skl_spotting|Osmatranje
skl_spotting_desc|Grupna vidljivost je povecana za 10%% po levelu. (Grpuni skil)
skl_pathfinding|Pronalazenje Puta
skl_pathfinding_desc|Brzina na mapi je povecana za 3%% po levelu. (Grupni skil)
skl_tactics|Taktika
; skl_tactics_desc|Improves battle advantage. Increases battle join distance for enemy parties and decreases battle join distance for friendly parties by 3% per level. (Leader skill)
skl_tracking|Pracenje
skl_tracking_desc|Putokazi imaju vise detalja. (Grupni skil)
skl_trainer|Trener
skl_trainer_desc|Svakoga dana, svaki heroj sa ovim skilom dodaje iskustva za svakog vojnika ciji level je manji nego njegov. Iskustva po levelu idu: {0,4,10,16,23,30,38,46,55,65,80}. (Licni skil)
skl_looting|Kradja ili zaplenjivanje
; skl_looting_desc|Increases amount and quality of loot gained after battles. (Party skill)
skl_horse_archery|Streljastvo na Konju
skl_horse_archery_desc|Povecaca snagu i preciznost strelicarstva i bacajucih oruzja kad ste na konju. (Licna vestina)
skl_riding|Jahanje
skl_riding_desc|Dozvoljava jahanje konja (ili drugih cudovista) koji traze veci level i povecava brzinu jahanjai manevre. (Licni skil)
skl_athletics|Atletika
skl_athletics_desc|Poboljsava brzinu trcanja. (Licni skil)
skl_shield|Stit
; skl_shield_desc|reduces damage to shields (by 8%% per skill level), improves shield speed and coverage, reduces shield penalty when used with bows. (Personal skill)
skl_weapon_master|Majstor Oruzja
skl_weapon_master_desc|Omogucava lakse ucenje oruzja i povecava limit. Limit ide do: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420.(Licni skil)
skl_power_draw|Snaznije Potezanje
skl_power_draw_desc|Daje mogucnost koristite jace lukove. Svaki poen ovog skila (kao i zahtev boljeg potezanje) povecava snagu luka za 14%% (Licni skil)
skl_power_throw|Bolje Bacanje
skl_power_throw_desc|Svaki poen ovog skila povecava snagu bacanja za 10%% (Licni skil)
skl_power_strike|Snazniju Udar
skl_power_strike_desc|Svaki poen ovog skila povecava snagu udaranja na blizinu za 8%% (Licni skil)
skl_ironflesh|Izdrzljivost
; skl_ironflesh_desc|Each point to this skill increases hit points by +2, and lets you shrug off some damage without being wounded. (Personal skill)
