menu_start_game_1|^^^^^^^^^^Vad slåss du för?
mno_start_good|Gryningen av en ny era
mno_start_evil|Skymmningen av människor
mno_faction_intros|Lär dig om de olika faktionerna i Midgård
mno_go_bback|Gå tillbaka
menu_start_phase_2|^^^^^ Midgård. En skugga växer i öst, ^ och mörka saker som länge har varit gömda kommer fram.^ De fria folket förbereder sig för krig, ett krig av dess like som inte har setts på en era. ^ Män, Alver, Dvärgar and Orcher; alla kommer ha en egen del. ^^ Däremot, Vilken del, återsår att se... 
mno_go_forth|Går framåt på din valda väg
mno_change_tld_options|Ändra TLD inställningar
menu_start_game_3|^^^^^^^^Välj ditt scenario:
mno_custom_battle_scenario_1|Skärmytsling, Gondor Falangerna vs Harald
mno_custom_battle_scenario_12|Välj falanger för strid
mno_custom_battle_scenario_3|Skärmytsling, Alver vs Svarta Numenoreans
mno_custom_battle_scenario_4|Försvar av Helms Klyfta, Rohan mot Isengård
mno_custom_battle_scenario_5|Skärmytsling, Norra Falangerna vs Rhûn
; mno_custom_battle_scenario_6|Siege Attack, Orcs vs Dwarves
mno_custom_battle_scenario_7|Bakhåll, Orker mot Mirkwood
; mno_custom_battle_scenario_8|The Last Stand of Durin's Folk
mno_custom_battle_scenario_88|Jaga en grupp orc spanare
; mno_custom_battle_scenario_11|Test Battles (Tune Balancing!)
; mno_custom_battle_scenario_10|Scenery test battle
mno_troll_battle_scenario|Testa Troll Slag
mno_warg_battle_scenario|Testa Warg-Strider
; mno_build_your_own_scene|** Build your own scene for TLD **
mno_go_back|Gå tillbaka
; menu_tutorial|^^ Welcome to the Combat Tutorial for Mount & Blade. Here you will learn the basics of combat, as well as a brief overview of troop command during field battles.
mno_tutorial_1|Handledning #1: Grundläggande rörelse och vapen val. {s1}
mno_tutorial_2|Handledning #2: Slåss med en sköld. {s2}
mno_tutorial_3|Handledning #3: Slåss utan en sköld. {s3}
mno_tutorial_3b_door|nästa level
mno_tutorial_4|Handledning #4: Rida en häst eller en ulv. {s4}
mno_tutorial_5|Handledning #5: Beodra en samling av soldater. {s5}
mno_go_back_dot|Gå Tillbaka
mno_action_view_troop_trees|Visa truppträd
mno_view_upkeep_costs|Visa underhållskostnad.
