skinkey_chin_size|hakans storlek
skinkey_chin_shape|hakans form
skinkey_chin_forward|hakans framskjutning
skinkey_jaw_width|käkbenets bredd
; skinkey_jaw_definition|Jaw Definition
; skinkey_lower_lip|Lower Lip
; skinkey_upper_lip|Upper Lip
skinkey_mouth_nose_distance|distans från munnen till näsan
skinkey_mouth_width|munnens storlek
; skinkey_nostril_size|Nostril Size
skinkey_nose_height|näsans höjd
skinkey_nose_width|näsans bredd
skinkey_nose_size|näsans storlek
skinkey_nose_shape|näsans form
skinkey_nose_bridge|näsbron

skinkey_eye_width|ögonens bredd
skinkey_eye_to_eye_dist|ögonens distans 
skinkey_eye_shape|ögonens form
skinkey_eye_depth|ögonens djup
skinkey_eyelids|ögonlocken
skinkey_cheeks|kinder
skinkey_cheek_bones|kindbenen
skinkey_eyebrow_height|ögonbrynas höjd

skinkey_eyebrow_shape|ögonbrynas form
skinkey_temple_width|tempel bredd
skinkey_face_depth|ansiktets djup
skinkey_face_ratio|ansiktets skala
skinkey_face_width|ansiktets bredd
skinkey_post_edit|efterförändring
skinkey_jaw_position|käkbenets position
skinkey_eyebrow_position|ögonbrynas position
skinkey_eyebrow_depth|ögonbrynas djup
skinkey_snout_height|näsans höjd
skinkey_snout_width|näsans bredd
skinkey_snout_size|näsans storlek
skinkey_snout_shape|näsans form
skinkey_weight|vikt
skinkey_mouth_shape|munnens form
skinkey_eye_size|ögonens storlek
skinkey_eye_slant|ögonens smalhet
skinkey_frawn|fräshhet
skinkey_mouth_vert_pos|onskefult leende
skinkey_mouth_to_nose_dist|distans från munnen till näsan
skinkey_chin_width|hakans bredd
