fac_no_faction|ไร้สังกัด
fac_commoners|พวกไพร่
fac_outlaws|พวกโจรป่าเถื่อน
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Isengard
fac_lorien|Lothlorien
fac_imladris|Imladris
fac_woodelf|The Woodland Realm
fac_dale|Dale
fac_harad|Harad
fac_rhun|Rhun
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Moria
fac_guldur|Dol Guldur
fac_gundabad|Mt. Gundabad
fac_dunland|Dunland
fac_beorn|The Vale of Anduin
fac_player_supporters_faction|ฝ่ายผู้เล่น
fac_player_faction|ฝ่ายผู้เล่น
fac_brigands|พวกโจร
fac_tribal_orcs|ชนเผ่าออร์ค
fac_innocents|ผู้บริสุทธิ์
fac_merchants|พ่อค้า
fac_manhunters|นักล่าค่าหัว
fac_deserters|คนหนีทัพ
fac_mountain_bandits|โจรภูเขา
fac_forest_bandits|โจรป่า
