menu_start_game_1|^^^^^^^^^^Ne için savaşıyorsun?
mno_start_good|Yeni bir çagın şafagı
mno_start_evil|İnsanların alacakaranlığı
mno_go_bback|Geri dön
menu_start_phase_2|^^^^^ Orta Dünya. Doğuda bir gölge büyüyor, ^ ve ve karanlık şeyler uzun süredir saklandıkları yerlerden dışarı çıktılar. ^ Özgür İnsanlar bir çağdır görülmemiş bir savaş için hazırlanıyorlar. ^ İnsanlar, Elfler, Cüceler ve Orklar; hepsi kendi rollerini oynayacaklar. ^^ Hangi rolleri oynayacakları ise görülecek...
mno_go_forth|Seçtiğin yolda ilerle...
menu_start_game_3|^^^^^^^^Senaryonu seç:
mno_custom_battle_scenario_1|Gondor ile Harad arasında çatışma
mno_custom_battle_scenario_12|Savaş için grupları seç
mno_custom_battle_scenario_3|Elfler ve Kara Numenoryanlar arasındaki çarpışma
mno_custom_battle_scenario_4|Miğfer Dibi Savunması, Rohan Isengard'a Karşı
mno_custom_battle_scenario_5|Çatışma, Kuzey, Rhûn'e karşı.
mno_custom_battle_scenario_6|Kuşatma, Orklar, Cücelere karşı.
mno_custom_battle_scenario_7|Pusu, Orklar, Mirkwood'a karşı.
mno_custom_battle_scenario_11|Test Savaşı ( Uyum Dengelemesi!)
mno_custom_battle_scenario_10|Manzara Test Savaşı
mno_troll_battle_scenario|Troll savaşını test et
mno_warg_battle_scenario|Warg savaşını test et
mno_build_your_own_scene|**TLD ile kendi Sahneni Oluştur**
menu_tutorial|TLD native M&B'nin sahip olmadığı bir çok içeriğe sahip. Bunlardan spoiler olmayacaklar yayınlanan PDF dosyası ile belirtildi . Tutorial ve basit oyun mekanikleri için lütfen Native modulü oynayınız.
mno_go_back_dot|Geri dön
mno_action_view_troop_trees|Birim agacını göster
mno_view_upkeep_costs|Bakım ücretini gör
mno_view_character_report|Karakter raporunu gör
mno_view_party_size_report|parti boyutu raporunu görüntüle
mno_view_morale_report|Grup moral raporuna gör.
mno_view_character_report_02|NPC durum kontrolü.
mno_view_faction_strengths_report|Taraf kuvvetlerinin raporunu gör.
mno_view_traits_report|Özellikleri gör.
mno_resume_travelling|Yolculuğa devam et.
mno_custom_battle_go|Başla.
mno_leave_custom_battle_2|İptal.
