ip_formations_and_morale|Düzen ve Moral
ip_formations_and_morale_text|Her savaşın başında rastgele saldırmak yerine, birliklerin kendilerince pozisyon alacaklar ve bekleyecekler. Sadece büyük taraflar (tüm 18'i) düzen kurarlar (ve kaçaklar), haydutlar direk saldıracaklar. İyi ve kötü taraflar arasında küçük bir fark var: iyi piyadeler kalkan-duvar oluştururken (genellikle defansif, eğer mızrakçıların varsa mızrak-duvar da oluşturabilirler), kötü piyadeler hat oluştururlar (önce güçlü birlikler). Dizilimler sadece meydan savaşlarında olur (yani özel savaşlar ve kuşatmalarda olmaz).^^Oyun içide verilen tüm pozisyon emirleri, oyuncunun o an bulunduğu yerde gerçekleşir: piyadeler sola, süvariler sağa ve okçular öne. Ek olarak, dizilişler oyuncunun o an yöneldiği yöne göre oluşur (mod dizaynına göre değişir). Ne zaman bir birim ilk kez bir diziliş oluşturursa, birlikler dizilişi kolaylaştırmak için etrafa dağılır (mod dizaynına göre değişir). Oyuncu birlikleri her savaşa düzen ile başlar. Mod dizaynınca değişmedikçe, diziliş kısayol tuşları: "J" hat için, "K" silah bazlı hat için (kalkan-duvar, mızrak-duvar), "L" kama düzeni için (kullanıcı "Log" eşleşmesini "L" den başka tuşa atamalıdır), ";" kare için, "U" diziliş olmaması (geri alır). Okçular için "hat" komutu onları kademeli bir sıraya sokar. Süvariler kama düzeninden başka bir düzene girmezler.^^Hücum (ve süvarilere attan in komutu) komutu dizilişi geri alır. Oyuncu, düşmana göre uygun bir konum almak için için ilerleme emirleri verebilir. Ya da komut panelinden veya F1'e basılı tutarak erleştirebilir (veya süvarileri kama düzeni ile düşman hattından geçirebilir). Bir lider olarak, birliklerini savaş boyunca düzende tutmak senin sorumluluğundur. Senin tarafın ne kadar kayıp verirse o kadar moralleri bozulur. Sürekli çıkan mesajlara dikkat ediyor ol! Birliklerini iki şekilde destekleyebilirsin:^^1. Düşmanları öldürerek. Eğer güzelce yaparsan, adamlarını etkilersin böylelikle daha sağlam savaşmalarına ve kaçmamalarına neden olursun.^^2.Onları tekrar düzene sokarak. Eğer birliklerin kaçıyorsa, "V" ye bas. Karakterin bir boru üfleyecek ve birliklerini düzenleyecek. Bunu her savaşta sınırlı miktarda yapabilirsin! (miktarı karizma ve liderlik seviyene bağlıdır)^^Eğer düşman komutanını mağlup etmeyi başarabilrsen büyük bir avantaj olacaktır çünkü düşmanı liderinden ayırmış olursun, tekrar düzene giremezler. Yani bir kez bozguna uğrattın mı, işleri bitmiştir.
ip_economy|Ekonomi
; ip_economy_text|There is no money in TLD. Instead you develop relationships with factions - represented by Resources, Influence and Rank.^^Resources are what's needed to sustain the faction in war - you can redeem looted scraps and items for it and you're also given a certain number of resource allowance each week depending on your rank within a faction. You can use this allowance to get soldiers, gear, horses for you to command and companions to follow you, but only if you accumulated enough. You have a separate resource/influence/rank pool for each Faction, remember that!^Influence points are awarded for finishing quests and winning tough battles. They can later be spent on special items as a reward from the rulers of factions you got the influence with.^^Rank points allow you to rise up in the ranks of your faction - this will determine your max party size, weekly resource income and unlock other stuff.^Due to being true to lore, we have also disabled by default the option of the so called "cross-dressing": a Gondorian wouldn't likely ever wear looted orc armour, and vice-versa. After most battles, you will find few or no items in the loot which can be used directly. Instead, "metal scraps" are dropped, which represent salvageable equipment and can then be given to your smiths who require them, for Resource Points.
ip_war_of_the_ring|Yüzük savaşı
; ip_war_of_the_ring_text|At the beginning of the game the War between good and evil hasn't started yet. You'll be notified when it does. (This does NOT depend on time spent playing, rather on how ready your character is for the war.) While Middle Earth might look like a pretty empty and quiet place at start, it gets filled with hostile parties very quickly once the War starts. Be prepared and use your few days of peace wisely! You can perform quests for the lords and leaders of all allied factions, raise troops and train yourself in the barracks.^^The war itself can be won or lost, unlike in the original M&B. Every faction has a strength rating - which changes according to faction successes or failures in battles. With strength dropping low enough, it becomes possible for enemies to siege faction cities/camps. When a faction drops to the lowest status, it is possible to defeat it completely by storming its capital.^^Note that player himself cannot initiate sieges in TLD. He can only help his faction and allies in siege battles if their leaders decide that it is time to go storm the enemy settlement.^^(This is a design decision, not a bug. It's also something we want to tweak in future releases, so the option to siege is available, but very costly and difficult to obtain)^^There are several theatres of war in TLD, defined by geography. When one side eliminates all the enemies in its current theatre, it will send an expeditionary force to help allies on other theatres. Expeditionary force will build an advance camp in the other theatre and operate from there. If the good forces are completely defeated, but Mordor and Isengard still stand strong, the two towers will battle each other over total dominance.
ip_starting_tips|Başlangıç İpuçları
; ip_starting_tips_text|You choose your faction at the start and you can't change it later. You can also choose from different races: men, elves, dwarves, uruks, uruk-hais or orcs. Remember that both the faction and the race you choose will limit you in certain ways. Some factions provide excellent soldiers, but in small numbers. Some have weak troops, but you can hire many. Smaller orcs can't wear armors designed for big guys, but can ride some beasts instead. Dwarves have exceptional gear, but can't ride mounts.^^This is not designed to be fully (artificially) balanced. Playing weaker races or factions can be more challenging (as a first game, you might want to prefer options, in the starting menus, which are placed on top of the list of alternatives).^^You choose a faction and you fight for it until your side wins the great war, or until your faction gets wiped out. In that case you can still keep fighting for your allies.^^- wandering around aimlessly is not a great idea, the War requires purpose and intent on your part. Before the war starts, you're trying to assemble a party of warriors, get the low requirement companions and some gear to be ready. After the war starts, your strategies may vary. Remember, it's important to both help your allies AND bring down the enemy.^- doing missions for faction lords is a good way to rise up in rank and to get resource and influence points.^- take multiple missions/quests at the time, ask everyone! You can often "do the rounds" and have several others done while delivering a letter for instance. Don't waste time!
ip_rumours_and_legendary_places|Dedikodular ve Efsanevi Yerler
; ip_rumours_and_legendary_places_text|Talking to people in settlements, you can read commentary from their faction's perspective. This will often contain interesting lore and sometimes even information unlocking special Legendary Locations on the world map.^^Some of these are only for exploration and don't serve any other purpose, some of them contain unique quests and easter eggs. When you unlock one, you'll be notified by a message.
ip_trolls|Troller
; ip_trolls_text|Trolls are very powerful. Evil players can't simply recruit them, but there are other ways of obtaining a troll or two. They do not listen to orders, so keep your troops far away from their devastating attacks!^^If you're looking for trolls as a mission, they can be found roaming around settlements they've been harassing (although friendly parties sometimes drive them further away, or outright deal with them before you do), or they roam the Misty Mountains, mostly nearby to their home caves.
