skinkey_chin_size|Çene Boyutu
skinkey_chin_shape|Çene Şekli
skinkey_chin_forward|Çene Uzunluğu
skinkey_jaw_width|Ağız Genişliği
skinkey_jaw_position|Diş Pozisyonu
skinkey_mouth_nose_distance|Ağız-Burun Mesafesi
skinkey_mouth_width|Ağız Genişliği
skinkey_cheeks|Yanaklar
skinkey_nose_height|Burun Yüksekliği
skinkey_nose_width|Burun Genişliği
skinkey_nose_size|Burun Boyutu
skinkey_nose_shape|Burun Şekli
skinkey_nose_bridge|Burun Köprüsü
skinkey_cheek_bones|Elmacık Kemikleri
skinkey_eye_width|Gözlerin Genişiği
skinkey_eye_to_eye_dist|Gözler Arası Mesafe
skinkey_eye_shape|Göz Şekli
skinkey_eye_depth|Göz Derinliği
skinkey_eyelids|Göz Kapakları
skinkey_eyebrow_position|Kaş Pozisyonu
skinkey_eyebrow_height|Kaş Uzunluğu
skinkey_eyebrow_depth|Kaş Derinliği
skinkey_eyebrow_shape|Kaş Şekli
skinkey_temple_width|Şakak Genişliği
skinkey_face_depth|Yüz Derinliği
skinkey_face_ratio|Yüz Oranı
skinkey_face_width|Yüz Genişliği
skinkey_post_edit|Son-Düzenleme
skinkey_snout_height|Kulak Uzunluğu
skinkey_snout_width|Kulak Genişliği
skinkey_snout_size|Kulak Boyutu
skinkey_snout_shape|Kulak Şekli
skinkey_weight|Ağırlık
skinkey_mouth_shape|Ağız Şekli
skinkey_eye_size|Göz Boyutu
skinkey_eye_slant|Göz Eğimi
skinkey_frawn|Kaş Şekli
skinkey_mouth_vert_pos|Ağzın Dikey Pozisyonu
skinkey_mouth_to_nose_dist|Ağızdan Buruna Olan Uzaklık
skinkey_chin_width|Çene Genişliği
