trp_unarmed_troop|Silahsız Birlik
trp_unarmed_troop_pl|Silahsız Birlikler
trp_tutorial_maceman|Topuzlu Birlik
trp_tutorial_maceman_pl|Topuzlu Birlikler
trp_tutorial_archer|Okçu
trp_tutorial_archer_pl|Okçular
trp_tutorial_swordsman|Kılıçlı Birlik
trp_tutorial_swordsman_pl|Kılıçlı Birlikler
trp_novice_fighter|Acemi Birlik
trp_novice_fighter_pl|Acemi Birlikler
trp_regular_fighter|Düzenli Birlik
trp_regular_fighter_pl|Düzenli Birlikler
trp_veteran_fighter|Kıdemli Birlik
trp_veteran_fighter_pl|Kıdemli Birlikler
trp_champion_fighter|Şampiyon Birlik
trp_champion_fighter_pl|Şampiyon Birlikler
trp_arena_training_fighter_1|Acemi Birlik
trp_arena_training_fighter_1_pl|Acemi Birlikler
trp_arena_training_fighter_2|Acemi Birlik
trp_arena_training_fighter_2_pl|Acemi Birlikler
trp_arena_training_fighter_3|Düzenli Birlik
trp_arena_training_fighter_3_pl|Düzenli Birlikler
trp_arena_training_fighter_4|Düzenli Birlik
trp_arena_training_fighter_4_pl|Düzenli Birlikler
trp_arena_training_fighter_5|Düzenli Birlik
trp_arena_training_fighter_5_pl|Düzenli Birlikler
trp_arena_training_fighter_6|Kıdemli Birlik
trp_arena_training_fighter_6_pl|Kıdemli Birlikler
trp_arena_training_fighter_7|Kıdemli Birlik
trp_arena_training_fighter_7_pl|Kıdemli Birlikler
trp_arena_training_fighter_8|Kıdemli Birlik
trp_arena_training_fighter_8_pl|Kıdemli Birlikler
trp_arena_training_fighter_9|Şampiyon Birlik
trp_arena_training_fighter_9_pl|Şampiyon Birlikler
trp_arena_training_fighter_10|Şampiyon Birlik
trp_arena_training_fighter_10_pl|Şampiyon Birlikler
trp_cattle|Sıgır
trp_cattle_pl|Sıgır Sürüsü
trp_farmer|Çiftçi
trp_farmer_pl|Çiftçiler
trp_townsman|Kasabalı
trp_townsman_pl|Kasabalılar
trp_watchman|Kasabalı Kadın 
trp_watchman_pl|Kasabalı Kadınlar 
trp_i1_woodmen_man|Ormancı Yerlisi
trp_i1_woodmen_man_pl|Ormancı Yerlileri
trp_i2_woodmen_forester|Orman Korucusu
trp_i2_woodmen_forester_pl|Orman Korucuları
trp_i3_woodmen_skilled_forester|Yetenekli Orman Korucusu
trp_i3_woodmen_skilled_forester_pl|Yetenekli Orman Korucuları
trp_i4_woodmen_axemen|Baltalı Korucu
trp_i4_woodmen_axemen_pl|Baltalı Korucular
trp_i5_woodmen_night_guard|Mirkwood Gece Muhafızı
trp_i5_woodmen_night_guard_pl|Mirkwood Gece Muhafızları
trp_a2_woodmen_tracker|İzci Korucu
trp_a2_woodmen_tracker_pl|İzci Korucular
trp_a3_woodmen_scout|Gözcü Korucu
trp_a3_woodmen_scout_pl|Ormancı İzcileri
trp_a4_woodmen_archer|Okçu Korucu
trp_a4_woodmen_archer_pl|Okçu Korucular
trp_a5_woodmen_night_stalker|Mirkwood Gece Avcısı
trp_a5_woodmen_night_stalker_pl|Mirkwood Gece Avcıları
trp_i1_beorning_man|Beorning Askeri
trp_i1_beorning_man_pl|Beorning Askerleri
trp_i2_beorning_warrior|Beorning Savaşçısı
trp_i2_beorning_warrior_pl|Beorning Savaşçıları
trp_i3_beorning_tolltacker|Paralı Beorning
trp_i3_beorning_tolltacker_pl|Paralı Beorningler
trp_i4_beorning_sentinel|Beorning Nöbetçisi
trp_i4_beorning_sentinel_pl|Beorning Nöbetçileri
trp_i5_beorning_warden_of_the_ford|Beorning Nehir Koruyucusu
trp_i5_beorning_warden_of_the_ford_pl|Beorning Nehir Koruyucusu
trp_i3_beorning_carrock_lookout|Beorning Carrock Gözcüsü
trp_i3_beorning_carrock_lookout_pl|Beorning Carrock Gözcüleri
trp_i4_beorning_carrock_fighter|Beorning Carrock Savaşçısı
trp_i4_beorning_carrock_fighter_pl|Beorning Carrock savaşçıları
trp_i5_beorning_carrock_berserker|Beorning Carrock Delisi
trp_i5_beorning_carrock_berserker_pl|Beorning Carrock Delileri
trp_i1_dale_militia|Dale Milisi
trp_i1_dale_militia_pl|Dale Milisleri
trp_i2_dale_man_at_arms|Dale Askeri
trp_i2_dale_man_at_arms_pl|Dale Askerleri
trp_a2_dale_scout|Dale İzcisi
trp_a2_dale_scout_pl|Dale İzcileri
trp_a3_dale_bowman|Dale Yaylısı
trp_a3_dale_bowman_pl|Dale Yaylıları
trp_a4_dale_archer|Dale Okçusu
trp_a4_dale_archer_pl|Dale Okçuları
trp_a5_barding_bowman|Barding Yaylısı
trp_a5_barding_bowman_pl|Barding Yaylıları
trp_i3_dale_swordsman|Dale Kılıç Ustası
trp_i3_dale_swordsman_pl|Dale Kılıç Ustaları
trp_i4_dale_sergeant|Dale Çavuşu
trp_i4_dale_sergeant_pl|Dale Çavuşları
trp_i5_dale_hearthman|Dale Yüreklisi
trp_i5_dale_hearthman_pl|Dale Yüreklileri
trp_i3_dale_spearman|Dale Mızrakçısı
trp_i3_dale_spearman_pl|Dale Mızrakçıları
trp_i4_dale_billman|Dale Baltacısı
trp_i4_dale_billman_pl|Dale Baltacıları
trp_i5_dale_bill_master|Dale Usta Baltacısı
trp_i5_dale_bill_master_pl|Dale Usta Baltacıları
trp_c2_rhovanion_retainer|Kuzeyli Toplama
trp_c2_rhovanion_retainer_pl|Kuzeyli Toplamalar
trp_c3_rhovanion_auxilia|Kuzeyli Yardımcı
trp_c3_rhovanion_auxilia_pl|Kuzeyli Yardımcılar
trp_c4_rhovanion_rider|Rhovanion Binicisi
trp_c4_rhovanion_rider_pl|Rhovanion Binicileri
trp_ac5_rhovanion_marchwarden|Rhovanion Muhafız Gözcüsü
trp_ac5_rhovanion_marchwarden_pl|Rhovanion Muhafız Gözcüleri
trp_i1_rhun_tribesman|Rhunlu Kabile Üyesi
trp_i1_rhun_tribesman_pl|Rhunlu Kabile Üyeleri
