ui_at_learning_limit|(Bu Irk için ögrenme limitinde)
ui_not_enough_skill_points_to_learn|(Ögrenmek için yeterli beceri puanınız yok)
ui_not_enough_attributetype_to_learn_this_skill|(Bu beceriyi ögrenmek için yeterli %s yok)
ui_explanation_agility|Çeviklik: Her puan beş silah puanı verir ve silah hızını% 0,5 artırır. Aşagıdaki beceriler Çevikligin 1 / 3'ünün ötesinde geliştirilemez: Silah Ustası, Kalkan, Atletizm, Binicilik, Atlı Okçuluk, Yagma.
ui_retreated_battle|%s savaş alanından kaçtı.
ui_riding_skill_not_adequate_to_mount|(Binicilik seviyesi düşük)
ui_camp|Kamp
ui_tutorial_inventory|The Last Days'de, Ekipman almak için Kaynak puanına ihtiyacınız vardır.
ui_you_dont_have_value|%s  sahip degilsin
ui_merchant_cant_afford_value|%s: Bize ihtiyacımız olandan daha fazlasını veriyorsun! Belki birazını kendine saklamalısın ( %s için eşya veriyorsun, yalnızca %s kullanabiliriz )
ui_merchant_pay_whatever|Hayır, bunlara ihtiyacım yok, sende kalsın.
ui_horse|Binek
ui_reclaim_your_sold_goods|Bu malı satın almadan önce, satmış oldugunuz malları geri alın!
ui_return_your_bought_goods|Bu malı satmadan önce satın almış oldugunuz malları iade edin!
ui_return_price|Geri alınırsa +%d Res.P.
ui_sell_price|Geri verilirse +%d Res.P.
ui_reclaim_price|Geri almak için: -%d Res.P.
ui_buying_price|Hak iddaa etmek için: -%d Res.P.
ui_notification_riding_skill_not_enough|Binebilmek için yeterli binicilik becerin yok.
ui_notification_payment_value|%s ödenecek
ui_notification_payment_receive_value|%s alınacak
ui_weekly_cost_value|Haftalık ücret: %s
ui_sell|Ver
ui_hire|Alındı
ui_notification_cant_hire|(kayıt için yeterli R.P. alınmadı)
ui_joining_cost_weekly_wage|Alım: %d Res.Pts. -- Bakım: %d Res.Pts.
ui_weekly_wage|Haftalık ücret: %d Res.P.
ui_price|Deger: %d Res.P.
ui_cant_reload_this_weapon_on_horseback|Bu Silah Binek Üzerindeyken Yeniden Doldurulamaz.
ui_delivered_number_damage_to_horse|Binege %d hasar verildi
ui_horse_charged_for_number_damage|Atla Saldırarak Hasar Verildi %d damage.
ui_horse_received_number_damage|Binek %d hasar aldı
ui_horse_fell_dead|At öldü...
ui_horse_crippled|At yaralandı...
