fac_no_faction|Немає фракції
fac_commoners|Мирні жителі
fac_outlaws|Дикуни і розбійники
fac_gondor|Гондор
fac_dwarf|Еребор
fac_rohan|Рохан
fac_mordor|Мордор
fac_isengard|Ізенгард
fac_lorien|Лотлоріен
fac_imladris|Імладріс
fac_woodelf|Морок-ліс
fac_dale|Дейл
fac_harad|Харад
fac_rhun|Рун
fac_khand|Ханд
fac_umbar|Умбар
fac_moria|Морія
fac_guldur|Дол-Гулдур
fac_gundabad|Гундабад
fac_dunland|Дунланд
fac_beorn|Долина Андуїна
fac_player_supporters_faction|Фракція гравця
fac_player_faction|Фракція гравця
fac_brigands|Найманці
fac_tribal_orcs|Дикі орки
fac_innocents|Невинні
fac_merchants|Торговці
fac_manhunters|Мисливці за головами
fac_deserters|Дезертири
fac_mountain_bandits|Гірські розбійники
fac_forest_bandits|Лісові розбійники
