menu_start_game_1|^^^^^^^^^^За що ти б'єшся?
mno_start_good|ЗОРЯ нової Ери
mno_start_evil|СУТІНКИ Людства
mno_faction_intros|Дізнатися про фракції Середзем'я
mno_go_bback|Повернутись назад
menu_start_phase_2|^^^^^ Середзем'я. Темрява зростає на Сході, ^ і темні створіння, що давно ховались, виходять назовні. ^ Вільні народи готуються до війни, якої не бачили вже цілий вік. ^ Люди, Ельфи, Гноми та Орки; усі зіграють свою роль. ^^ Яку саме, між тим, ще буде видно...
mno_go_forth|Вступити на обраний вами шлях...
mno_change_tld_options|Змінити налаштування TLD
menu_start_game_3|^^^^^^^^Оберіть сценарій:
mno_custom_battle_scenario_1|Сутичка, Гондор проти Харада
mno_custom_battle_scenario_12|Оберіть сторони для битви
mno_custom_battle_scenario_3|Сутичка, Ельфи проти Чорних Нуменорців
mno_custom_battle_scenario_4|Оборона Гельмової Паді, Роган проти Ізенґарду
mno_custom_battle_scenario_5|Сутичка, Північні фракції проти Ргун
mno_custom_battle_scenario_6|Штурм, Орки проти Гномів
mno_custom_battle_scenario_7|Засідка, Орки проти Мірквуда
mno_custom_battle_scenario_8|Останній Бій народу Дуріна.
mno_custom_battle_scenario_88|Переслідування орків розвідників
mno_custom_battle_scenario_11|Тестові битви (Тонкий Баланс!)
mno_custom_battle_scenario_10|Тест сцени тестова битва
mno_troll_battle_scenario|Тест битв з Тролями.
mno_warg_battle_scenario|Тест битв з Варгами.
mno_build_your_own_scene|**Створіть власну сцену для TLD**
mno_go_back|Повернутись назад
menu_tutorial|Ласкаво просимо керівництво Бойовими навичками до Mount and blade. Тут ви вивчите основи бою, а також отримаєте коротку ввідну по командуванню військами в польових битвах.
mno_tutorial_1|Навчання #1: Пересування і вибір зброї. {s1}
mno_tutorial_2|Навчання #2: Бій з щитом. {s2}
mno_tutorial_3|Навчання #3: Бій без щита. {s3}
mno_tutorial_3b_door|Наступний рівень
mno_tutorial_4|Навчання #4: Їзда на коні або Вардзі. {s4}
mno_tutorial_5|Навчання #5: Командування загоном солдатів. {s5}
mno_go_back_dot|Повернутись назад.
mno_action_view_troop_trees|Перегляд гілок розвитку військ.
mno_view_upkeep_costs|Переглянути вартість утримання.
mno_view_character_report|Переглянути звіт про персонажа.
mno_view_party_size_report|Переглянути звіт про розміри групи.
mno_view_morale_report|Переглянути звіт про мораль групи.
mno_view_character_report_02|Перевірити статус NPC
mno_view_faction_strengths_report|Переглянути звіт про сили фракції.
mno_view_traits_report|Переглянути риси.
mno_resume_travelling|Продовжити подорож.
mno_custom_battle_go|Почати.
mno_leave_custom_battle_2|Скасувати.
menu_custom_battle_end|^^^^^^Битва вщухла. {s1} Твоя сторона вбила {reg5} ворогів і втратила {reg6} бійців.^Ти власноруч поверг {reg7} суперників у бою.
mno_replay|Грати цю битву знову.
mno_continue_dot|Продовжити.
menu_custom_battle_durin_end|^^^^^^Це був чудовий, але все ж безнадійний бій.^^ Ви і ваші соратники убили {reg5} ворогів.^Ви особисто вбили {reg7} супротивників у бою.
mno_replay_cbd|Грати цю битву знову.
mno_continue_dot_cbd|Продовжити.
mno_dot_go_back|Повернутись назад
menu_start_good|^^^^^^^^^^Оберіть свою расу:
mno_start_ma|ЛЮДИНА
mno_start_el|ЕЛЬФ
mno_start_dw|ГНОМ
menu_start_evil|^^^^^^^^^^Кому служитимеш?
mno_start_eye|САУРОНОВІ з Мордору, Володареві Кілець
mno_start_hand|САРУМАНОВІ Білому, Білій Руці
menu_start_eye|^^^^^^^^^Твій хазяїн - Невсипуще Око^Обери свою расу
mno_start_or|ОРК, що служить Невсипущому Оку
mno_start_ur|УРУК, новий вид Орків
mno_start_em|ЛЮДИНА, підконтрольна Саурону
menu_start_hand|^^^^^^^^^Твій хазяїн - Біла Рука^Обери свою расу
mno_start_whor|ОРК, що служить Білій Руці
mno_start_isur|Урук-Хай, вирощені в Ізенгарді
mno_start_duma|ЛЮДИНА з Дунланда, Західних Рівнин
menu_start_good_man|^^^^^^^^^^Оберіть свій народ:
mno_start_go|ГОНДОР, Королівство Білої Вежі
mno_start_ro|РОГАН, Кінний народ
mno_start_du|ДУНЕДАЙН, древня династія Людей
mno_start_be|БЕОРНІНГИ, Ведмежий народ
mno_start_wo|ЛІСНИК, з околиць Темнолісся
mno_start_da|північе Королівство Дейл
menu_start_good_elf|^^^^^^^^^^у якому Лісі ти живеш, Вічний?
mno_start_ri|РІВЕДЕЛЛ, Лорда Елронда
mno_start_lo|ЛОТРЛОРІЕН, Леді Галадріел
mno_start_mi|МІРКВУД, земля Сільванських Ельфів
menu_start_good_dwarf|^^^^^^^^^^Обери свій Родовід:
mno_start_er|мешканець ЕРЕБОРА
mno_start_ih|шахтар із ЗАЛІЗНИХ ХОЛМІВ
menu_start_gondor|^^^^^^^^^^Звідки саме з Гондора, ти походиш?
mno_start_mt|МІНАС ТІРІТ, Столиця
mno_start_ls|ЛОССАРНАХ, Феод Сокирників
mno_start_la|ЛАМЕДОН, Феод Гірних Кланів
mno_start_pg|ПІННАТ ГЕЛІН, Феод Зелених Холмів
mno_start_do|ДОЛ АМРОТ, Феод Лицарів Лебедя
mno_start_pe|ПЕЛАРГІР, Береговий Феод
mno_start_bl|ДОЛИНА ЧОРОГО КОРЕНЯ, Феод Лучників
menu_start_eye_man|^^^^^^^^^^Оберіть свій народ:
mno_start_hr|ХАРАДРІМ, народ південних пустель
mno_start_bn|Чорні НУМЕНОРЦІ, відступники Заходу
mno_start_um|УМБАР, пірати південних морів
mno_start_rh|РУН, варвари зі Сходу
mno_start_kh|ХАНД, дикий народ з південного сходу
menu_start_eye_uruk|Де ховаєшся?
mno_start_arm_uruk|Серед армій, зібраних у МОРДОРІ
mno_start_cav_uruk|У печерах ДОЛ-ҐУЛДУРА
menu_start_eye_orc|Де ховаєшся?
mno_start_arm|Серед армій, зібраних у МОРДОРІ
mno_start_cav|У печерах ДОЛ-ҐУЛДУРА
menu_start_hand_orc|Де ховаєшся?
mno_start_armis|Серед армій, зібраних в ІЗЕНГАРДІ
mno_start_minmo|В копальнях МОРІЇ
mno_start_cliff|Серед скель Гори ГУНДАБАД
menu_start_gondor_mt|^^^^^^^^^^Виберіть своє походження
mno_start_1_com|Звичайний
mno_start_2_hib|Високонароджений
menu_start_haradrim|^^^^^^^Ви виходець з Хараду,^Людина пустелі.^Виберіть своє походження
mno_start_1_des|Людина пустелі
mno_start_2_far|Виходець із племен Далекого Харада
menu_start_numenorean|^^^^^^^Ти чорний Нуменорець,^Вірний Темряві та Морґоту.^Виберіть місце ви служите Оку
mno_start_1_bn|Поруч з гирлом Саурона, у МОРАНОНІ
mno_start_2_bn|У фортеці некроманта ДОЛ ГУЛДУР
menu_choose_gender|Твоя стать?
mno_start_male|Чоловіча
mno_start_female|Жіноча
mno_proc|Продовжуйте як зазвичай
menu_start_as_one|^^^^^^^^^^Який ти Воїн?
mno_start_default|Стати {s23} (За замовчуванням)
mno_start_up1|Стати {s21} (Легко)
mno_start_up2|Стати {s22} (Легко)
mno_continue|Продовжити...
menu_character_report|^^^^^Бойовий дух загону: {reg8}^Максимальний розмір загону: {reg7}^{s5}
menu_camp|^^^^Перед вами {s1}.{s2}^^Що ви хочете зробити?
mno_camp_scene|Прогулятися навколо.
mno_camp_troop|Влаштувати огляд{reg10? воїнів:}{reg12? та:}{reg11? бранців:}.
mno_camp_action|Використай предмет.
mno_camp_wait_here|Влаштувати Табір.
mno_camp_options|Змінити налаштування TLD
mno_Dev_Menu|Меню розробника
menu_dev_menu|Це опції розробників які можуть дозволити вам використовувати деякі чіти і інструменти для гри.^^ Однак це призведе до деяких подій, з триггерами і змін кампанії які можуть зламати гру.^^ Використовуйте на свій страх і ризик! ^^ Також, якщо ви повідомляєте про баги, будь ласка, скажіть нам якщо ви використовували ці опції.
mno_Cheat_enable|Включити опції чіткодів/модифікації.
menu_game_options|^^^^^^^^ Натисніть на опцію, щоб змінити її:
mno_game_options_war_level_start|Війна починається на рівні: {s1}
mno_game_options_restrict_items|Обмеження в озброєнні гравця: {s7}
mno_game_options_formations|Бойові побудови та AI: {s7}
mno_game_options_siege_ai|Високий рівень AI на облозі: {s7}
mno_game_options_town_menu|Доступ до місцевих НПС з меню поселення: {s7}
mno_game_options_cutscenes|Ролики: {s7}
mno_game_options_injuries|Поранення соратників: {s7}.
mno_game_options_death|Остаточна смерть полководців і соратників: {s7}.
mno_game_options_death2|Остаточна смерть гравця (тобто ВАС!): {S7}.
mno_game_options_morale|Система бойового духу в боях: {s7}
mno_game_options_animal_ambushes|Напади тварин: {s7}
mno_game_options_horse_ko|Повідомлення про втрату наїзникам: {s7}
mno_game_options_bright_nights|Світлі ночі: {s7}
mno_game_options_camera_pref|Переважний режим камери: {s7}
mno_game_options_tweaks|Налаштування геймплею ...
mno_game_options_back|Повернутися в меню табору.
mno_game_options_start_back|Назад.
menu_camp_tweaks|^^^^^^^^ Виберіть опцію, яку б хотіли налаштувати.
mno_tweak_options_compat|Налаштування сумісності ...
mno_tweak_options_strat|Налаштування кампанії ...
mno_tweak_options_battlefield_ai|Додаткові опції для AI боїв ...
mno_tweak_options_back|Повернутися в меню опцій.
menu_camp_compat_tweaks|^^^^^^^^Натисніть на опцію, щоб змінити її (утримуйте Shift, щоб зменшити):^(це настройка сумісності, не чіти)
mno_game_options_compat_party|Максимальна кількість загонів: {s1}
mno_game_options_compat_back|Повернутися в меню опцій.
menu_camp_strat_tweaks|^^^^^^^^Натисніть на опцію, щоб змінити її:^ (УВАГА: це чіти!)
mno_strat_tweaks_siege_reqs|Поріг рейтингу сили для початку облог: {s7}
mno_strat_tweaks_siege_relax_rate|Темп зростання порога, при якому починаються облоги: {reg1}
mno_strat_tweaks_regen_rate|Темп відновлення рейтингу сили: {s7}
mno_strat_tweaks_siege_regen_limit|Сила фракцій відновлюється повільніше з: {reg1}
mno_strat_tweaks_influence_gain_rate|Приріст очок впливу: {s7}
mno_strat_tweaks_rank_gain_rate|Приріст очок рангу: {s7}
mno_strat_tweaks_back|Повернутися в меню опцій.
menu_camp_action|^^^^^^^^^ Який предмет?
mno_camp_drink_water|Випити ентійскую воду!
mno_camp_drink_orc_brew|Випити Оркський відвар!
mno_camp_drink_miruvor|Пройдіть навколо Мірувора!
mno_camp_use_athelas|Використовуйте Ателас для обробки ран.
mno_camp_use_drums|Бийте в барабани Глибоко
mno_camp_action_4|Назад.
menu_assasins_attack_player_won|Ви успішно впоралися з вбивцями з держави {s2}, підісланими полководцем {s3}.
menu_assasins_attack_player_retreat|Ви втекли і врятували своє життя!
menu_fangorn_danger|^^^^^^Дивні, звуки лякають оточують вас.^ Невже це розмовляють дерева? Повітря пронизаний відчуттям прихованого гніву і болю.^ Який буде ваш наказ?
mno_be_quiet_elf|Слід поважати гнів дерев. Рухайтеся якомога тихіше.
mno_be_quiet|Опустіть зброю і замовкніть! А тепер - геть звідси!
mno_be_bold|Вперед! Я не боюся бур'янів зі старих казок!
; mno_fight_back|Let's find out! Search the area! Burn down a tree or two! (Camp)
