hint_1|Біла Долоня і Багряне Око не повинні довіряти один одному.
hint_2|Проти кого ви воюєте, кому приходите на допомогу, і де розгортається битва - від усього цього залежить, яке союзне королівство помітить і, можливо, винагородить ваші діяння.
hint_3|Розвідники служать джерелом інформації для будь-якого королівства, як і бранці, кинуті в підземелля і приречені на тортури і допити. Звільняйте полонених і відправляйте воїнів на розвідку, щоб засліпити ворога.
hint_4|Пам'ятайте, що для кожного королівства ви ведете свій рахунок Одиниць Спорядження, які дають вам право отримувати спорядження і війська від даного королівства.
hint_5|При наближенні до розгрому ослаблення королівства стає незворотнім. Мордор ніколи не може спіткати така доля, але і він програє, якщо всі його сили будуть скуті супротивником, а всі союзники - знищені.
hint_6|Потрібно володіти холоднокровністю (залежить від ІНТЕЛЕКТУ), щоб запобігти паніці при наближенні назгула. Щоб упоратися з переляканою конем, потрібно бути відмінним наїзником.
hint_7|Ви можете влаштувати привал на стратегічній мапі, затиснувши SPACE. Однак поранені воїни вилікуються швидше, якщо ви відпочиваєте в місті.
hint_8|Щоб швидко замовити або віддати предмети, затисніть клавішу Ctrl і клацніть лівою кнопкою миші.
hint_9|Ви можете миттєво покинути будь-яку локацію, натиснувши клавішу Tab, а натисканням клавіші Backspace під час бою ви викличете вікно командування.
hint_10|Тварини можуть злякатися близької присутності олог-хай і тролів. Будьте обережні!
hint_11|Воїни є головним ресурсом для всіх королівств. Якщо ви збираєте їх під своє командування і забезпечуєте їх утримання, то на це будуть витрачатися Одиниці Спорядження відповідної фракції.
hint_12|Ви можете віддавати накази своїм військам під час бою. Затиснувши клавішу Shift, ви можете точніше прицілитися.
