ip_formations_and_morale|Формації і бойовий дух
; ip_formations_and_morale_text|Your troops will position themselves and hold at the beginning of each battle, instead of blindly charging. Only major factions (all 18 of them) use formations (+deserters), bandits will simply charge. There is a slight difference between good and evil factions, good infantry will form shield walls (usually defensive - shielded troops first, but it can form a phalanx if you have pikemen), while evil infantry will form ranks (best troops first). Formations only work in field battles (meaning not in custom battles and sieges).^^Any time in-game that you have a formation form or "Hold", it will set up near the position that the player had when the command was issued: infantry to the left, cavalry to the right, and archers up front. Additionally, the formations may maintain the same FACING that the player had (depending on mod design). Whenever a unit first forms a particular formation, troops may spread out for ease of forming up (depending on mod design). Player troops start every battle in formation. Unless changed by mod design, formation key bindings are: "J" for ranks, "K" for weapon-based ranks (shieldwall, phalanx),"L" for wedge (the player ought to reassign the "L" for "Log" mapping)";" for square, "U" for no formation (undo formation). The "ranks" command for archers puts them in a staggered line. Cavalry will not make any formation other than the wedge.^^Charge (and Dismount for cavalry) will undo a formation. The player may Advance multiple times to have a formation move toward the average position of the enemy. Or use the order panel or hold-F1 to place them (or sweep them across the enemy for the cavalry wedge). As a leader it's your responsibility to keep your troops in order during battle. The more casualties your side suffers, the more their morale crumbles. Keep watching for messages popping up! You can support your troops in two ways:^^1. Killing enemies. If you do well, you impress your men and they fight harder and don't flee.^^2. Rallying them. If your troops are fleeing, press "V". Your character will sound a horn and rally the troops. You get only a limited amount of rallies per battle! (the amount is based on your Charisma and Leadership)^^It can be quite the advantage if you manage to defeat the enemy commander, because that robs enemies of their leader, they cannot be rallied. Therefore once you manage to rout them, they're gone.
ip_economy|Економіка
; ip_economy_text|There is no money in TLD. Instead you develop relationships with factions - represented by Resources, Influence and Rank.^^Resources are what's needed to sustain the faction in war - you can redeem looted scraps and items for it and you're also given a certain number of resource allowance each week depending on your rank within a faction. You can use this allowance to get soldiers, gear, horses for you to command and companions to follow you, but only if you accumulated enough. You have a separate resource/influence/rank pool for each Faction, remember that!^Influence points are awarded for finishing quests and winning tough battles. They can later be spent on special items as a reward from the rulers of factions you got the influence with.^^Rank points allow you to rise up in the ranks of your faction - this will determine your max party size, weekly resource income and unlock other stuff.^Due to being true to lore, we have also disabled by default the option of the so called "cross-dressing": a Gondorian wouldn't likely ever wear looted orc armour, and vice-versa. After most battles, you will find few or no items in the loot which can be used directly. Instead, "metal scraps" are dropped, which represent salvageable equipment and can then be given to your smiths who require them, for Resource Points.
ip_war_of_the_ring|Війна Кільця
; ip_war_of_the_ring_text|At the beginning of the game the War between good and evil hasn't started yet. You'll be notified when it does. (This does NOT depend on time spent playing, rather on how ready your character is for the war.) While Middle Earth might look like a pretty empty and quiet place at start, it gets filled with hostile parties very quickly once the War starts. Be prepared and use your few days of peace wisely! You can perform quests for the lords and leaders of all allied factions, raise troops and train yourself in the barracks.^^The war itself can be won or lost, unlike in the original M&B. Every faction has a strength rating - which changes according to faction successes or failures in battles. With strength dropping low enough, it becomes possible for enemies to siege faction cities/camps. When a faction drops to the lowest status, it is possible to defeat it completely by storming its capital.^^Note that player himself cannot initiate sieges in TLD. He can only help his faction and allies in siege battles if their leaders decide that it is time to go storm the enemy settlement.^^(This is a design decision, not a bug. It's also something we want to tweak in future releases, so the option to siege is available, but very costly and difficult to obtain)^^There are several theatres of war in TLD, defined by geography. When one side eliminates all the enemies in its current theatre, it will send an expeditionary force to help allies on other theatres. Expeditionary force will build an advance camp in the other theatre and operate from there. If the good forces are completely defeated, but Mordor and Isengard still stand strong, the two towers will battle each other over total dominance.
ip_starting_tips|Поради для початківців
ip_starting_tips_text|На початку гри ви обираєте свою фракцію і вже не зможете скасувати цей вибір. Також ви можете вибрати расу свого персонажа: люди, ельфи, гноми, уруки, урук-хаї або орки. Пам'ятайте, що вибравши фракцію і расу, ви накладаєте на себе деякі обмеження. У одних фракцій відмінні солдати, але доступні в малій кількості, в інших навпаки - слабкі війська,які доступні в більших кількостях. Дрібні орки не можуть носити броню, призначену для великих хлопців, але зате можуть їздити на деяких тварюках. У гномів відмінна зброя і броня, але вони не можуть їздити верхи.^^Ми не планували повністю балансувати фракції. Гра за слабку державу являє собою виклик для гравця (якщо ви граєте в перший раз, можливо, вам варто віддати перевагу верхнім рядкам меню при створенні свого персонажа).^^Вибравши фракцію, ви будете боротися на її боці, поки ваша держава не переможе або, навпаки,не буде знищена. Але навіть поразка вашої фракції не означає кінець гри - ви можете продовжити боротися на стороні своїх союзників.^^-Безцільне блукання по карті - не дуже вдала ідея, від вас потрібно буде  цілеспрямована і активна участь в бойових діях. Поки війна не почалася, ви можете спробувати зібрати групу воїнів, прийняти компаньйонів з не надто суворими вимогами для найму і купити деяку екіпіровку. Ваша стратегія, коли війна почнеться, може бути різною. Пам'ятайте: однаково важливо як завдати поразки ворогові, так і допомогти союзникові.^- Виконання доручень союзних полководців - хороший спосіб вирости в ранзі, заробити очки постачання і впливу.^- Активуйте по кілька завдань, говоріть з усіма! Ви можете по колу відвідувати союзні поселенням, доставляючи листи, виконуючи паралельно інші завдання. Не втрачайте часу!
ip_rumours_and_legendary_places|Чутки і легендарні місця
ip_rumours_and_legendary_places_text|Розмовляючи з місцевими жителями, ви можете дізнатися їх точку зору про події,. Іноді в таких бесідах може спливти інформація, яка допоможе вам виявити спеціальні легендарні місця на світовій мапі. ^^Деякі з них можна тільки оглянути, в деяких вас чекають унікальні квести і пасхалки. Якщо в розмові вам відкриють розташування такої локації, ви побачите спеціальне повідомлення.
ip_trolls|Тролі
