skl_trade|Торговець
skl_trade_desc|Торговці стають більш поступливими і пропонують більш краще спорядження. (Вміння загону)
skl_leadership|Лідерство
skl_leadership_desc|З кожним новим рівнем цієї навички кількість людей, якими ви можете командувати, збільшується на 5, піднімається бойовий дух і знижуються витрати на армію на 5%%. Кількість добровольців, які хочуть вступити в ваш загін, збільшується. (Вміння лідера)
skl_prisoner_management|Утримання полонених
skl_prisoner_management_desc|З кожним новим рівнем цієї навички максимальне число полонених збільшується на%d (вміння лідера).
skl_persuasion|Виживання
skl_persuasion_desc|Здатність вижити в дикій природі та підкорити її своїй волі. Ця навичка впливає на здатність загону сховатися від ворога та швидкість загону у лісистій місцевості. (групове уміння)
skl_engineer|-----
skl_engineer_desc|-----
skl_first_aid|Перша допомога
skl_first_aid_desc|Кожен новий рівень цієї навички відновлює у героїв 5 %% здоров'я, втраченого при виконанні завдання (вміння групи).
skl_surgery|Хірургія
skl_surgery_desc|З кожним новим рівнем цієї навички кожен член загону отримує 4 %% шанс вижити при отриманні смертельного поранення (вміння групи).
skl_wound_treatment|Перев'язка ран
skl_wound_treatment_desc|З кожним новим рівнем цієї навички швидкість вилікування загону зростає на 20 %% (вміння групи).
skl_inventory_management|Упаковка
skl_inventory_management_desc|З кожним новим рівнем цієї навички місткість вашого інвентарю збільшується на +6 пунктів (вміння лідера).
skl_spotting|Пильність
skl_spotting_desc|З кожним новим рівнем цієї навички поле зору загону збільшується на 10%% (вміння загону).
skl_pathfinding|Пошук шляху
skl_pathfinding_desc|З кожним новим рівнем цієї навички швидкість пересування загону по карті збільшується на 3%% (вміння групи).
skl_tactics|Тактика
skl_tactics_desc|Кожен парний рівень цієї навички підвищує початкову перевага в бою на 1 (вміння групи).
skl_tracking|Стеження
skl_tracking_desc|Стеження стає більш інформативним (вміння групи).
skl_trainer|Тренер
skl_trainer_desc|Раз на день кожен герой віддає трохи досвіду тим членам загону, чиї навички гірше його власних. Кількість одержуваного досвіду: {0,4,10,16,23,30,38,46,55,65,80} (персональне вміння).
skl_looting|Мародерство
skl_looting_desc|Збільшує кількість та якість здобичі після битв. (Вміння загону)
skl_horse_archery|Верхова стрільба
skl_horse_archery_desc|Знижує штрафи на точність та шкоду при стрільбі верхи, поширюється на будь-яку далекобійну зброю, яку можна використовувати верхом (приватне вміння).
skl_riding|Верхова їзда
skl_riding_desc|Дозволяє їздити на більш породистих конях (або інших тваринах) і збільшує їх швидкість їзди і маневреність. (приватне вміння).
skl_athletics|Атлетика
skl_athletics_desc|Збільшує швидкість бігу (приватне вміння).
skl_shield|Щит
skl_shield_desc|зменшує пошкодження щитів (на 8%% за рівень навику), покращує швидкість і охоплення щита, зменшує штраф щита при використанні з луками. (Особисті здібності)
skl_weapon_master|Володіння зброєю
skl_weapon_master_desc|Полегшує навчання бойовій майстерності і підвищує відповідні межі. Межі бувають такі: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420 (приватне вміння).
skl_power_draw|Потужний постріл
skl_power_draw_desc|Дозволяє персонажу користуватися потужними луками. З кожним новим рівнем цієї навички (максимум - 4 плюс параметр потужного пострілу у самого лука) шкода, що завдається луком, збільшується на 14%% (приватне вміння).
skl_power_throw|Потужний кидок
skl_power_throw_desc|З кожним новим рівнем цієї навички шкода, що завдається метальною зброєю, збільшується на 10%% (приватне вміння).
skl_power_strike|Потужний удар
skl_power_strike_desc|З кожним новим рівнем цієї навички шкода, що завдається зброєю ближнього бою, збільшується на 8%% (приватне вміння).
skl_ironflesh|Залізна плоть
skl_ironflesh_desc|Кожне очко цього навику збільшує очки здоров’я на +2 і дозволяє вам позбутися певної шкоди, не отримавши поранення. (Особисті здібності)
