trp_unarmed_troop|Беззбройний Воїн
trp_unarmed_troop_pl|Беззброїні Воїни
trp_tutorial_maceman|Воїн з булавою
trp_tutorial_maceman_pl|Воїни з булавою
trp_tutorial_archer|Лучник
trp_tutorial_archer_pl|Лучники
trp_tutorial_swordsman|Мечник
trp_tutorial_swordsman_pl|Мечники
trp_novice_fighter|Боєць новачок
trp_novice_fighter_pl|Бійці новачки
trp_regular_fighter|Регулярний боєць
trp_regular_fighter_pl|Регулярні бійці
trp_veteran_fighter|Боєць ветеран
trp_veteran_fighter_pl|Бійці ветерани
trp_champion_fighter|Прославлений боєць
trp_champion_fighter_pl|Прославлені бійці
trp_arena_training_fighter_1|Боєць новачок
trp_arena_training_fighter_1_pl|Бійці новачки
trp_arena_training_fighter_2|Боєць новачок
trp_arena_training_fighter_2_pl|Бійці новачки
trp_arena_training_fighter_3|Досвідчений боєць
trp_arena_training_fighter_3_pl|Досвідчені бійці
trp_arena_training_fighter_4|Досвідчений боєць
trp_arena_training_fighter_4_pl|Досвідчені бійці
trp_arena_training_fighter_5|Досвідчений боєць
trp_arena_training_fighter_5_pl|Досвідчені бійці
trp_arena_training_fighter_6|Боєць ветеран
trp_arena_training_fighter_6_pl|Бійці ветерани
trp_arena_training_fighter_7|Боєць ветеран
trp_arena_training_fighter_7_pl|Бійці ветерани
trp_arena_training_fighter_8|Боєць ветеран
trp_arena_training_fighter_8_pl|Бійці ветерани
trp_arena_training_fighter_9|Прославлений боєць
trp_arena_training_fighter_9_pl|Прославлені бійці
trp_arena_training_fighter_10|Прославлений боєць
trp_arena_training_fighter_10_pl|Прославлені бійці
trp_cattle|Худоба
trp_cattle_pl|Худоба
trp_farmer|Фермер
trp_farmer_pl|Фермери
trp_townsman|Міщанин
trp_townsman_pl|Міщани
trp_watchman|Горожанка
trp_watchman_pl|Городяни
trp_i1_woodmen_man|Переселенець з лісу
trp_i1_woodmen_man_pl|Лісові Переселенці
trp_i2_woodmen_forester|Доглядач лісу
trp_i2_woodmen_forester_pl|Доглядачі лісу
trp_i3_woodmen_skilled_forester|Вмілий доглядач лісу
trp_i3_woodmen_skilled_forester_pl|Вмілі доглядачі лісу
trp_i4_woodmen_axemen|Лісовик з сокирою
trp_i4_woodmen_axemen_pl|Лісовики з сокирами
trp_i5_woodmen_night_guard|Нічний сторож Темнолісся
trp_i5_woodmen_night_guard_pl|Нічна варта Темнолісся
trp_a2_woodmen_tracker|Лісовий слідопит
trp_a2_woodmen_tracker_pl|Лісові слідопити
trp_a3_woodmen_scout|Лісовий розвідник
trp_a3_woodmen_scout_pl|Лісові розвідники
trp_a4_woodmen_archer|Лісовий лучник
trp_a4_woodmen_archer_pl|Лісові лучники
trp_a5_woodmen_night_stalker|Нічний мисливець Темнолісся
trp_a5_woodmen_night_stalker_pl|Нічні мисливці Темнолісся
trp_i1_beorning_man|Беорнінг
trp_i1_beorning_man_pl|Беорнінгі
trp_i2_beorning_warrior|Беорнінгський воїн
trp_i2_beorning_warrior_pl|Беорнінгські воїни
trp_i3_beorning_tolltacker|Беорнінгскій сторож
trp_i3_beorning_tolltacker_pl|Беорнінгські сторожа
trp_i4_beorning_sentinel|Беорнінгський страж
trp_i4_beorning_sentinel_pl|Беорнінгська стража
trp_i5_beorning_warden_of_the_ford|Беорнінгскій хранитель Броду
trp_i5_beorning_warden_of_the_ford_pl|Беорнінгскіе хранителі Броду
trp_i3_beorning_carrock_lookout|Беорнінгський сторожовий Каррока
trp_i3_beorning_carrock_lookout_pl|Беорнінгскіе дозорні Каррока
trp_i4_beorning_carrock_fighter|Беорнінгський боєць Каррока
trp_i4_beorning_carrock_fighter_pl|Беорнінгські бійці Каррока
trp_i5_beorning_carrock_berserker|Беорнінгський Берсерк Каррока
trp_i5_beorning_carrock_berserker_pl|Беорнінгські Берсерки Каррока
trp_i1_dale_militia|Дейльский ополченець
trp_i1_dale_militia_pl|Дейльскі ополченці
trp_i2_dale_man_at_arms|Дейльский латник
trp_i2_dale_man_at_arms_pl|Дейльскі латники
trp_a2_dale_scout|Розвідник Дейла
trp_a2_dale_scout_pl|Розвідники Дейла
trp_a3_dale_bowman|Лучник Дейла
trp_a3_dale_bowman_pl|Лучники Дейла
trp_a4_dale_archer|Стрілець Дейла
trp_a4_dale_archer_pl|Стрільці Дейла
trp_a5_barding_bowman|Бард-Лучник
trp_a5_barding_bowman_pl|Барди-Лучники
trp_i3_dale_swordsman|Мечник Дейла
trp_i3_dale_swordsman_pl|Мечники Дейла
trp_i4_dale_sergeant|Сержант Дейла
trp_i4_dale_sergeant_pl|Сержанти Дейла
trp_i5_dale_hearthman|Гвардієць Дейла
trp_i5_dale_hearthman_pl|Гвардійці Дейла
trp_i3_dale_spearman|Дейльский списоносець
trp_i3_dale_spearman_pl|Дейльскі списоносці
trp_i4_dale_billman|Дейльский воїн з глефою
trp_i4_dale_billman_pl|Дейльскі воїни з глефою
trp_i5_dale_bill_master|Дейльский майстерний воїн з глефою
trp_i5_dale_bill_master_pl|Дейльскі вправні воїни з глефою
trp_c2_rhovanion_retainer|Есквайр північних земель
trp_c2_rhovanion_retainer_pl|Есквайри північних земель
trp_c3_rhovanion_auxilia|Вершник північних земель
trp_c3_rhovanion_auxilia_pl|Кіннота північних земель
trp_c4_rhovanion_rider|Вершник Рованіона
trp_c4_rhovanion_rider_pl|Кіннота Рованіона
trp_ac5_rhovanion_marchwarden|Доглядач пусток Рованіона
trp_ac5_rhovanion_marchwarden_pl|Наглядачі пусток Рованіона
trp_i1_rhun_tribesman|Рунійський дикун
trp_i1_rhun_tribesman_pl|Рунійські дикуни
trp_ac2_rhun_horse_scout|Рунійський кінний розвідник
trp_ac2_rhun_horse_scout_pl|Рунійські кінні розвідники
trp_ac3_rhun_horse_archer|Рунійський кінний лучник
trp_ac3_rhun_horse_archer_pl|Рунійські кінні лучники
